Orthogroup	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
OG0034308	arahy.Tifrunner.gnm1.ann1.88LWN2.1				
OG0034309	arahy.Tifrunner.gnm1.ann1.UBDK6M.1				
OG0034310	arahy.Tifrunner.gnm1.ann1.9SE03D.1				
OG0034311	arahy.Tifrunner.gnm1.ann1.8CY9VM.1				
OG0034312	arahy.Tifrunner.gnm1.ann1.RW1UC5.2				
OG0034313	arahy.Tifrunner.gnm1.ann1.F7YVJA.1				
OG0034314	arahy.Tifrunner.gnm1.ann1.S60DDY.1				
OG0034315	arahy.Tifrunner.gnm1.ann1.7UX44P.3				
OG0034316	arahy.Tifrunner.gnm1.ann1.H0GHKL.1				
OG0034317	arahy.Tifrunner.gnm1.ann1.B5Q2R1.1				
OG0034318	arahy.Tifrunner.gnm1.ann1.C5PPWN.1				
OG0034319	arahy.Tifrunner.gnm1.ann1.48IZ5P.1				
OG0034320	arahy.Tifrunner.gnm1.ann1.2I63CN.1				
OG0034321	arahy.Tifrunner.gnm1.ann1.42T80Q.1				
OG0034322	arahy.Tifrunner.gnm1.ann1.QXX6B6.1				
OG0034323	arahy.Tifrunner.gnm1.ann1.83SMNU.1				
OG0034324	arahy.Tifrunner.gnm1.ann1.46WQAQ.1				
OG0034325	arahy.Tifrunner.gnm1.ann1.XQC0LY.1				
OG0034326	arahy.Tifrunner.gnm1.ann1.RHXV67.1				
OG0034327	arahy.Tifrunner.gnm1.ann1.D5ZRET.1				
OG0034328	arahy.Tifrunner.gnm1.ann1.PLEI1S.1				
OG0034329	arahy.Tifrunner.gnm1.ann1.E6P4EG.1				
OG0034330	arahy.Tifrunner.gnm1.ann1.4JKX09.1				
OG0034331	arahy.Tifrunner.gnm1.ann1.Q1XM0F.1				
OG0034332	arahy.Tifrunner.gnm1.ann1.DFT7B3.1				
OG0034333	arahy.Tifrunner.gnm1.ann1.3R4QA9.1				
OG0034334	arahy.Tifrunner.gnm1.ann1.44JBNB.1				
OG0034335	arahy.Tifrunner.gnm1.ann1.I9I2G1.1				
OG0034336	arahy.Tifrunner.gnm1.ann1.5Y78DL.1				
OG0034337	arahy.Tifrunner.gnm1.ann1.TE5CG8.1				
OG0034338	arahy.Tifrunner.gnm1.ann1.GN0T4H.1				
OG0034339	arahy.Tifrunner.gnm1.ann1.88NKDS.1				
OG0034340	arahy.Tifrunner.gnm1.ann1.PT4DF1.1				
OG0034341	arahy.Tifrunner.gnm1.ann1.01IKZ7.1				
OG0034342	arahy.Tifrunner.gnm1.ann1.Q3FBI7.1				
OG0034343	arahy.Tifrunner.gnm1.ann1.VDY0CP.1				
OG0034344	arahy.Tifrunner.gnm1.ann1.E88WDV.1				
OG0034345	arahy.Tifrunner.gnm1.ann1.PYE7GR.1				
OG0034346	arahy.Tifrunner.gnm1.ann1.2T5FTV.1				
OG0034347	arahy.Tifrunner.gnm1.ann1.QJV3PU.1				
OG0034348	arahy.Tifrunner.gnm1.ann1.KEZ4E4.1				
OG0034349	arahy.Tifrunner.gnm1.ann1.W7KXM9.1				
OG0034350	arahy.Tifrunner.gnm1.ann1.PW1K78.1				
OG0034351	arahy.Tifrunner.gnm1.ann1.3M5XYJ.1				
OG0034352	arahy.Tifrunner.gnm1.ann1.5X8MPR.1				
OG0034353	arahy.Tifrunner.gnm1.ann1.HIJE33.1				
OG0034354	arahy.Tifrunner.gnm1.ann1.XKTU1C.1				
OG0034355	arahy.Tifrunner.gnm1.ann1.836P5Q.1				
OG0034356	arahy.Tifrunner.gnm1.ann1.NVL122.1				
OG0034357	arahy.Tifrunner.gnm1.ann1.W45FS6.1				
OG0034358	arahy.Tifrunner.gnm1.ann1.MH0RNQ.1				
OG0034359	arahy.Tifrunner.gnm1.ann1.QN6N73.1				
OG0034360	arahy.Tifrunner.gnm1.ann1.WE98Q3.1				
OG0034361	arahy.Tifrunner.gnm1.ann1.8V978B.1				
OG0034362	arahy.Tifrunner.gnm1.ann1.96V76X.1				
OG0034363	arahy.Tifrunner.gnm1.ann1.G8P6IG.1				
OG0034364	arahy.Tifrunner.gnm1.ann1.6Y45U1.1				
OG0034365	arahy.Tifrunner.gnm1.ann1.YY5454.1				
OG0034366	arahy.Tifrunner.gnm1.ann1.T6IIJA.1				
OG0034367	arahy.Tifrunner.gnm1.ann1.4QW6M0.1				
OG0034368	arahy.Tifrunner.gnm1.ann1.Y2FUU3.1				
OG0034369	arahy.Tifrunner.gnm1.ann1.YY2ATI.1				
OG0034370	arahy.Tifrunner.gnm1.ann1.S70RIU.1				
OG0034371	arahy.Tifrunner.gnm1.ann1.15M9UK.3				
OG0034372	arahy.Tifrunner.gnm1.ann1.WRI301.1				
OG0034373	arahy.Tifrunner.gnm1.ann1.WGWW3H.1				
OG0034374	arahy.Tifrunner.gnm1.ann1.RDE8QD.1				
OG0034375	arahy.Tifrunner.gnm1.ann1.E5JN5H.1				
OG0034376	arahy.Tifrunner.gnm1.ann1.P3E5HM.1				
OG0034377	arahy.Tifrunner.gnm1.ann1.IJ0BZH.1				
OG0034378	arahy.Tifrunner.gnm1.ann1.G0C26C.1				
OG0034379	arahy.Tifrunner.gnm1.ann1.4GMR8R.1				
OG0034380	arahy.Tifrunner.gnm1.ann1.M2ZNIJ.1				
OG0034381	arahy.Tifrunner.gnm1.ann1.ZS6M7I.1				
OG0034382	arahy.Tifrunner.gnm1.ann1.ZE2ILJ.2				
OG0034383	arahy.Tifrunner.gnm1.ann1.DCKS39.1				
OG0034384	arahy.Tifrunner.gnm1.ann1.LMB138.1				
OG0034385	arahy.Tifrunner.gnm1.ann1.ICGD2C.1				
OG0034386	arahy.Tifrunner.gnm1.ann1.DKQ9MY.1				
OG0034387	arahy.Tifrunner.gnm1.ann1.IDZ4EF.1				
OG0034388	arahy.Tifrunner.gnm1.ann1.KMNI4A.1				
OG0034389	arahy.Tifrunner.gnm1.ann1.9NM1Z0.1				
OG0034390	arahy.Tifrunner.gnm1.ann1.914NIM.1				
OG0034391	arahy.Tifrunner.gnm1.ann1.R1M99V.1				
OG0034392	arahy.Tifrunner.gnm1.ann1.NVPP7S.1				
OG0034393	arahy.Tifrunner.gnm1.ann1.568QG3.1				
OG0034394	arahy.Tifrunner.gnm1.ann1.FPLM06.1				
OG0034395	arahy.Tifrunner.gnm1.ann1.II0HQF.1				
OG0034396	arahy.Tifrunner.gnm1.ann1.C39ZA3.1				
OG0034397	arahy.Tifrunner.gnm1.ann1.WY00VG.1				
OG0034398	arahy.Tifrunner.gnm1.ann1.M1FW9J.1				
OG0034399	arahy.Tifrunner.gnm1.ann1.35TUCN.1				
OG0034400	arahy.Tifrunner.gnm1.ann1.A10G6J.1				
OG0034401	arahy.Tifrunner.gnm1.ann1.PTL79Z.1				
OG0034402	arahy.Tifrunner.gnm1.ann1.VVPQ8E.1				
OG0034403	arahy.Tifrunner.gnm1.ann1.BE3YYP.1				
OG0034404	arahy.Tifrunner.gnm1.ann1.NW6HCP.1				
OG0034405	arahy.Tifrunner.gnm1.ann1.R67D7H.1				
OG0034406	arahy.Tifrunner.gnm1.ann1.L3L3JQ.1				
OG0034407	arahy.Tifrunner.gnm1.ann1.DU3X31.1				
OG0034408	arahy.Tifrunner.gnm1.ann1.ELH4X7.1				
OG0034409	arahy.Tifrunner.gnm1.ann1.N4P4RT.1				
OG0034410	arahy.Tifrunner.gnm1.ann1.I1F906.1				
OG0034411	arahy.Tifrunner.gnm1.ann1.XSHW5Z.1				
OG0034412	arahy.Tifrunner.gnm1.ann1.ZMG720.1				
OG0034413	arahy.Tifrunner.gnm1.ann1.FQ8YTH.1				
OG0034414	arahy.Tifrunner.gnm1.ann1.DW1HPQ.1				
OG0034415	arahy.Tifrunner.gnm1.ann1.CHV0QA.1				
OG0034416	arahy.Tifrunner.gnm1.ann1.C8T1M9.1				
OG0034417	arahy.Tifrunner.gnm1.ann1.1BEP2H.1				
OG0034418	arahy.Tifrunner.gnm1.ann1.TW0FD0.1				
OG0034419	arahy.Tifrunner.gnm1.ann1.FB1AXC.1				
OG0034420	arahy.Tifrunner.gnm1.ann1.69ZPL7.1				
OG0034421	arahy.Tifrunner.gnm1.ann1.N1VM47.1				
OG0034422	arahy.Tifrunner.gnm1.ann1.X7PJ8H.1				
OG0034423	arahy.Tifrunner.gnm1.ann1.W5NK4A.1				
OG0034424	arahy.Tifrunner.gnm1.ann1.NU8AYC.1				
OG0034425	arahy.Tifrunner.gnm1.ann1.QPK5VU.1				
OG0034426	arahy.Tifrunner.gnm1.ann1.H4WAYU.1				
OG0034427	arahy.Tifrunner.gnm1.ann1.XEZQ7D.1				
OG0034428	arahy.Tifrunner.gnm1.ann1.A1W2LU.1				
OG0034429	arahy.Tifrunner.gnm1.ann1.T6Y945.1				
OG0034430	arahy.Tifrunner.gnm1.ann1.HM6XW1.1				
OG0034431	arahy.Tifrunner.gnm1.ann1.84P9ED.1				
OG0034432	arahy.Tifrunner.gnm1.ann1.114K10.1				
OG0034433	arahy.Tifrunner.gnm1.ann1.43RVF2.1				
OG0034434	arahy.Tifrunner.gnm1.ann1.DZMQ8N.1				
OG0034435	arahy.Tifrunner.gnm1.ann1.8WS310.1				
OG0034436	arahy.Tifrunner.gnm1.ann1.64LT8R.1				
OG0034437	arahy.Tifrunner.gnm1.ann1.PW8GWK.1				
OG0034438	arahy.Tifrunner.gnm1.ann1.K557X5.1				
OG0034439	arahy.Tifrunner.gnm1.ann1.954CHK.1				
OG0034440	arahy.Tifrunner.gnm1.ann1.BDFQ12.1				
OG0034441	arahy.Tifrunner.gnm1.ann1.715TZB.1				
OG0034442	arahy.Tifrunner.gnm1.ann1.R5Z1TJ.1				
OG0034443	arahy.Tifrunner.gnm1.ann1.K29H54.1				
OG0034444	arahy.Tifrunner.gnm1.ann1.96F7ZV.1				
OG0034445	arahy.Tifrunner.gnm1.ann1.DCNM3N.1				
OG0034446	arahy.Tifrunner.gnm1.ann1.PAFX2H.1				
OG0034447	arahy.Tifrunner.gnm1.ann1.XBHS2W.1				
OG0034448	arahy.Tifrunner.gnm1.ann1.LVH8ZT.1				
OG0034449	arahy.Tifrunner.gnm1.ann1.JMK6FU.1				
OG0034450	arahy.Tifrunner.gnm1.ann1.Q2LKNE.1				
OG0034451	arahy.Tifrunner.gnm1.ann1.57BWYN.1				
OG0034452	arahy.Tifrunner.gnm1.ann1.G80LMI.1				
OG0034453	arahy.Tifrunner.gnm1.ann1.P9CW1Z.1				
OG0034454	arahy.Tifrunner.gnm1.ann1.9WIA4V.1				
OG0034455	arahy.Tifrunner.gnm1.ann1.YTY742.1				
OG0034456	arahy.Tifrunner.gnm1.ann1.3TVW9H.1				
OG0034457	arahy.Tifrunner.gnm1.ann1.CN6DNH.1				
OG0034458	arahy.Tifrunner.gnm1.ann1.CQ2CCL.1				
OG0034459	arahy.Tifrunner.gnm1.ann1.T3V7P6.1				
OG0034460	arahy.Tifrunner.gnm1.ann1.U9WR63.1				
OG0034461	arahy.Tifrunner.gnm1.ann1.QQMU69.1				
OG0034462	arahy.Tifrunner.gnm1.ann1.57NA14.1				
OG0034463	arahy.Tifrunner.gnm1.ann1.7IZY9W.1				
OG0034464	arahy.Tifrunner.gnm1.ann1.499Q7A.1				
OG0034465	arahy.Tifrunner.gnm1.ann1.SXRH3I.1				
OG0034466	arahy.Tifrunner.gnm1.ann1.X1G7ME.1				
OG0034467	arahy.Tifrunner.gnm1.ann1.6RK1TK.1				
OG0034468	arahy.Tifrunner.gnm1.ann1.895USW.1				
OG0034469	arahy.Tifrunner.gnm1.ann1.CC1Y5W.1				
OG0034470	arahy.Tifrunner.gnm1.ann1.5427DE.1				
OG0034471	arahy.Tifrunner.gnm1.ann1.W86JC4.1				
OG0034472	arahy.Tifrunner.gnm1.ann1.7D1R71.1				
OG0034473	arahy.Tifrunner.gnm1.ann1.B1GHBY.1				
OG0034474	arahy.Tifrunner.gnm1.ann1.7E0HBM.1				
OG0034475	arahy.Tifrunner.gnm1.ann1.S0UVSQ.1				
OG0034476	arahy.Tifrunner.gnm1.ann1.F0PY6A.1				
OG0034477	arahy.Tifrunner.gnm1.ann1.JYD0FB.1				
OG0034478	arahy.Tifrunner.gnm1.ann1.097QD2.1				
OG0034479	arahy.Tifrunner.gnm1.ann1.ND3FHR.1				
OG0034480	arahy.Tifrunner.gnm1.ann1.PZ65U6.1				
OG0034481	arahy.Tifrunner.gnm1.ann1.Q8R372.1				
OG0034482	arahy.Tifrunner.gnm1.ann1.RV43CZ.1				
OG0034483	arahy.Tifrunner.gnm1.ann1.0G7CZ2.1				
OG0034484	arahy.Tifrunner.gnm1.ann1.QBM7RU.1				
OG0034485	arahy.Tifrunner.gnm1.ann1.LF8ILU.1				
OG0034486	arahy.Tifrunner.gnm1.ann1.SIPE1B.1				
OG0034487	arahy.Tifrunner.gnm1.ann1.23ZYRY.2				
OG0034488	arahy.Tifrunner.gnm1.ann1.QTTL4F.1				
OG0034489	arahy.Tifrunner.gnm1.ann1.795S4X.1				
OG0034490	arahy.Tifrunner.gnm1.ann1.XRD5L5.1				
OG0034491	arahy.Tifrunner.gnm1.ann1.RIUI8D.1				
OG0034492	arahy.Tifrunner.gnm1.ann1.VNN59Q.1				
OG0034493	arahy.Tifrunner.gnm1.ann1.2DE5X7.1				
OG0034494	arahy.Tifrunner.gnm1.ann1.TKZH85.1				
OG0034495	arahy.Tifrunner.gnm1.ann1.H0RHH8.1				
OG0034496	arahy.Tifrunner.gnm1.ann1.URD35Y.1				
OG0034497	arahy.Tifrunner.gnm1.ann1.Q2ZPW3.1				
OG0034498	arahy.Tifrunner.gnm1.ann1.F7U1GP.1				
OG0034499	arahy.Tifrunner.gnm1.ann1.U8KCPE.1				
OG0034500	arahy.Tifrunner.gnm1.ann1.RWH90B.1				
OG0034501	arahy.Tifrunner.gnm1.ann1.R0GK7N.1				
OG0034502	arahy.Tifrunner.gnm1.ann1.RXFQ0R.1				
OG0034503	arahy.Tifrunner.gnm1.ann1.T1BXBR.1				
OG0034504	arahy.Tifrunner.gnm1.ann1.RSP5RH.1				
OG0034505	arahy.Tifrunner.gnm1.ann1.RY273S.1				
OG0034506	arahy.Tifrunner.gnm1.ann1.AEH7J0.1				
OG0034507	arahy.Tifrunner.gnm1.ann1.VSS2FD.1				
OG0034508	arahy.Tifrunner.gnm1.ann1.F8CF98.1				
OG0034509	arahy.Tifrunner.gnm1.ann1.3V5M7L.2				
OG0034510	arahy.Tifrunner.gnm1.ann1.N1DH3R.1				
OG0034511	arahy.Tifrunner.gnm1.ann1.U2Z1KQ.1				
OG0034512	arahy.Tifrunner.gnm1.ann1.B25BUE.1				
OG0034513	arahy.Tifrunner.gnm1.ann1.PU4PH6.1				
OG0034514	arahy.Tifrunner.gnm1.ann1.4GF22C.1				
OG0034515	arahy.Tifrunner.gnm1.ann1.9XWX38.1				
OG0034516	arahy.Tifrunner.gnm1.ann1.Y05YPF.1				
OG0034517	arahy.Tifrunner.gnm1.ann1.8J4QNX.1				
OG0034518	arahy.Tifrunner.gnm1.ann1.8LN2Z6.1				
OG0034519	arahy.Tifrunner.gnm1.ann1.44ZHZL.1				
OG0034520	arahy.Tifrunner.gnm1.ann1.IBP6ER.1				
OG0034521	arahy.Tifrunner.gnm1.ann1.X912KG.1				
OG0034522	arahy.Tifrunner.gnm1.ann1.DS6ZLL.1				
OG0034523	arahy.Tifrunner.gnm1.ann1.4KC966.1				
OG0034524	arahy.Tifrunner.gnm1.ann1.9F45YV.1				
OG0034525	arahy.Tifrunner.gnm1.ann1.ZK87SJ.1				
OG0034526	arahy.Tifrunner.gnm1.ann1.L8NP09.1				
OG0034527	arahy.Tifrunner.gnm1.ann1.16CHM8.1				
OG0034528	arahy.Tifrunner.gnm1.ann1.5ZTX8H.1				
OG0034529	arahy.Tifrunner.gnm1.ann1.N215AF.1				
OG0034530	arahy.Tifrunner.gnm1.ann1.9D0TAX.1				
OG0034531	arahy.Tifrunner.gnm1.ann1.JQI30Y.1				
OG0034532	arahy.Tifrunner.gnm1.ann1.UID7UD.1				
OG0034533	arahy.Tifrunner.gnm1.ann1.2MH90D.1				
OG0034534	arahy.Tifrunner.gnm1.ann1.ZT1MM1.1				
OG0034535	arahy.Tifrunner.gnm1.ann1.B9T1G9.1				
OG0034536	arahy.Tifrunner.gnm1.ann1.4IJ3BD.1				
OG0034537	arahy.Tifrunner.gnm1.ann1.VI2UWS.1				
OG0034538	arahy.Tifrunner.gnm1.ann1.DK0QII.1				
OG0034539	arahy.Tifrunner.gnm1.ann1.65U0MI.1				
OG0034540	arahy.Tifrunner.gnm1.ann1.67S48P.1				
OG0034541	arahy.Tifrunner.gnm1.ann1.26N6D6.4				
OG0034542	arahy.Tifrunner.gnm1.ann1.41KZPW.1				
OG0034543	arahy.Tifrunner.gnm1.ann1.VL2SJL.1				
OG0034544	arahy.Tifrunner.gnm1.ann1.TP2SLD.1				
OG0034545	arahy.Tifrunner.gnm1.ann1.MZ9SR0.1				
OG0034546	arahy.Tifrunner.gnm1.ann1.W977IP.1				
OG0034547	arahy.Tifrunner.gnm1.ann1.KN9S33.1				
OG0034548	arahy.Tifrunner.gnm1.ann1.DAD59Z.1				
OG0034549	arahy.Tifrunner.gnm1.ann1.8TKA8F.1				
OG0034550	arahy.Tifrunner.gnm1.ann1.5K36G9.1				
OG0034551	arahy.Tifrunner.gnm1.ann1.F9GRMB.1				
OG0034552	arahy.Tifrunner.gnm1.ann1.RX2F0J.1				
OG0034553	arahy.Tifrunner.gnm1.ann1.27N6DD.1				
OG0034554	arahy.Tifrunner.gnm1.ann1.7TA7EH.1				
OG0034555	arahy.Tifrunner.gnm1.ann1.J3XXF6.1				
OG0034556	arahy.Tifrunner.gnm1.ann1.SDLI1A.1				
OG0034557	arahy.Tifrunner.gnm1.ann1.FUBR3I.1				
OG0034558	arahy.Tifrunner.gnm1.ann1.UJ5NXH.1				
OG0034559	arahy.Tifrunner.gnm1.ann1.IW1K29.1				
OG0034560	arahy.Tifrunner.gnm1.ann1.P9I06G.1				
OG0034561	arahy.Tifrunner.gnm1.ann1.PH8Y5X.1				
OG0034562	arahy.Tifrunner.gnm1.ann1.15Q3U7.1				
OG0034563	arahy.Tifrunner.gnm1.ann1.UQ6VP5.1				
OG0034564	arahy.Tifrunner.gnm1.ann1.DT4WB3.1				
OG0034565	arahy.Tifrunner.gnm1.ann1.F0FEHE.1				
OG0034566	arahy.Tifrunner.gnm1.ann1.4G3NMK.1				
OG0034567	arahy.Tifrunner.gnm1.ann1.8C1MSJ.1				
OG0034568	arahy.Tifrunner.gnm1.ann1.MQ83XM.1				
OG0034569	arahy.Tifrunner.gnm1.ann1.1HFN7Q.1				
OG0034570	arahy.Tifrunner.gnm1.ann1.RAR9LN.1				
