Orthogroup	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum	Total
OG0000111	61	0	0	0	0	61
OG0000112	61	0	0	0	0	61
OG0000113	4	14	25	3	15	61
OG0000114	0	61	0	0	0	61
OG0000115	0	60	0	0	0	60
OG0000116	0	0	60	0	0	60
OG0000117	59	0	0	0	0	59
OG0000118	58	0	0	0	1	59
OG0000119	0	59	0	0	0	59
OG0000120	0	0	0	0	59	59
OG0000121	0	58	0	0	0	58
OG0000122	0	1	56	0	1	58
OG0000123	57	0	0	0	0	57
OG0000124	1	0	16	0	40	57
OG0000125	0	57	0	0	0	57
OG0000126	0	57	0	0	0	57
OG0000127	0	57	0	0	0	57
OG0000128	0	35	0	22	0	57
OG0000129	0	0	56	0	1	57
OG0000130	56	0	0	0	0	56
OG0000131	0	56	0	0	0	56
OG0000132	0	55	0	1	0	56
OG0000133	14	0	10	19	12	55
OG0000134	0	55	0	0	0	55
OG0000135	0	3	11	0	41	55
OG0000136	0	0	54	0	1	55
OG0000137	0	0	22	4	29	55
OG0000138	13	6	5	26	4	54
OG0000139	6	25	5	13	5	54
OG0000140	2	2	45	3	2	54
OG0000141	0	54	0	0	0	54
OG0000142	0	54	0	0	0	54
OG0000143	0	54	0	0	0	54
OG0000144	53	0	0	0	0	53
OG0000145	0	53	0	0	0	53
OG0000146	52	0	0	0	0	52
OG0000147	15	2	12	19	4	52
OG0000148	0	52	0	0	0	52
OG0000149	0	52	0	0	0	52
OG0000150	0	52	0	0	0	52
OG0000151	0	0	0	0	52	52
OG0000152	51	0	0	0	0	51
OG0000153	51	0	0	0	0	51
OG0000154	51	0	0	0	0	51
OG0000155	6	3	12	3	27	51
OG0000156	0	51	0	0	0	51
OG0000157	0	0	13	0	38	51
OG0000158	0	0	48	0	3	51
OG0000159	0	0	0	0	51	51
OG0000160	50	0	0	0	0	50
OG0000161	0	50	0	0	0	50
OG0000162	0	0	0	50	0	50
OG0000163	0	0	0	0	50	50
OG0000164	9	11	10	14	5	49
OG0000165	33	5	3	4	4	49
OG0000166	49	0	0	0	0	49
OG0000167	3	0	40	5	1	49
OG0000168	0	49	0	0	0	49
OG0000169	0	49	0	0	0	49
OG0000170	0	49	0	0	0	49
OG0000171	0	0	0	0	49	49
OG0000172	0	0	0	0	49	49
OG0000173	3	1	35	0	9	48
OG0000174	48	0	0	0	0	48
OG0000175	8	0	20	16	4	48
OG0000176	4	8	10	18	8	48
OG0000177	0	48	0	0	0	48
OG0000178	47	0	0	0	0	47
OG0000179	19	7	7	11	3	47
OG0000180	17	0	24	0	6	47
OG0000181	47	0	0	0	0	47
OG0000182	11	17	1	16	2	47
OG0000183	1	1	36	1	8	47
OG0000184	1	1	40	0	5	47
OG0000185	0	47	0	0	0	47
OG0000186	0	47	0	0	0	47
OG0000187	46	0	0	0	0	46
OG0000188	8	1	17	7	13	46
OG0000189	1	3	32	4	6	46
OG0000190	7	7	15	15	2	46
OG0000191	0	46	0	0	0	46
OG0000192	0	46	0	0	0	46
OG0000193	0	0	2	0	44	46
OG0000194	6	2	18	10	9	45
OG0000195	2	1	6	26	10	45
OG0000196	35	4	2	2	2	45
OG0000197	2	32	1	7	3	45
OG0000198	0	45	0	0	0	45
OG0000199	0	45	0	0	0	45
OG0000200	0	45	0	0	0	45
OG0000201	0	45	0	0	0	45
OG0000202	0	45	0	0	0	45
OG0000203	0	45	0	0	0	45
OG0000204	0	1	37	0	7	45
OG0000205	0	0	22	7	16	45
OG0000206	0	0	0	45	0	45
OG0000207	44	0	0	0	0	44
OG0000208	18	15	7	1	3	44
OG0000209	17	0	15	3	9	44
OG0000210	9	5	9	10	11	44
OG0000211	4	2	30	1	7	44
OG0000212	5	7	22	0	10	44
OG0000213	1	5	9	0	29	44
OG0000214	0	44	0	0	0	44
OG0000215	0	44	0	0	0	44
OG0000216	0	44	0	0	0	44
OG0000217	0	2	7	0	35	44
OG0000218	0	0	0	0	44	44
OG0000219	43	0	0	0	0	43
OG0000220	43	0	0	0	0	43
OG0000221	43	0	0	0	0	43
OG0000222	13	1	1	26	2	43
OG0000223	8	7	10	14	4	43
OG0000224	10	3	7	18	5	43
OG0000225	2	13	11	11	6	43
OG0000226	43	0	0	0	0	43
OG0000227	0	43	0	0	0	43
OG0000228	0	43	0	0	0	43
OG0000229	0	43	0	0	0	43
OG0000230	0	8	6	5	24	43
OG0000231	0	0	40	0	3	43
OG0000232	0	0	37	0	6	43
OG0000233	0	0	0	43	0	43
OG0000234	0	0	0	0	43	43
OG0000235	11	9	1	20	1	42
OG0000236	13	10	7	5	7	42
OG0000237	42	0	0	0	0	42
OG0000238	42	0	0	0	0	42
OG0000239	4	1	26	2	9	42
OG0000240	1	13	0	28	0	42
OG0000241	0	42	0	0	0	42
OG0000242	0	0	37	1	4	42
OG0000243	41	0	0	0	0	41
OG0000244	41	0	0	0	0	41
OG0000245	41	0	0	0	0	41
OG0000246	4	15	7	11	4	41
OG0000247	15	0	9	13	4	41
OG0000248	12	13	6	6	4	41
OG0000249	9	16	7	6	3	41
OG0000250	10	7	3	17	4	41
OG0000251	8	5	11	7	10	41
OG0000252	1	32	3	3	2	41
OG0000253	6	7	1	26	1	41
OG0000254	0	41	0	0	0	41
OG0000255	0	41	0	0	0	41
OG0000256	0	41	0	0	0	41
OG0000257	0	41	0	0	0	41
OG0000258	0	41	0	0	0	41
OG0000259	0	0	1	1	39	41
OG0000260	8	11	9	4	8	40
OG0000261	9	10	8	7	6	40
OG0000262	11	0	6	19	4	40
OG0000263	3	13	10	3	11	40
OG0000264	2	0	15	11	12	40
OG0000265	6	11	14	0	9	40
OG0000266	0	31	2	7	0	40
OG0000267	0	40	0	0	0	40
OG0000268	0	40	0	0	0	40
OG0000269	0	40	0	0	0	40
OG0000270	0	0	27	0	13	40
OG0000271	38	0	0	1	0	39
OG0000272	39	0	0	0	0	39
OG0000273	39	0	0	0	0	39
OG0000274	38	0	0	0	1	39
OG0000275	8	13	10	3	5	39
OG0000276	3	4	8	21	3	39
OG0000277	11	17	3	6	2	39
OG0000278	13	7	6	6	7	39
OG0000279	6	11	15	6	1	39
OG0000280	13	5	8	7	6	39
OG0000281	11	6	3	13	6	39
OG0000282	2	5	10	2	20	39
OG0000283	2	0	4	31	2	39
OG0000284	1	0	30	1	7	39
OG0000285	1	0	33	1	4	39
OG0000286	0	0	4	29	6	39
OG0000287	0	0	1	0	38	39
OG0000288	38	0	0	0	0	38
OG0000289	5	17	10	2	4	38
OG0000290	10	0	6	3	19	38
OG0000291	12	7	8	7	4	38
OG0000292	7	9	18	1	3	38
OG0000293	2	12	8	9	7	38
OG0000294	2	0	21	1	14	38
OG0000295	0	38	0	0	0	38
OG0000296	0	38	0	0	0	38
OG0000297	0	0	36	0	2	38
OG0000298	0	0	38	0	0	38
OG0000299	0	0	0	0	38	38
OG0000300	37	0	0	0	0	37
OG0000301	37	0	0	0	0	37
OG0000302	5	20	6	6	0	37
OG0000303	27	6	1	2	1	37
OG0000304	3	1	26	0	7	37
OG0000305	11	5	17	1	3	37
OG0000306	14	5	5	4	9	37
OG0000307	37	0	0	0	0	37
OG0000308	0	37	0	0	0	37
OG0000309	0	37	0	0	0	37
OG0000310	0	37	0	0	0	37
OG0000311	0	0	34	0	3	37
OG0000312	0	0	3	0	34	37
OG0000313	3	3	4	2	24	36
OG0000314	36	0	0	0	0	36
OG0000315	7	0	14	6	9	36
OG0000316	36	0	0	0	0	36
OG0000317	11	4	7	6	8	36
OG0000318	11	3	11	10	1	36
OG0000319	18	0	6	4	8	36
OG0000320	2	25	3	4	2	36
OG0000321	6	9	10	7	4	36
OG0000322	36	0	0	0	0	36
OG0000323	36	0	0	0	0	36
OG0000324	0	36	0	0	0	36
OG0000325	0	36	0	0	0	36
OG0000326	0	36	0	0	0	36
OG0000327	0	35	1	0	0	36
OG0000328	0	1	29	2	4	36
OG0000329	0	0	31	0	5	36
OG0000330	0	0	30	0	6	36
OG0000331	7	15	5	6	2	35
OG0000332	35	0	0	0	0	35
OG0000333	8	18	6	2	1	35
OG0000334	4	1	19	0	11	35
OG0000335	5	0	11	12	7	35
OG0000336	3	25	1	2	4	35
OG0000337	6	2	22	0	5	35
OG0000338	7	20	4	2	2	35
OG0000339	6	0	13	0	16	35
OG0000340	0	35	0	0	0	35
OG0000341	0	35	0	0	0	35
OG0000342	0	35	0	0	0	35
OG0000343	0	0	2	0	33	35
OG0000344	0	0	9	0	26	35
OG0000345	0	0	0	0	35	35
OG0000346	34	0	0	0	0	34
OG0000347	34	0	0	0	0	34
OG0000348	6	10	7	9	2	34
OG0000349	7	0	10	8	9	34
OG0000350	7	25	1	1	0	34
OG0000351	2	0	30	2	0	34
OG0000352	2	4	11	10	7	34
OG0000353	0	34	0	0	0	34
OG0000354	0	34	0	0	0	34
OG0000355	0	34	0	0	0	34
OG0000356	0	34	0	0	0	34
OG0000357	0	34	0	0	0	34
OG0000358	0	34	0	0	0	34
OG0000359	0	34	0	0	0	34
OG0000360	0	0	33	0	1	34
OG0000361	0	0	32	0	2	34
OG0000362	0	0	27	1	6	34
OG0000363	33	0	0	0	0	33
OG0000364	33	0	0	0	0	33
OG0000365	4	5	3	12	9	33
OG0000366	10	9	5	4	5	33
OG0000367	2	6	7	14	4	33
OG0000368	10	11	4	3	5	33
OG0000369	12	10	5	4	2	33
OG0000370	2	16	5	5	5	33
OG0000371	3	11	8	6	5	33
OG0000372	18	3	1	10	1	33
OG0000373	0	33	0	0	0	33
OG0000374	0	33	0	0	0	33
OG0000375	0	33	0	0	0	33
OG0000376	0	33	0	0	0	33
OG0000377	0	33	0	0	0	33
OG0000378	0	33	0	0	0	33
OG0000379	0	33	0	0	0	33
OG0000380	0	1	1	0	31	33
OG0000381	0	1	29	0	3	33
OG0000382	0	0	33	0	0	33
OG0000383	0	0	9	0	24	33
OG0000384	0	0	2	0	31	33
OG0000385	18	2	3	8	1	32
OG0000386	32	0	0	0	0	32
OG0000387	15	4	6	4	3	32
OG0000388	23	4	2	1	2	32
OG0000389	5	12	6	3	6	32
OG0000390	6	13	6	3	4	32
OG0000391	14	6	3	3	6	32
OG0000392	4	22	2	2	2	32
OG0000393	6	2	11	4	9	32
OG0000394	8	9	7	3	5	32
OG0000395	8	18	4	1	1	32
OG0000396	3	3	11	6	9	32
OG0000397	4	12	7	7	2	32
OG0000398	3	14	10	3	2	32
OG0000399	0	32	0	0	0	32
OG0000400	0	32	0	0	0	32
OG0000401	0	32	0	0	0	32
OG0000402	0	32	0	0	0	32
OG0000403	0	32	0	0	0	32
OG0000404	0	32	0	0	0	32
OG0000405	0	0	0	32	0	32
OG0000406	0	0	0	0	32	32
OG0000407	0	0	0	0	32	32
OG0000408	4	6	8	13	0	31
OG0000409	31	0	0	0	0	31
OG0000410	9	10	3	6	3	31
OG0000411	31	0	0	0	0	31
OG0000412	2	2	0	27	0	31
OG0000413	4	11	6	5	5	31
OG0000414	9	4	13	0	5	31
OG0000415	7	11	5	6	2	31
OG0000416	8	7	4	7	5	31
OG0000417	2	2	1	25	1	31
OG0000418	1	12	6	9	3	31
OG0000419	1	0	0	0	30	31
OG0000420	0	31	0	0	0	31
OG0000421	0	31	0	0	0	31
OG0000422	0	31	0	0	0	31
OG0000423	0	31	0	0	0	31
OG0000424	0	31	0	0	0	31
OG0000425	0	31	0	0	0	31
OG0000426	0	0	27	0	4	31
OG0000427	0	0	1	0	30	31
OG0000428	18	3	2	4	3	30
OG0000429	23	1	2	3	1	30
OG0000430	9	2	8	3	8	30
OG0000431	5	1	13	3	8	30
OG0000432	30	0	0	0	0	30
OG0000433	28	1	1	0	0	30
OG0000434	3	13	8	3	3	30
OG0000435	7	7	7	4	5	30
OG0000436	6	10	5	3	6	30
OG0000437	2	0	5	20	3	30
OG0000438	30	0	0	0	0	30
OG0000439	11	5	6	7	1	30
OG0000440	5	10	10	2	3	30
OG0000441	1	0	28	0	1	30
OG0000442	5	5	7	8	5	30
OG0000443	0	30	0	0	0	30
OG0000444	0	27	0	3	0	30
OG0000445	0	30	0	0	0	30
OG0000446	0	30	0	0	0	30
OG0000447	0	30	0	0	0	30
OG0000448	0	1	24	1	4	30
OG0000449	0	1	0	29	0	30
OG0000450	0	0	30	0	0	30
OG0000451	0	0	30	0	0	30
OG0000452	0	0	25	0	5	30
OG0000453	0	0	20	4	6	30
OG0000454	0	0	1	0	29	30
OG0000455	0	0	30	0	0	30
OG0000456	0	0	2	24	4	30
OG0000457	0	0	0	0	30	30
OG0000458	0	0	0	0	30	30
OG0000459	0	0	0	0	30	30
OG0000460	29	0	0	0	0	29
OG0000461	9	9	3	3	5	29
OG0000462	29	0	0	0	0	29
OG0000463	4	11	4	6	4	29
OG0000464	13	1	15	0	0	29
OG0000465	9	5	5	4	6	29
OG0000466	12	9	3	3	2	29
OG0000467	6	8	7	3	5	29
OG0000468	12	4	3	7	3	29
OG0000469	29	0	0	0	0	29
OG0000470	6	14	1	4	4	29
OG0000471	6	0	6	9	8	29
OG0000472	8	10	3	4	4	29
OG0000473	2	6	9	1	11	29
OG0000474	2	15	4	3	5	29
OG0000475	2	3	22	0	2	29
OG0000476	2	22	2	1	2	29
OG0000477	4	0	5	17	3	29
OG0000478	1	0	15	5	8	29
OG0000479	0	27	1	0	1	29
OG0000480	0	29	0	0	0	29
OG0000481	0	1	24	0	4	29
OG0000482	0	22	2	1	4	29
OG0000483	0	29	0	0	0	29
OG0000484	0	29	0	0	0	29
OG0000485	0	0	26	0	3	29
OG0000486	0	0	27	0	2	29
OG0000487	0	0	28	0	1	29
OG0000488	5	4	9	1	9	28
OG0000489	28	0	0	0	0	28
OG0000490	17	3	3	3	2	28
OG0000491	13	3	4	6	2	28
OG0000492	28	0	0	0	0	28
OG0000493	8	8	4	4	4	28
OG0000494	8	8	4	3	5	28
OG0000495	7	4	5	5	7	28
OG0000496	15	7	2	1	3	28
OG0000497	4	4	10	2	8	28
OG0000498	28	0	0	0	0	28
OG0000499	1	15	2	10	0	28
OG0000500	9	10	2	3	4	28
OG0000501	27	1	0	0	0	28
OG0000502	6	5	5	8	4	28
OG0000503	4	4	3	1	16	28
OG0000504	5	7	7	2	7	28
OG0000505	6	9	4	4	5	28
OG0000506	28	0	0	0	0	28
OG0000507	3	9	5	8	3	28
OG0000508	8	7	5	3	5	28
OG0000509	4	10	7	2	5	28
OG0000510	1	0	8	0	19	28
OG0000511	2	21	3	1	1	28
OG0000512	2	11	1	13	1	28
OG0000513	1	13	5	4	5	28
OG0000514	0	28	0	0	0	28
OG0000515	0	28	0	0	0	28
OG0000516	0	28	0	0	0	28
OG0000517	0	28	0	0	0	28
OG0000518	0	6	22	0	0	28
OG0000519	0	0	25	0	3	28
OG0000520	0	0	19	0	9	28
OG0000521	0	0	1	25	2	28
OG0000522	10	1	6	5	5	27
OG0000523	27	0	0	0	0	27
OG0000524	5	1	4	8	9	27
OG0000525	6	10	4	3	4	27
OG0000526	2	0	16	8	1	27
OG0000527	27	0	0	0	0	27
OG0000528	27	0	0	0	0	27
OG0000529	6	3	4	2	12	27
OG0000530	6	2	6	1	12	27
OG0000531	6	8	3	3	7	27
OG0000532	9	7	4	4	3	27
OG0000533	4	3	10	5	5	27
OG0000534	27	0	0	0	0	27
OG0000535	7	8	5	2	5	27
OG0000536	18	3	2	1	3	27
OG0000537	27	0	0	0	0	27
OG0000538	4	7	5	5	6	27
OG0000539	9	4	5	4	5	27
OG0000540	2	16	4	2	3	27
OG0000541	7	8	6	2	4	27
OG0000542	17	3	3	3	1	27
OG0000543	6	3	9	1	8	27
OG0000544	5	10	4	4	4	27
OG0000545	6	3	15	1	2	27
OG0000546	5	6	13	1	2	27
OG0000547	27	0	0	0	0	27
OG0000548	8	8	7	2	2	27
OG0000549	6	10	4	3	4	27
OG0000550	6	8	4	4	5	27
OG0000551	1	0	24	0	2	27
OG0000552	2	4	2	17	2	27
OG0000553	8	2	4	7	6	27
OG0000554	2	3	12	3	7	27
OG0000555	5	10	5	3	4	27
OG0000556	14	5	3	4	1	27
OG0000557	9	5	3	5	5	27
OG0000558	2	6	15	0	4	27
OG0000559	3	11	4	4	5	27
OG0000560	1	4	9	7	6	27
OG0000561	2	5	12	4	4	27
OG0000562	1	15	4	3	4	27
OG0000563	0	27	0	0	0	27
OG0000564	0	27	0	0	0	27
OG0000565	0	27	0	0	0	27
OG0000566	0	27	0	0	0	27
OG0000567	0	25	0	1	1	27
OG0000568	0	27	0	0	0	27
OG0000569	0	27	0	0	0	27
OG0000570	0	5	15	2	5	27
OG0000571	0	27	0	0	0	27
OG0000572	0	27	0	0	0	27
OG0000573	0	27	0	0	0	27
OG0000574	0	27	0	0	0	27
OG0000575	0	2	21	1	3	27
OG0000576	0	0	26	0	1	27
OG0000577	0	0	6	0	21	27
OG0000578	0	0	27	0	0	27
OG0000579	0	0	1	0	26	27
OG0000580	0	0	0	0	27	27
OG0000581	0	0	0	0	27	27
OG0000582	22	1	1	2	0	26
OG0000583	13	4	4	2	3	26
OG0000584	16	6	1	1	2	26
OG0000585	10	11	2	2	1	26
OG0000586	8	5	4	5	4	26
OG0000587	4	5	5	6	6	26
OG0000588	26	0	0	0	0	26
OG0000589	26	0	0	0	0	26
OG0000590	26	0	0	0	0	26
OG0000591	8	8	4	2	4	26
OG0000592	26	0	0	0	0	26
OG0000593	6	1	2	16	1	26
OG0000594	6	1	17	0	2	26
OG0000595	22	3	0	0	1	26
OG0000596	26	0	0	0	0	26
OG0000597	7	7	5	3	4	26
OG0000598	6	3	5	6	6	26
OG0000599	10	5	6	1	4	26
OG0000600	1	8	8	3	6	26
OG0000601	5	5	6	4	6	26
OG0000602	26	0	0	0	0	26
OG0000603	4	9	5	3	5	26
OG0000604	6	8	4	3	5	26
OG0000605	5	8	2	9	2	26
OG0000606	11	6	1	5	3	26
OG0000607	4	0	16	3	3	26
OG0000608	6	10	4	3	3	26
OG0000609	6	8	4	4	4	26
OG0000610	9	4	6	3	4	26
OG0000611	8	3	4	5	6	26
OG0000612	9	8	2	4	3	26
OG0000613	8	12	2	2	2	26
OG0000614	7	6	4	4	5	26
OG0000615	6	7	6	1	6	26
OG0000616	6	9	1	3	7	26
OG0000617	3	5	9	7	2	26
OG0000618	4	0	6	5	11	26
OG0000619	4	14	0	6	2	26
OG0000620	5	5	4	6	6	26
OG0000621	12	2	5	5	2	26
OG0000622	1	0	21	0	4	26
OG0000623	2	0	17	1	6	26
OG0000624	3	1	8	8	6	26
OG0000625	0	26	0	0	0	26
OG0000626	0	26	0	0	0	26
OG0000627	0	10	5	7	4	26
OG0000628	0	26	0	0	0	26
OG0000629	0	26	0	0	0	26
OG0000630	0	26	0	0	0	26
OG0000631	0	26	0	0	0	26
OG0000632	0	26	0	0	0	26
OG0000633	0	3	0	23	0	26
OG0000634	0	25	0	0	1	26
OG0000635	0	13	7	2	4	26
OG0000636	0	2	22	0	2	26
OG0000637	0	0	21	0	5	26
OG0000638	0	0	8	0	18	26
OG0000639	0	0	0	26	0	26
OG0000640	0	0	0	26	0	26
OG0000641	0	0	0	0	26	26
OG0000642	0	0	0	0	26	26
OG0000643	0	0	0	0	26	26
OG0000644	25	0	0	0	0	25
OG0000645	25	0	0	0	0	25
OG0000646	7	4	10	2	2	25
OG0000647	25	0	0	0	0	25
OG0000648	4	12	4	2	3	25
OG0000649	12	2	3	2	6	25
OG0000650	5	8	4	3	5	25
OG0000651	5	10	3	4	3	25
OG0000652	19	2	2	1	1	25
OG0000653	6	10	4	2	3	25
OG0000654	5	7	5	3	5	25
OG0000655	6	6	4	4	5	25
OG0000656	6	4	5	4	6	25
OG0000657	20	2	1	1	1	25
OG0000658	8	7	3	3	4	25
OG0000659	25	0	0	0	0	25
OG0000660	10	6	3	3	3	25
OG0000661	8	7	2	4	4	25
OG0000662	6	10	3	2	4	25
OG0000663	7	6	5	2	5	25
OG0000664	5	11	3	2	4	25
OG0000665	6	2	6	6	5	25
OG0000666	5	13	4	1	2	25
OG0000667	4	10	4	3	4	25
OG0000668	6	5	6	4	4	25
OG0000669	4	2	17	1	1	25
OG0000670	2	15	2	4	2	25
OG0000671	7	8	3	3	4	25
OG0000672	5	13	1	2	4	25
OG0000673	5	10	3	4	3	25
OG0000674	7	12	2	3	1	25
OG0000675	5	9	3	3	5	25
OG0000676	8	1	5	4	7	25
OG0000677	25	0	0	0	0	25
OG0000678	1	24	0	0	0	25
OG0000679	8	6	4	3	4	25
OG0000680	8	6	3	3	5	25
OG0000681	25	0	0	0	0	25
OG0000682	5	11	2	4	3	25
OG0000683	8	10	3	3	1	25
OG0000684	5	0	2	16	2	25
OG0000685	14	4	6	0	1	25
OG0000686	3	2	18	0	2	25
OG0000687	1	18	0	2	4	25
OG0000688	6	8	4	3	4	25
OG0000689	2	10	5	6	2	25
OG0000690	4	1	6	7	7	25
OG0000691	4	7	2	6	6	25
OG0000692	4	14	6	0	1	25
OG0000693	4	3	14	0	4	25
OG0000694	8	12	2	1	2	25
OG0000695	2	12	6	2	3	25
OG0000696	3	11	5	2	4	25
OG0000697	2	12	4	4	3	25
OG0000698	2	4	6	10	3	25
OG0000699	1	2	16	0	6	25
OG0000700	0	25	0	0	0	25
OG0000701	0	25	0	0	0	25
OG0000702	0	25	0	0	0	25
OG0000703	0	17	2	2	4	25
OG0000704	0	25	0	0	0	25
OG0000705	0	4	20	0	1	25
OG0000706	0	25	0	0	0	25
OG0000707	0	25	0	0	0	25
OG0000708	0	0	2	0	23	25
OG0000709	0	0	24	0	1	25
OG0000710	0	0	2	2	21	25
OG0000711	0	0	0	25	0	25
OG0000712	0	0	0	25	0	25
OG0000713	0	0	0	25	0	25
OG0000714	0	0	0	0	25	25
OG0000715	10	0	0	12	2	24
OG0000716	8	6	3	5	2	24
OG0000717	3	1	14	2	4	24
OG0000718	9	4	2	4	5	24
OG0000719	4	4	7	2	7	24
OG0000720	4	11	3	4	2	24
OG0000721	6	10	3	3	2	24
OG0000722	6	6	5	4	3	24
OG0000723	3	3	14	0	4	24
OG0000724	6	1	3	0	14	24
OG0000725	3	7	1	1	12	24
OG0000726	9	2	3	4	6	24
OG0000727	5	8	4	3	4	24
OG0000728	24	0	0	0	0	24
OG0000729	6	5	4	3	6	24
OG0000730	9	7	2	4	2	24
OG0000731	7	5	3	4	5	24
OG0000732	4	7	5	3	5	24
OG0000733	8	8	3	2	3	24
OG0000734	5	1	10	6	2	24
OG0000735	4	14	2	2	2	24
OG0000736	24	0	0	0	0	24
OG0000737	7	4	1	9	3	24
OG0000738	24	0	0	0	0	24
OG0000739	5	9	4	3	3	24
OG0000740	3	3	11	3	4	24
OG0000741	2	10	5	3	4	24
OG0000742	7	6	2	5	4	24
OG0000743	6	8	4	2	4	24
OG0000744	8	4	3	5	4	24
OG0000745	7	6	3	4	4	24
OG0000746	9	4	3	6	2	24
OG0000747	4	2	9	3	6	24
OG0000748	6	7	4	3	4	24
OG0000749	5	1	7	6	5	24
OG0000750	6	8	2	5	3	24
OG0000751	6	11	2	2	3	24
OG0000752	3	14	2	1	4	24
OG0000753	2	13	2	5	2	24
OG0000754	2	0	3	13	6	24
OG0000755	11	3	3	3	4	24
OG0000756	5	11	1	4	3	24
OG0000757	6	4	5	7	2	24
OG0000758	5	1	13	1	4	24
OG0000759	8	7	4	1	4	24
OG0000760	5	7	3	3	6	24
OG0000761	4	12	3	2	3	24
OG0000762	4	0	7	9	4	24
OG0000763	4	3	10	6	1	24
OG0000764	24	0	0	0	0	24
OG0000765	6	5	4	4	5	24
OG0000766	2	2	4	1	15	24
OG0000767	4	10	5	2	3	24
OG0000768	5	4	4	3	8	24
OG0000769	6	11	4	2	1	24
OG0000770	2	3	15	1	3	24
