Orthogroup	Duplications (all)	Duplications (50% support)
OG0000134	54	54
OG0000135	51	51
OG0000136	53	53
OG0000137	44	43
OG0000138	45	44
OG0000139	45	44
OG0000140	45	44
OG0000141	53	53
OG0000142	53	53
OG0000143	53	53
OG0000144	52	52
OG0000145	52	52
OG0000146	51	51
OG0000147	42	42
OG0000148	51	51
OG0000149	51	51
OG0000150	51	51
OG0000151	51	51
OG0000152	50	50
OG0000153	50	50
OG0000154	50	50
OG0000155	42	41
OG0000156	50	50
OG0000157	47	47
OG0000158	48	48
OG0000159	50	50
OG0000160	49	49
OG0000161	49	49
OG0000162	49	49
OG0000163	49	49
OG0000164	40	39
OG0000165	40	39
OG0000166	48	48
OG0000167	44	44
OG0000168	48	48
OG0000169	48	48
OG0000170	48	48
OG0000171	48	48
OG0000172	48	48
OG0000173	37	30
OG0000174	47	47
OG0000175	40	40
OG0000176	38	36
OG0000177	47	47
OG0000178	46	46
OG0000179	41	40
OG0000180	40	40
OG0000181	46	46
OG0000182	40	40
OG0000183	38	38
OG0000184	42	40
OG0000185	46	46
OG0000186	46	46
OG0000187	45	45
OG0000188	34	32
OG0000189	36	33
OG0000190	34	32
OG0000191	45	45
OG0000192	45	45
OG0000193	43	43
OG0000194	34	28
OG0000195	38	34
OG0000196	38	38
OG0000197	39	38
OG0000198	44	44
OG0000199	44	44
OG0000200	44	44
OG0000201	44	44
OG0000202	44	44
OG0000203	44	44
OG0000204	38	38
OG0000205	36	36
OG0000206	44	44
OG0000207	43	43
OG0000208	36	27
OG0000209	32	32
OG0000210	35	35
OG0000211	35	27
OG0000212	35	31
OG0000213	38	37
OG0000214	43	43
OG0000215	43	43
OG0000216	43	43
OG0000217	39	39
OG0000218	43	43
OG0000219	42	42
OG0000220	42	42
OG0000221	42	42
OG0000222	37	35
OG0000223	31	30
OG0000224	32	29
OG0000225	32	29
OG0000226	42	42
OG0000227	42	42
OG0000228	42	42
OG0000229	42	42
OG0000230	36	36
OG0000231	39	39
OG0000232	39	39
OG0000233	42	42
OG0000234	42	42
OG0000235	35	34
OG0000236	21	19
OG0000237	41	41
OG0000238	41	41
OG0000239	35	35
OG0000240	39	39
OG0000241	41	41
OG0000242	38	38
OG0000243	40	40
OG0000244	40	40
OG0000245	40	40
OG0000246	34	34
OG0000247	33	33
OG0000248	28	25
OG0000249	28	27
OG0000250	32	32
OG0000251	21	18
OG0000252	35	35
OG0000253	34	34
OG0000254	40	40
OG0000255	40	40
OG0000256	40	40
OG0000257	40	40
OG0000258	40	40
OG0000259	38	38
OG0000260	25	23
OG0000261	28	28
OG0000262	30	28
OG0000263	26	26
OG0000264	31	31
OG0000265	31	30
OG0000266	36	35
OG0000267	39	39
OG0000268	39	39
OG0000269	39	39
OG0000270	31	31
OG0000271	37	37
OG0000272	38	38
OG0000273	38	38
OG0000274	37	37
OG0000275	26	24
OG0000276	31	31
OG0000277	31	30
OG0000278	21	19
OG0000279	23	19
OG0000280	25	25
OG0000281	26	26
OG0000282	28	18
OG0000283	34	34
OG0000284	33	33
OG0000285	33	33
OG0000286	33	33
OG0000287	37	37
OG0000288	37	37
OG0000289	30	29
OG0000290	30	30
OG0000291	28	25
OG0000292	24	15
OG0000293	27	27
OG0000294	27	27
OG0000295	37	37
OG0000296	37	37
OG0000297	35	35
OG0000298	37	37
OG0000299	37	37
OG0000300	36	36
OG0000301	36	36
OG0000302	30	29
OG0000303	31	31
OG0000304	27	25
OG0000305	29	27
OG0000306	23	22
OG0000307	36	36
OG0000308	36	36
OG0000309	36	36
OG0000310	36	36
OG0000311	34	34
OG0000312	34	34
OG0000313	27	26
OG0000314	35	35
OG0000315	27	27
OG0000316	35	35
OG0000317	20	19
OG0000318	29	29
OG0000319	23	23
OG0000320	27	26
OG0000321	22	19
OG0000322	35	35
OG0000323	35	35
OG0000324	35	35
OG0000325	35	35
OG0000326	35	35
OG0000327	34	34
OG0000328	30	30
OG0000329	32	32
OG0000330	30	30
OG0000331	25	24
OG0000332	34	34
OG0000333	29	27
OG0000334	24	20
OG0000335	25	24
OG0000336	30	30
OG0000337	26	19
OG0000338	29	29
OG0000339	30	30
OG0000340	34	34
OG0000341	34	34
OG0000342	34	34
OG0000343	33	33
OG0000344	29	29
OG0000345	34	34
OG0000346	33	33
OG0000347	33	33
OG0000348	27	27
OG0000349	26	26
OG0000350	30	30
OG0000351	30	30
OG0000352	26	26
OG0000353	33	33
OG0000354	33	33
OG0000355	33	33
OG0000356	33	33
OG0000357	33	33
OG0000358	33	33
OG0000359	33	33
OG0000360	32	32
OG0000361	31	31
OG0000362	27	27
OG0000363	32	32
OG0000364	32	32
OG0000365	24	23
OG0000366	21	21
OG0000367	25	24
OG0000368	23	23
OG0000369	23	22
OG0000370	26	26
OG0000371	19	15
OG0000372	27	27
OG0000373	32	32
OG0000374	32	32
OG0000375	32	32
OG0000376	32	32
OG0000377	32	32
OG0000378	32	32
OG0000379	32	32
OG0000380	30	30
OG0000381	29	29
OG0000382	32	32
OG0000383	28	28
OG0000384	31	31
OG0000385	25	24
OG0000386	31	31
OG0000387	23	22
OG0000388	27	27
OG0000389	20	20
OG0000390	20	20
OG0000391	26	26
OG0000392	24	24
OG0000393	21	19
OG0000394	18	18
OG0000395	25	24
OG0000396	15	14
OG0000397	25	24
OG0000398	26	26
OG0000399	31	31
OG0000400	31	31
OG0000401	31	31
OG0000402	31	31
OG0000403	31	31
OG0000404	31	31
OG0000405	31	31
OG0000406	31	31
OG0000407	31	31
OG0000408	22	20
OG0000409	30	30
OG0000410	20	19
OG0000411	30	30
OG0000412	28	28
OG0000413	18	18
OG0000414	22	21
OG0000415	24	24
OG0000416	20	20
OG0000417	26	26
OG0000418	21	19
OG0000419	29	29
OG0000420	30	30
OG0000421	30	30
OG0000422	30	30
OG0000423	30	30
OG0000424	30	30
OG0000425	30	30
OG0000426	27	27
OG0000427	29	29
OG0000428	23	23
OG0000429	25	25
OG0000430	14	14
OG0000431	18	17
OG0000432	29	29
OG0000433	27	27
OG0000434	22	22
OG0000435	14	12
OG0000436	17	14
OG0000437	25	25
OG0000438	29	29
OG0000439	25	25
OG0000440	21	20
OG0000441	27	27
OG0000442	15	15
OG0000443	29	29
OG0000444	28	28
OG0000445	29	29
OG0000446	29	29
OG0000447	29	29
OG0000448	25	25
OG0000449	28	28
OG0000450	29	29
OG0000451	29	29
OG0000452	25	25
OG0000453	24	24
OG0000454	28	28
OG0000455	29	29
OG0000456	25	25
OG0000457	29	29
OG0000458	29	29
OG0000459	29	29
OG0000460	28	28
OG0000461	16	14
OG0000462	28	28
OG0000463	20	20
OG0000464	26	26
OG0000465	14	13
OG0000466	16	14
OG0000467	14	12
OG0000468	20	20
OG0000469	28	28
OG0000470	24	24
OG0000471	20	20
OG0000472	14	14
OG0000473	18	18
OG0000474	17	17
OG0000475	24	21
OG0000476	23	23
OG0000477	24	24
OG0000478	20	20
OG0000479	26	26
OG0000480	28	28
OG0000481	24	24
OG0000482	25	22
OG0000483	28	28
OG0000484	28	28
OG0000485	25	25
OG0000486	27	27
OG0000487	27	27
OG0000488	20	20
OG0000489	27	27
OG0000490	20	18
OG0000491	20	18
OG0000492	27	27
OG0000493	16	15
OG0000494	16	14
OG0000495	13	13
OG0000496	22	22
OG0000497	17	17
OG0000498	27	27
OG0000499	24	24
OG0000500	22	22
OG0000501	26	26
OG0000502	18	17
OG0000503	22	21
OG0000504	16	13
OG0000505	16	15
OG0000506	27	27
OG0000507	18	17
OG0000508	18	18
OG0000509	20	20
OG0000510	23	23
OG0000511	23	23
OG0000512	23	23
OG0000513	17	14
OG0000514	27	27
OG0000515	27	27
OG0000516	27	27
OG0000517	27	27
OG0000518	24	20
OG0000519	24	24
OG0000520	22	22
OG0000521	24	23
OG0000522	12	11
OG0000523	26	26
OG0000524	18	18
OG0000525	16	16
OG0000526	23	23
OG0000527	26	26
OG0000528	26	26
OG0000529	18	17
OG0000530	19	18
OG0000531	16	15
OG0000532	16	15
OG0000533	18	15
OG0000534	26	26
OG0000535	15	15
OG0000536	21	21
OG0000537	26	26
OG0000538	20	20
OG0000539	13	12
OG0000540	18	18
OG0000541	16	13
OG0000542	21	19
OG0000543	16	16
OG0000544	14	14
OG0000545	21	21
OG0000546	18	17
OG0000547	26	26
OG0000548	18	18
OG0000549	14	14
OG0000550	16	15
OG0000551	24	24
OG0000552	21	21
OG0000553	18	16
OG0000554	15	15
OG0000555	15	15
OG0000556	21	21
OG0000557	14	13
OG0000558	21	20
OG0000559	18	16
OG0000560	12	11
OG0000561	18	18
OG0000562	18	18
OG0000563	26	26
OG0000564	26	26
OG0000565	26	26
OG0000566	26	26
OG0000567	24	24
OG0000568	26	26
OG0000569	26	26
OG0000570	22	21
OG0000571	26	26
OG0000572	26	26
OG0000573	26	26
OG0000574	26	26
OG0000575	22	22
OG0000576	25	25
OG0000577	23	23
OG0000578	26	26
OG0000579	25	25
OG0000580	26	26
OG0000581	26	26
OG0000582	22	22
OG0000583	17	17
OG0000584	21	21
OG0000585	21	21
OG0000586	15	14
OG0000587	16	16
OG0000588	25	25
OG0000589	25	25
OG0000590	25	25
OG0000591	15	14
OG0000592	25	25
OG0000593	19	13
OG0000594	20	20
OG0000595	23	23
OG0000596	25	25
OG0000597	13	12
OG0000598	17	17
OG0000599	15	12
OG0000600	15	15
OG0000601	11	11
OG0000602	25	25
OG0000603	13	13
OG0000604	12	12
OG0000605	19	19
OG0000606	20	20
OG0000607	18	18
OG0000608	18	17
OG0000609	10	10
OG0000610	14	14
OG0000611	15	13
OG0000612	17	16
OG0000613	18	18
OG0000614	14	13
OG0000615	16	16
OG0000616	18	18
OG0000617	18	15
OG0000618	18	18
OG0000619	18	16
OG0000620	20	20
OG0000621	19	18
OG0000622	20	20
OG0000623	18	18
OG0000624	10	9
OG0000625	25	25
OG0000626	25	25
OG0000627	18	18
OG0000628	25	25
OG0000629	25	25
OG0000630	25	25
OG0000631	25	25
OG0000632	25	25
OG0000633	24	24
OG0000634	24	24
OG0000635	19	19
OG0000636	21	20
OG0000637	20	20
OG0000638	20	20
OG0000639	25	25
OG0000640	25	25
OG0000641	25	25
OG0000642	25	25
OG0000643	25	25
OG0000644	24	24
OG0000645	24	24
OG0000646	17	17
OG0000647	24	24
OG0000648	19	19
OG0000649	18	18
OG0000650	14	12
OG0000651	15	15
OG0000652	20	20
OG0000653	18	18
OG0000654	12	12
OG0000655	12	12
OG0000656	10	10
OG0000657	20	20
OG0000658	17	15
OG0000659	24	24
OG0000660	13	13
OG0000661	16	11
OG0000662	18	17
OG0000663	13	11
OG0000664	15	15
OG0000665	13	10
OG0000666	19	19
OG0000667	12	12
OG0000668	11	10
OG0000669	19	14
OG0000670	17	16
OG0000671	14	13
OG0000672	19	18
OG0000673	14	12
OG0000674	20	20
OG0000675	14	13
OG0000676	13	12
OG0000677	24	24
OG0000678	23	23
OG0000679	12	11
OG0000680	13	12
OG0000681	24	24
OG0000682	14	13
OG0000683	18	18
OG0000684	20	20
OG0000685	20	20
OG0000686	17	9
OG0000687	19	19
OG0000688	14	14
OG0000689	19	19
OG0000690	12	12
OG0000691	17	15
OG0000692	20	20
OG0000693	19	19
OG0000694	18	17
OG0000695	18	18
OG0000696	16	15
OG0000697	19	19
OG0000698	16	12
OG0000699	18	18
OG0000700	24	24
OG0000701	24	24
OG0000702	24	24
OG0000703	19	18
OG0000704	24	24
OG0000705	21	20
OG0000706	24	24
OG0000707	24	24
OG0000708	23	23
OG0000709	23	23
OG0000710	21	21
OG0000711	24	24
OG0000712	24	24
OG0000713	24	24
OG0000714	24	24
OG0000715	21	21
OG0000716	15	15
OG0000717	16	16
OG0000718	14	14
OG0000719	11	10
OG0000720	14	13
OG0000721	16	16
OG0000722	11	10
OG0000723	14	9
OG0000724	18	18
OG0000725	19	19
OG0000726	14	14
OG0000727	12	11
OG0000728	23	23
OG0000729	12	10
OG0000730	18	18
OG0000731	17	16
OG0000732	16	16
OG0000733	14	14
OG0000734	13	8
OG0000735	18	17
OG0000736	23	23
OG0000737	17	17
OG0000738	23	23
OG0000739	14	14
OG0000740	17	17
OG0000741	15	14
OG0000742	11	11
OG0000743	13	13
OG0000744	14	13
OG0000745	15	14
OG0000746	17	17
OG0000747	11	11
OG0000748	10	10
OG0000749	16	16
OG0000750	15	15
OG0000751	15	15
OG0000752	18	18
OG0000753	18	18
OG0000754	18	18
OG0000755	14	12
OG0000756	19	19
OG0000757	13	13
OG0000758	18	18
OG0000759	16	15
OG0000760	14	14
OG0000761	14	14
OG0000762	18	18
OG0000763	16	12
OG0000764	23	23
OG0000765	12	10
OG0000766	17	17
OG0000767	17	17
OG0000768	14	14
OG0000769	19	19
OG0000770	17	16
OG0000771	19	19
OG0000772	20	20
OG0000773	14	13
OG0000774	18	18
OG0000775	18	17
OG0000776	16	16
OG0000777	15	14
OG0000778	23	23
OG0000779	23	23
OG0000780	23	23
OG0000781	18	18
OG0000782	23	23
OG0000783	23	23
OG0000784	23	23
OG0000785	21	21
OG0000786	22	22
OG0000787	21	21
OG0000788	20	20
OG0000789	20	20
OG0000790	21	21
OG0000791	22	22
OG0000792	23	23
OG0000793	23	23
OG0000794	23	23
OG0000795	23	23
OG0000796	23	23
OG0000797	23	23
OG0000798	22	22
OG0000799	9	9
OG0000800	15	15
OG0000801	22	22
OG0000802	15	15
OG0000803	22	22
OG0000804	18	18
OG0000805	12	11
OG0000806	16	16
OG0000807	14	14
OG0000808	19	19
OG0000809	17	17
OG0000810	22	22
OG0000811	12	11
OG0000812	15	15
OG0000813	11	11
OG0000814	15	15
OG0000815	13	13
OG0000816	22	22
OG0000817	18	13
OG0000818	14	14
OG0000819	18	18
OG0000820	14	14
OG0000821	13	12
OG0000822	18	18
OG0000823	17	17
OG0000824	15	15
OG0000825	13	13
OG0000826	19	18
OG0000827	13	13
OG0000828	11	11
OG0000829	16	15
OG0000830	17	17
OG0000831	17	17
OG0000832	16	16
OG0000833	17	17
OG0000834	11	11
OG0000835	14	14
OG0000836	15	15
OG0000837	16	16
OG0000838	14	14
OG0000839	18	18
OG0000840	18	16
OG0000841	19	19
OG0000842	14	14
OG0000843	17	16
OG0000844	14	14
OG0000845	10	10
OG0000846	14	13
OG0000847	13	13
OG0000848	20	20
OG0000849	18	18
OG0000850	16	16
OG0000851	16	15
OG0000852	22	22
OG0000853	22	22
OG0000854	22	22
OG0000855	22	22
OG0000856	22	22
OG0000857	22	22
OG0000858	22	22
OG0000859	17	17
OG0000860	21	21
OG0000861	21	21
OG0000862	20	20
OG0000863	21	21
OG0000864	20	20
OG0000865	18	18
OG0000866	21	21
OG0000867	19	19
OG0000868	20	20
OG0000869	22	22
OG0000870	22	22
OG0000871	22	22
OG0000872	22	22
OG0000873	20	20
OG0000874	20	20
OG0000875	16	15
OG0000876	17	16
OG0000877	18	18
OG0000878	21	21
OG0000879	15	15
OG0000880	14	14
OG0000881	12	12
OG0000882	15	15
OG0000883	11	10
OG0000884	11	11
OG0000885	13	13
OG0000886	21	21
OG0000887	21	21
OG0000888	15	15
OG0000889	14	14
OG0000890	21	21
OG0000891	21	21
OG0000892	13	13
OG0000893	18	18
OG0000894	13	13
OG0000895	21	21
OG0000896	21	21
OG0000897	10	10
OG0000898	16	16
OG0000899	13	13
OG0000900	14	14
OG0000901	16	16
OG0000902	16	15
OG0000903	16	16
OG0000904	16	16
OG0000905	14	14
OG0000906	17	15
OG0000907	14	14
OG0000908	14	13
OG0000909	12	12
OG0000910	16	16
OG0000911	14	14
OG0000912	14	12
OG0000913	13	12
OG0000914	16	16
OG0000915	21	21
OG0000916	17	17
OG0000917	21	21
OG0000918	13	13
OG0000919	17	17
OG0000920	18	18
OG0000921	16	16
OG0000922	11	11
OG0000923	12	12
OG0000924	13	12
OG0000925	12	12
OG0000926	15	13
OG0000927	15	15
OG0000928	17	17
OG0000929	16	16
OG0000930	13	11
OG0000931	15	15
OG0000932	14	14
OG0000933	12	11
OG0000934	14	14
OG0000935	15	15
OG0000936	15	14
OG0000937	12	12
OG0000938	14	14
OG0000939	17	16
OG0000940	15	15
OG0000941	12	12
OG0000942	13	12
OG0000943	18	18
OG0000944	13	13
OG0000945	14	14
OG0000946	15	15
OG0000947	11	11
OG0000948	15	15
OG0000949	21	21
OG0000950	11	10
OG0000951	18	18
OG0000952	20	20
OG0000953	19	19
OG0000954	21	21
OG0000955	21	21
OG0000956	21	21
OG0000957	21	21
OG0000958	21	21
OG0000959	16	16
OG0000960	21	21
OG0000961	21	21
OG0000962	21	21
OG0000963	21	21
OG0000964	21	21
OG0000965	21	21
OG0000966	17	17
OG0000967	14	14
OG0000968	21	21
OG0000969	21	21
OG0000970	19	19
OG0000971	17	17
OG0000972	19	19
OG0000973	18	18
OG0000974	20	20
OG0000975	19	19
OG0000976	20	20
OG0000977	21	21
OG0000978	15	14
OG0000979	16	16
OG0000980	20	20
OG0000981	20	20
OG0000982	15	15
OG0000983	20	20
OG0000984	14	13
OG0000985	9	9
OG0000986	20	20
OG0000987	14	14
OG0000988	11	11
OG0000989	13	13
OG0000990	15	15
OG0000991	12	12
OG0000992	15	12
OG0000993	11	11
OG0000994	20	20
OG0000995	10	9
OG0000996	12	12
OG0000997	13	13
OG0000998	10	10
OG0000999	15	15
OG0001000	16	16
OG0001001	12	12
OG0001002	10	10
OG0001003	14	14
OG0001004	9	8
OG0001005	13	13
OG0001006	14	14
OG0001007	12	12
OG0001008	15	15
OG0001009	16	16
OG0001010	19	19
OG0001011	10	7
OG0001012	14	14
OG0001013	12	12
OG0001014	11	11
OG0001015	14	13
OG0001016	12	12
OG0001017	13	13
OG0001018	10	10
OG0001019	12	12
OG0001020	14	14
OG0001021	11	11
OG0001022	13	13
OG0001023	16	16
OG0001024	10	10
OG0001025	16	16
OG0001026	20	20
OG0001027	14	14
OG0001028	14	13
OG0001029	14	14
OG0001030	16	16
OG0001031	13	12
OG0001032	17	17
OG0001033	13	13
OG0001034	13	13
OG0001035	20	20
OG0001036	12	12
OG0001037	12	12
OG0001038	15	15
OG0001039	12	12
OG0001040	15	15
OG0001041	20	20
OG0001042	12	12
OG0001043	13	13
OG0001044	12	12
OG0001045	12	12
OG0001046	10	10
OG0001047	12	12
OG0001048	12	12
OG0001049	11	10
OG0001050	15	15
OG0001051	15	15
OG0001052	11	10
OG0001053	13	13
OG0001054	10	10
OG0001055	14	14
OG0001056	12	12
OG0001057	12	12
OG0001058	16	10
OG0001059	12	12
OG0001060	14	11
OG0001061	14	14
OG0001062	11	10
OG0001063	11	10
OG0001064	15	15
OG0001065	17	17
OG0001066	11	11
OG0001067	11	11
OG0001068	17	17
OG0001069	13	13
OG0001070	10	9
OG0001071	16	16
OG0001072	14	14
OG0001073	15	15
OG0001074	12	11
OG0001075	16	16
OG0001076	15	15
OG0001077	9	8
OG0001078	12	11
OG0001079	16	15
OG0001080	19	19
OG0001081	12	12
OG0001082	20	20
OG0001083	16	16
OG0001084	20	20
OG0001085	20	20
OG0001086	20	20
OG0001087	20	20
OG0001088	20	20
OG0001089	20	20
OG0001090	20	20
OG0001091	15	12
OG0001092	17	15
OG0001093	20	20
OG0001094	20	20
OG0001095	20	20
OG0001096	20	20
OG0001097	18	18
OG0001098	20	20
OG0001099	18	18
OG0001100	19	19
OG0001101	18	18
OG0001102	18	18
OG0001103	16	16
OG0001104	20	20
OG0001105	20	20
OG0001106	15	15
OG0001107	17	17
OG0001108	10	10
OG0001109	15	15
OG0001110	13	12
OG0001111	14	14
OG0001112	13	13
OG0001113	15	15
OG0001114	19	19
OG0001115	11	11
OG0001116	15	15
OG0001117	19	19
OG0001118	19	19
OG0001119	15	15
OG0001120	19	19
OG0001121	15	15
OG0001122	19	19
OG0001123	11	9
OG0001124	9	9
OG0001125	14	13
OG0001126	19	19
OG0001127	9	9
OG0001128	11	11
OG0001129	16	16
OG0001130	10	10
OG0001131	13	12
OG0001132	12	12
OG0001133	10	10
OG0001134	9	9
OG0001135	11	11
OG0001136	10	9
OG0001137	11	11
OG0001138	12	11
OG0001139	13	12
OG0001140	11	11
OG0001141	13	13
OG0001142	10	9
OG0001143	9	7
OG0001144	14	14
OG0001145	12	12
OG0001146	11	11
OG0001147	10	10
OG0001148	11	11
OG0001149	12	12
OG0001150	16	16
OG0001151	7	7
OG0001152	13	13
OG0001153	10	10
OG0001154	13	10
OG0001155	18	18
OG0001156	18	18
OG0001157	12	12
OG0001158	14	14
OG0001159	12	12
OG0001160	10	10
OG0001161	7	7
OG0001162	19	19
OG0001163	11	11
OG0001164	9	8
OG0001165	10	10
OG0001166	10	10
OG0001167	11	11
OG0001168	19	19
OG0001169	14	12
OG0001170	12	12
OG0001171	11	10
OG0001172	13	12
OG0001173	13	13
OG0001174	12	12
OG0001175	14	14
OG0001176	10	10
OG0001177	14	14
OG0001178	13	11
OG0001179	14	14
OG0001180	13	13
OG0001181	12	12
OG0001182	12	12
OG0001183	13	13
OG0001184	11	9
OG0001185	13	13
OG0001186	13	13
OG0001187	12	11
OG0001188	12	12
OG0001189	12	12
OG0001190	10	10
OG0001191	14	14
OG0001192	15	15
OG0001193	16	16
OG0001194	15	14
OG0001195	13	13
OG0001196	11	10
OG0001197	10	10
OG0001198	11	11
OG0001199	11	11
OG0001200	13	11
OG0001201	15	15
OG0001202	14	13
OG0001203	15	15
OG0001204	14	14
OG0001205	11	11
OG0001206	14	14
OG0001207	13	13
OG0001208	15	15
OG0001209	15	15
OG0001210	11	11
OG0001211	12	12
OG0001212	13	11
OG0001213	11	10
OG0001214	13	13
OG0001215	14	14
OG0001216	14	13
OG0001217	11	11
OG0001218	15	15
OG0001219	10	10
OG0001220	15	14
OG0001221	14	14
OG0001222	12	12
OG0001223	11	11
OG0001224	16	16
OG0001225	14	13
OG0001226	12	12
OG0001227	16	16
OG0001228	10	10
OG0001229	15	15
OG0001230	13	13
OG0001231	19	19
OG0001232	9	6
OG0001233	19	19
OG0001234	19	19
OG0001235	19	19
OG0001236	19	19
OG0001237	19	19
OG0001238	19	19
OG0001239	19	19
OG0001240	19	19
OG0001241	19	19
OG0001242	19	19
OG0001243	19	19
OG0001244	19	19
OG0001245	19	19
OG0001246	13	13
OG0001247	16	15
OG0001248	18	18
OG0001249	19	19
OG0001250	13	13
OG0001251	16	16
OG0001252	18	18
OG0001253	18	18
OG0001254	14	13
OG0001255	19	19
OG0001256	19	19
OG0001257	19	19
OG0001258	19	19
OG0001259	19	19
OG0001260	19	19
OG0001261	19	19
OG0001262	19	19
OG0001263	14	14
OG0001264	12	12
OG0001265	11	11
OG0001266	14	14
OG0001267	14	14
OG0001268	13	13
OG0001269	10	10
OG0001270	10	10
OG0001271	11	10
OG0001272	16	16
OG0001273	11	11
OG0001274	10	9
OG0001275	13	12
OG0001276	12	12
OG0001277	10	10
OG0001278	13	13
OG0001279	14	14
OG0001280	10	10
OG0001281	13	13
OG0001282	11	11
OG0001283	11	11
OG0001284	13	13
OG0001285	18	18
OG0001286	13	12
OG0001287	10	10
OG0001288	10	10
OG0001289	9	8
OG0001290	10	10
OG0001291	18	18
OG0001292	13	13
OG0001293	17	17
OG0001294	11	11
OG0001295	13	11
OG0001296	14	14
OG0001297	10	10
OG0001298	9	9
OG0001299	15	15
OG0001300	9	8
OG0001301	14	14
OG0001302	10	10
OG0001303	11	11
OG0001304	10	10
OG0001305	11	10
OG0001306	8	8
OG0001307	18	18
OG0001308	9	9
OG0001309	10	9
OG0001310	11	11
OG0001311	18	18
OG0001312	8	8
OG0001313	11	10
OG0001314	10	9
OG0001315	11	11
OG0001316	10	10
OG0001317	9	9
OG0001318	13	13
OG0001319	10	10
OG0001320	18	18
OG0001321	15	15
OG0001322	12	12
OG0001323	11	11
OG0001324	11	11
OG0001325	10	10
OG0001326	15	15
OG0001327	13	13
OG0001328	18	18
OG0001329	13	13
OG0001330	10	10
OG0001331	10	10
OG0001332	11	11
OG0001333	10	9
OG0001334	8	8
OG0001335	11	11
OG0001336	12	12
OG0001337	8	7
OG0001338	12	12
OG0001339	14	14
OG0001340	13	12
OG0001341	10	10
OG0001342	10	10
OG0001343	14	14
OG0001344	11	10
OG0001345	9	9
OG0001346	12	12
OG0001347	11	10
OG0001348	13	11
OG0001349	13	13
OG0001350	9	9
OG0001351	11	10
OG0001352	14	14
OG0001353	11	11
OG0001354	13	13
OG0001355	9	9
OG0001356	10	10
OG0001357	6	6
OG0001358	13	13
OG0001359	11	11
OG0001360	14	14
OG0001361	10	10
OG0001362	9	9
OG0001363	14	14
OG0001364	15	15
OG0001365	15	15
OG0001366	14	14
OG0001367	12	11
OG0001368	9	9
OG0001369	11	11
OG0001370	10	10
OG0001371	10	10
OG0001372	12	12
OG0001373	12	12
OG0001374	12	12
OG0001375	14	14
OG0001376	10	10
OG0001377	13	13
OG0001378	12	12
OG0001379	10	9
OG0001380	9	9
OG0001381	13	13
OG0001382	8	8
OG0001383	10	10
OG0001384	12	11
OG0001385	11	11
OG0001386	13	13
OG0001387	9	9
OG0001388	13	13
OG0001389	17	17
OG0001390	9	9
OG0001391	11	11
OG0001392	10	9
OG0001393	12	12
OG0001394	14	13
