HOG	OG	Gene Tree Parent Clade	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
N3.HOG0000010	OG0000008	n167			CA04g05110, CA04g00980, CA04g03780, CA04g04890, CA04g03760, CA04g01980, CA04g02280, CA04g01940, CA04g03240, CA04g02250, CA00g91520, CA04g01900, CA04g04330, CA04g04400, CA04g03900, CA00g29560, CA04g02340, CA04g01050, CA00g70400, CA04g04580, CA00g29590, CA04g04770, CA04g04550, CA04g03140, CA04g03120, CA04g06910, CA04g02210, CA04g05020, CA04g01860, CA06g02490, CA04g03280, CA04g04630, CA04g05140, CA04g03820, CA00g29440, CA04g01370, CA04g01530, CA04g03970, CA12g06490, CA00g96970, CA04g03840, CA00g70390, CA01g33270		Solyc07T000472.1
N3.HOG0000011	OG0000014	n26			CA04g06580		
N3.HOG0000012	OG0000014	n130			CA05g03600		
N3.HOG0000013	OG0000017	n4			CA11g01320, CA11g14060		
N3.HOG0000014	OG0000017	n7			CA02g02930		Solyc07T001627.1
N3.HOG0000015	OG0000017	n9			CA03g11960, CA12g12970		
N3.HOG0000016	OG0000017	n11			CA00g75060, CA07g04730, CA03g10590, CA05g08890, CA00g09900, CA04g13150, CA07g04610, CA01g14970, CA06g14230, CA03g06520, CA03g08480, CA01g13500, CA07g13500, CA04g09400, CA00g89290, CA08g04330, CA01g12940, CA04g07330, CA09g08080, CA05g06860, CA03g18000, CA03g33350, CA04g08480, CA11g17040, CA11g05060, CA12g13990, CA02g05400, CA07g05020, CA01g26560, CA02g11760, CA05g05330, CA03g07430, CA12g13080, CA07g13250, CA00g92030, CA03g28160, CA03g18200, CA10g04070, CA11g07800, CA06g23220, CA00g84130		Solyc05T001137.1
N3.HOG0000017	OG0000017	n52			CA05g08000, CA05g14010, CA01g27710, CA01g25400, CA03g19260, CA03g19270, CA08g04260, CA10g08740, CA09g08240, CA01g18270, CA12g13410, CA01g11820, CA10g12430, CA03g24890, CA01g25420, CA00g80170, CA03g36310, CA12g17180, CA00g91890, CA03g10170, CA05g14910, CA00g36530, CA10g16280, CA08g04320, CA03g06100, CA00g75050, CA08g00110, CA01g29660, CA04g01760, CA02g07520, CA03g32790, CA10g10170, CA01g14020, CA00g25040, CA02g09230, CA10g14370, CA00g89230, CA07g09510, CA07g13100, CA01g07650, CA10g14300, CA04g11070, CA00g89280, CA01g18260, CA01g09990, CA07g04720, CA11g06800, CA04g13760, CA10g05200, CA04g15530, CA03g35640, CA07g07790, CA00g25320, CA03g15490, CA10g12500, CA02g08900, CA06g21790, CA10g05190, CA02g18120		Solyc07T001413.1
N3.HOG0000018	OG0000017	n111			CA06g05640, CA04g05300, CA00g32660, CA01g16590, CA04g17110, CA04g11870, CA03g24600, CA11g02260, CA05g07650, CA02g16540, CA03g16280, CA02g11260, CA01g18820, CA06g13540, CA04g10010, CA10g15750, CA09g03950, CA10g15620, CA01g02760, CA10g13800, CA04g05510, CA03g03490, CA05g14450, CA07g01830, CA10g11410, CA12g07480, CA02g00180, CA02g25860, CA11g06360, CA12g16490		Solyc03T001058.1
N3.HOG0000019	OG0000018	n1			CA00g70540, CA06g10590		Solyc01T001384.1
N3.HOG0000020	OG0000018	n5			CA00g00120, CA07g07120, CA02g06830, CA04g09890, CA01g30380, CA02g04330, CA10g11700, CA12g16730, CA10g15340, CA08g11120, CA09g06080, CA12g19030, CA04g05380, CA05g13670, CA05g15350, CA10g12210, CA05g07620, CA01g22640, CA02g29950		
N3.HOG0000021	OG0000018	n26			CA06g13420, CA09g09870		
N3.HOG0000022	OG0000018	n31			CA03g11320, CA07g07250, CA05g09920, CA11g09900, CA06g13210		Solyc01T000854.1, Solyc09T001301.1
N3.HOG0000023	OG0000018	n41			CA00g63930, CA02g03040, CA08g06290, CA08g01870		Solyc03T001449.1
N3.HOG0000024	OG0000018	n45			CA01g21530, CA10g04650, CA12g09300		Solyc04T001520.1
N3.HOG0000025	OG0000018	n48			CA00g55780, CA11g13490		Solyc12T001559.1
N3.HOG0000026	OG0000018	n50			CA12g19730		Solyc05T001037.1
N3.HOG0000027	OG0000018	n51			CA03g27530, CA04g11830, CA09g12680, CA04g01770, CA04g11090, CA08g06030, CA02g05970, CA01g31830, CA09g05980, CA02g08100, CA05g05740		
N3.HOG0000028	OG0000018	n61					Solyc07T001247.1, Solyc11T001502.1
N3.HOG0000029	OG0000018	n64			CA05g03150		Solyc04T001776.1
N3.HOG0000030	OG0000018	n65			CA05g08860, CA01g19060, CA03g05870, CA03g16640, CA01g23960, CA05g12530		Solyc02T000063.1
N3.HOG0000031	OG0000018	n71			CA06g09780, CA02g08790, CA06g09640, CA01g25480, CA04g12990, CA07g05940, CA01g14950, CA09g06140, CA05g15790, CA07g11070, CA06g03910, CA02g06820, CA04g09880, CA01g09360, CA12g16740, CA11g11990		
N3.HOG0000032	OG0000018	n86			CA03g26820, CA11g07510, CA01g13470, CA00g94750, CA01g32930, CA12g05740, CA12g10390, CA06g11370, CA02g07830, CA03g05270		Solyc01T002442.1
N3.HOG0000033	OG0000018	n96			CA10g12770, CA03g06830, CA10g07080, CA01g32560, CA07g11380, CA03g16960, CA07g03790, CA00g65330, CA04g11920, CA03g12970, CA07g03110, CA04g06410, CA04g13570, CA00g88820, CA00g90930, CA00g49950, CA12g16370, CA06g04590, CA04g09030, CA05g09370, CA12g09760, CA11g10290, CA01g13700, CA07g08040, CA03g08570, CA12g21580, CA12g18490, CA02g28570, CA06g08040, CA02g01180, CA04g15200, CA01g33150, CA10g14340, CA10g03160, CA08g00210, CA11g14790, CA11g12350		Solyc08T000902.1
N3.HOG0000034	OG0000018	n133			CA08g02240, CA07g13600		Solyc07T000772.1
N3.HOG0000035	OG0000023	n0			CA00g87610, CA06g02180, CA06g02530, CA06g00750, CA06g03630, CA06g01190, CA06g00670, CA06g00920, CA06g01210, CA06g01750, CA06g02570, CA00g73260, CA06g01740, CA06g01230, CA06g00740, CA06g02820, CA06g01200, CA06g02170, CA06g02030, CA06g00960, CA00g76880, CA06g02690, CA06g01060, CA06g00860, CA00g76930, CA06g00540, CA00g82000, CA06g00930, CA06g05140, CA06g02060, CA06g01700, CA00g76870, CA06g03430, CA06g01730, CA06g02540, CA00g73250, CA06g02110, CA00g76960, CA06g01040, CA00g87550, CA06g03680, CA06g00980, CA06g03460, CA06g01350, CA06g00910, CA06g02150, CA00g87570, CA06g01120, CA06g01240, CA06g02670, CA06g01000, CA06g00520, CA06g02080, CA06g01220, CA06g00890, CA06g01110, CA06g05120, CA00g95920, CA06g00710, CA06g02050, CA06g00970, CA06g00940, CA06g00760, CA06g03400, CA06g00900, CA00g76940, CA06g00730, CA06g01710, CA06g01760, CA06g01010, CA06g00820, CA00g30030, CA06g00990, CA06g02830, CA06g02740, CA06g02520, CA06g00530, CA06g02040, CA06g00660, CA06g02620, CA06g02680, CA00g87620, CA00g87560, CA06g01130, CA06g00610, CA06g03650, CA06g02810, CA06g00950, CA06g02100, CA06g03410, CA06g02160, CA00g73270, CA06g03620, CA06g02700, CA00g76970, CA06g02450, CA00g76980, CA06g00650, CA06g00720, CA06g02070, CA06g01180, CA06g00580, CA00g73280, CA00g87530, CA00g88050, CA06g05110, CA06g01770, CA02g24750, CA06g00770, CA00g30020, CA00g80340, CA06g02200, CA06g03640, CA06g01250, CA05g15170, CA06g02420, CA00g30010, CA06g05130, CA06g01020, CA06g02730, CA06g02710, CA06g00830, CA06g03690, CA06g03420		Solyc05T001890.1
N3.HOG0000036	OG0000024	n1			CA00g58730		Solyc10T001855.1
N3.HOG0000037	OG0000024	n14			CA12g01590		Solyc11T000550.1, Solyc01T004249.1, Solyc01T004271.1, Solyc01T004252.1, Solyc01T004239.1
N3.HOG0000038	OG0000024	n22			CA12g01630		Solyc10T001721.1, Solyc11T000543.1, Solyc04T001697.1, Solyc04T001701.1
N3.HOG0000039	OG0000024	n26			CA11g04970, CA00g93280, CA11g04950, CA11g04990, CA12g01760, CA12g01730, CA09g04720, CA12g01670, CA12g01780, CA12g01840, CA12g01800, CA12g01820		Solyc10T001725.1
N3.HOG0000040	OG0000024	n47			CA00g58610		Solyc01T004243.1
N3.HOG0000041	OG0000024	n48			CA08g18590		Solyc01T004244.1, Solyc01T004251.1, Solyc01T004240.1, Solyc01T004248.1, Solyc01T004247.1
N3.HOG0000042	OG0000024	n53			CA00g58810, CA00g58650, CA00g58620		
N3.HOG0000043	OG0000024	n55			CA00g58690		Solyc01T004264.1
N3.HOG0000044	OG0000024	n56			CA08g18660, CA08g18650, CA08g18630		
N3.HOG0000045	OG0000024	n60			CA08g18700, CA00g58680, CA08g18600, CA00g58600		Solyc01T004265.1
N3.HOG0000046	OG0000024	n66			CA00g58700		Solyc01T004263.1
N3.HOG0000047	OG0000024	n67			CA00g58820, CA08g18610		Solyc01T004253.1
N3.HOG0000048	OG0000024	n69			CA08g18580, CA00g58630		
N3.HOG0000049	OG0000024	n70			CA00g58720, CA00g58710		Solyc01T004262.1, Solyc01T004259.1, Solyc01T004261.1
N3.HOG0000050	OG0000024	n81			CA00g58760		
N3.HOG0000051	OG0000028	n3			CA03g19600		
N3.HOG0000052	OG0000028	n74			CA02g05940, CA03g30210, CA01g28920		
N3.HOG0000053	OG0000029	n1			CA03g05400, CA01g17690, CA06g01490, CA07g06230, CA11g15740, CA12g10060, CA01g11660, CA00g93490, CA11g19760, CA11g19400, CA11g14910, CA06g17540, CA04g05410, CA02g06870, CA09g08510, CA09g15950, CA09g03570, CA12g04140, CA09g03420, CA06g14830, CA06g00600, CA07g21230, CA04g02330, CA06g02720, CA00g91540, CA04g02230, CA00g68950, CA01g28280, CA01g00120, CA07g15630, CA03g24100, CA04g11010, CA10g13320, CA00g98830, CA00g71850, CA03g05410, CA11g02520, CA01g10830, CA00g71310, CA10g07190, CA10g04020, CA05g10390, CA11g11790, CA09g13180, CA08g08620, CA03g14890		Solyc04T001040.1
N3.HOG0000054	OG0000029	n54			CA06g02590, CA09g16370, CA00g96740, CA11g04740, CA07g19620, CA03g18830		
N3.HOG0000055	OG0000029	n62			CA00g71720, CA12g17510, CA02g03220, CA07g18580, CA02g26920, CA05g20530, CA10g20590, CA01g24520, CA00g81470, CA00g71410, CA05g19080, CA07g06730, CA11g16970, CA06g18950, CA07g02980, CA04g02320, CA04g02240, CA04g02150, CA04g20090, CA05g19130, CA00g87200, CA06g02190, CA00g34810, CA00g93520, CA06g03080, CA12g13920, CA12g02450, CA00g93510, CA11g04800, CA05g12590, CA09g16490, CA08g05900, CA00g84480, CA03g00210, CA04g01380, CA07g00800, CA04g03690, CA04g03810, CA06g28220, CA02g10770, CA04g03950, CA08g01810, CA00g91230, CA07g03920		Solyc07T000856.1
N3.HOG0000056	OG0000029	n106			CA07g03600, CA10g11470, CA01g08490, CA03g04700, CA12g19980, CA01g16930, CA10g17310, CA02g17740		
N3.HOG0000057	OG0000034	n4			CA04g04310, CA00g70460, CA00g83730, CA01g11000, CA10g03130, CA00g97130		Solyc07T001290.1
N3.HOG0000058	OG0000034	n13			CA06g18510, CA02g08290, CA02g15030, CA07g00190, CA00g64060, CA07g16730, CA01g04910, CA12g17220, CA07g08340, CA08g17810		
N3.HOG0000059	OG0000034	n23			CA00g74850, CA02g09490		Solyc10T001407.1
N3.HOG0000060	OG0000034	n25			CA00g89510		Solyc03T000679.1, Solyc01T001496.1
N3.HOG0000061	OG0000034	n27			CA00g98360, CA00g95980, CA00g98810, CA00g98110, CA04g00990, CA04g20030, CA10g16970, CA00g97860, CA00g98330, CA00g98760, CA00g98150, CA00g92800, CA00g92520, CA00g98370, CA00g97730, CA00g99360, CA00g93480, CA00g92820, CA00g98180, CA00g97800, CA00g96960, CA00g97710, CA00g99250, CA00g94040, CA00g98070, CA00g93710, CA00g97540, CA00g97330, CA00g96930, CA00g98040, CA00g97140, CA00g98740, CA00g98440, CA00g92250, CA00g96660, CA00g97380, CA00g94910, CA00g93080, CA00g95070, CA00g99080, CA00g98580, CA00g98970, CA00g98590, CA00g99110, CA00g96270, CA00g97350, CA00g85150, CA00g94170, CA00g94730, CA00g94560, CA00g93640, CA00g97450, CA00g99090, CA00g93040, CA00g99370, CA00g99300, CA12g03730, CA00g96420, CA00g98710, CA00g44340, CA12g04560, CA10g17030, CA00g98910, CA00g98290, CA00g98630, CA00g98720, CA00g99340, CA00g98030, CA00g98620, CA00g97760, CA00g98470, CA00g94030, CA00g97290, CA00g97480, CA00g64090, CA00g80800, CA04g18930, CA08g00140, CA00g62860, CA06g03830, CA00g32610		Solyc10T001406.1
N3.HOG0000062	OG0000035	n21			CA09g14860, CA02g13600, CA09g15200, CA09g15190, CA09g15020		Solyc07T000389.2
N3.HOG0000063	OG0000035	n26			CA09g15030		Solyc12T000167.2
N3.HOG0000064	OG0000035	n29			CA12g08100		Solyc07T001911.1
N3.HOG0000065	OG0000035	n30			CA09g15270, CA09g14900, CA09g15210, CA09g15010, CA07g11690, CA09g15290, CA09g15240, CA00g83030		Solyc12T000919.1
N3.HOG0000066	OG0000035	n38			CA12g12530, CA06g11290, CA03g18030, CA03g04060, CA06g11440, CA08g10200		Solyc06T001255.1, Solyc06T001253.1, Solyc06T001256.1
N3.HOG0000067	OG0000035	n72			CA11g04900, CA02g09550, CA05g11950		
N3.HOG0000068	OG0000035	n77			CA00g53820		Solyc01T003444.1
N3.HOG0000069	OG0000035	n78			CA00g53800, CA01g25320, CA12g05270, CA12g05180, CA12g05000, CA12g05040, CA00g53810, CA05g11960, CA08g05290, CA00g82120		Solyc01T003443.1
N3.HOG0000070	OG0000035	n88			CA12g05030, CA08g05300, CA00g92590, CA12g05020, CA12g05060, CA02g09520, CA12g05150, CA12g05310, CA12g05170, CA12g05260, CA02g09560, CA12g04990		Solyc01T003445.1
N3.HOG0000071	OG0000035	n100			CA12g09360, CA12g09250		Solyc04T001766.1
N3.HOG0000072	OG0000035	n102			CA06g11570, CA05g11940, CA00g92600		Solyc04T001664.1
N3.HOG0000073	OG0000039	n8			CA03g09240, CA11g15650		Solyc11T001572.1, Solyc11T002039.1
N3.HOG0000074	OG0000039	n11			CA11g19920, CA11g18640, CA11g19960, CA11g17270, CA07g08500, CA11g18680, CA01g13200, CA11g16960, CA11g16800, CA00g86190		Solyc11T001657.1
N3.HOG0000075	OG0000039	n21			CA11g17300, CA06g14710		Solyc11T001573.1
N3.HOG0000076	OG0000039	n23			CA06g10830, CA11g19450, CA11g18710, CA11g18700, CA00g97660, CA11g17890, CA01g24150		
N3.HOG0000077	OG0000039	n30			CA03g09230		Solyc11T002038.1
N3.HOG0000078	OG0000039	n33					Solyc11T002407.2, Solyc11T002459.1, Solyc11T002408.1
N3.HOG0000079	OG0000039	n46			CA11g18660, CA06g14750, CA11g16830, CA11g19340, CA03g09200, CA11g15730, CA11g15660, CA11g16780, CA11g16820, CA11g19940, CA11g19810, CA00g86210, CA00g86230, CA11g19470, CA11g18620, CA07g08520, CA11g19390, CA11g19440		Solyc11T002352.1
N3.HOG0000080	OG0000039	n64			CA04g05600		Solyc11T002036.1, Solyc11T001462.1, Solyc11T001662.1
N3.HOG0000081	OG0000039	n67			CA11g19900, CA11g16950, CA11g19820, CA00g86200, CA11g15670, CA01g21400		Solyc03T001544.3
N3.HOG0000082	OG0000039	n73			CA11g19910, CA11g19930		
N3.HOG0000083	OG0000039	n74			CA11g17230, CA11g17210		
N3.HOG0000084	OG0000039	n75			CA11g17000, CA11g19770, CA11g19350, CA11g17200, CA11g17290, CA11g19950, CA11g17190, CA00g92680, CA00g86240, CA05g02090, CA11g16840, CA11g17260, CA11g19380, CA11g19430, CA11g18670, CA06g14740, CA00g86300, CA11g19850, CA00g86220		Solyc11T002358.1
N3.HOG0000085	OG0000039	n94			CA11g15590		Solyc11T002324.3, Solyc11T002196.1, Solyc11T001934.1
N3.HOG0000086	OG0000039	n97			CA11g19830, CA11g19460, CA00g86260, CA06g10860, CA06g14730		Solyc11T001571.1
N3.HOG0000087	OG0000040	n5					Solyc12T001143.1
N3.HOG0000088	OG0000042	n5					Solyc05T001349.1, Solyc01T000865.1
N3.HOG0000089	OG0000042	n9					Solyc07T001004.1, Solyc05T001534.1
N3.HOG0000090	OG0000042	n11					Solyc04T001281.1, Solyc04T000787.1, Solyc06T000568.1
N3.HOG0000091	OG0000042	n14					Solyc10T001112.1, Solyc10T001579.1, Solyc04T001064.1
N3.HOG0000092	OG0000042	n17					Solyc10T000965.1, Solyc07T001001.1, Solyc12T001360.1, Solyc12T001361.1, Solyc04T001009.1, Solyc01T000864.1, Solyc10T001796.1, Solyc10T001800.1, Solyc10T001785.1, Solyc10T001790.3
N3.HOG0000093	OG0000042	n27			CA11g14720, CA08g03190		Solyc01T001489.1, Solyc06T000597.1, Solyc11T001375.1, Solyc11T001563.1, Solyc09T001014.1, Solyc01T001566.1, Solyc02T000032.1, Solyc12T001620.1
N3.HOG0000094	OG0000042	n36			CA10g12400, CA06g03270, CA11g06900, CA00g74780, CA00g15990, CA12g15120, CA09g11610		Solyc06T000421.1, Solyc02T000006.1
N3.HOG0000095	OG0000042	n44			CA11g08710, CA11g06890, CA09g08310, CA05g06240, CA01g24770, CA00g15980, CA01g24760, CA06g03290, CA05g09660, CA02g06640		Solyc04T001319.1, Solyc04T001317.1, Solyc04T001322.1, Solyc04T001313.1, Solyc04T001318.1, Solyc04T001323.1, Solyc04T001324.1, Solyc04T001314.1, Solyc04T001315.1, Solyc05T001927.1, Solyc01T001490.1, Solyc01T000886.1, Solyc01T001089.2, Solyc01T000627.1, Solyc10T001571.1, Solyc05T001321.1, Solyc10T001786.1, Solyc02T000172.1, Solyc05T001322.1, Solyc05T001089.1, Solyc05T001535.1, Solyc05T001533.1, Solyc08T001050.1, Solyc03T001238.1, Solyc10T001396.1, Solyc07T001003.1, Solyc07T001000.1, Solyc04T000786.1, Solyc10T001578.1, Solyc10T002018.1, Solyc05T001474.1, Solyc07T000587.1, Solyc10T001580.1, Solyc04T001063.1, Solyc10T001559.1, Solyc07T000551.1, Solyc10T001572.1, Solyc07T001002.1, Solyc10T001787.1, Solyc08T001037.1, Solyc10T001797.1, Solyc10T001793.1, Solyc06T000567.1
N3.HOG0000096	OG0000044	n1			CA04g12560, CA04g06490, CA01g19000, CA10g11260, CA01g29630, CA10g15850, CA04g14560		Solyc07T000828.1
N3.HOG0000097	OG0000044	n8			CA08g05630, CA02g27980, CA01g19020, CA01g21660, CA04g06140, CA04g12550, CA02g10800, CA00g76860, CA12g15340, CA08g02020, CA10g08110, CA08g15820, CA03g12770, CA08g07020, CA03g14510, CA06g16370, CA01g29640, CA12g12620, CA00g61220, CA03g09390, CA12g15330, CA02g03000, CA02g10810, CA00g76850, CA00g76350, CA01g16610, CA09g04090, CA12g11210, CA01g08810, CA09g14430, CA05g06170, CA02g27990, CA09g05140, CA11g03240, CA03g35430, CA07g13490, CA00g82720, CA12g02420, CA05g13380, CA03g05140, CA05g19010, CA00g99230, CA01g21650, CA09g08470, CA04g19170, CA02g21260, CA08g17740, CA06g16380, CA02g13450, CA00g00940, CA01g19010, CA01g21140, CA04g15960, CA06g13320, CA07g14800, CA02g31110, CA03g17610, CA05g08290, CA00g25050, CA05g07260, CA06g11390, CA11g10630, CA04g13330, CA09g08400, CA02g12360, CA06g07320, CA03g17710, CA10g14740, CA01g01950, CA06g11140, CA07g05110, CA01g07950, CA00g62790, CA03g09450, CA00g00930, CA04g14110, CA08g02560, CA05g00640, CA06g07400, CA10g14860, CA00g29910, CA03g18820, CA00g68070, CA05g08300, CA03g26260, CA01g18430, CA11g16050		Solyc10T000841.1
N3.HOG0000098	OG0000050	n5			CA00g72130, CA04g15110, CA05g14380, CA05g10220, CA02g03130, CA11g15030		
N3.HOG0000099	OG0000050	n11			CA01g30390, CA09g11110, CA12g03780, CA02g06730, CA02g26900, CA00g76760, CA04g19340, CA10g11490, CA02g06880, CA10g04510, CA01g20750, CA01g29210, CA07g18940, CA08g05120, CA10g13550, CA12g13770, CA10g07720, CA02g01020, CA02g26940, CA01g25700, CA09g11100, CA03g17960, CA10g06250, CA00g87650, CA10g09220, CA06g27080, CA03g11020, CA05g12510, CA03g21950, CA06g14530, CA10g10630		
N3.HOG0000100	OG0000050	n42			CA01g13290, CA04g10250, CA09g10780, CA01g29930, CA03g14230, CA06g10490, CA03g15210, CA03g15200, CA05g12330, CA03g10580, CA02g03370, CA03g14560, CA02g02970, CA03g13110, CA10g09410, CA12g10360, CA09g01040, CA01g16380		Solyc06T002227.1
N3.HOG0000101	OG0000050	n62			CA00g36930, CA09g09430, CA00g81060, CA00g91460, CA00g91450, CA04g14800, CA05g17480		
N3.HOG0000102	OG0000050	n69			CA05g02160, CA02g03710		Solyc01T001674.1
N3.HOG0000103	OG0000050	n71			CA03g13070, CA03g11080, CA05g09950, CA02g29050, CA02g15110		Solyc05T001858.1
N3.HOG0000104	OG0000050	n76			CA12g10240, CA02g02960, CA11g10320, CA04g15120, CA09g08900, CA05g07680, CA07g09980, CA07g08850, CA08g02510, CA04g10360, CA01g16460, CA12g03240		Solyc11T000671.1, Solyc12T001245.1
