Orthogroup	Arachis_hypogaea	Capsicum_anuum
OG0001132	arahy.Tifrunner.gnm1.ann1.8EC0VW.1, arahy.Tifrunner.gnm1.ann1.NWH0QG.1, arahy.Tifrunner.gnm1.ann1.YI1B95.1, arahy.Tifrunner.gnm1.ann1.2YDG1M.1	CA00g86020, CA00g88190, CA00g91810
OG0001133	arahy.Tifrunner.gnm1.ann1.GU0LJX.1, arahy.Tifrunner.gnm1.ann1.38LFP6.1	CA00g71440
OG0001133	arahy.Tifrunner.gnm1.ann1.7NM7T6.1, arahy.Tifrunner.gnm1.ann1.X9BN4I.1, arahy.Tifrunner.gnm1.ann1.9KE65K.1, arahy.Tifrunner.gnm1.ann1.Q4G4US.1	CA03g34780, CA12g11770, CA00g43830, CA00g46790
OG0001134	arahy.Tifrunner.gnm1.ann1.E5BVVA.3, arahy.Tifrunner.gnm1.ann1.U3X98C.2	CA08g18820
OG0001134	arahy.Tifrunner.gnm1.ann1.7J7UQ4.2, arahy.Tifrunner.gnm1.ann1.24ECRJ.2	CA06g14940
OG0001135	arahy.Tifrunner.gnm1.ann1.ITY3SF.1, arahy.Tifrunner.gnm1.ann1.SGPK7M.1	CA08g07400
OG0001135	arahy.Tifrunner.gnm1.ann1.4U2MDP.1, arahy.Tifrunner.gnm1.ann1.VI8BIT.1	CA03g18640, CA03g18650, CA03g18660
OG0001136	arahy.Tifrunner.gnm1.ann1.P0P2QF.1, arahy.Tifrunner.gnm1.ann1.JLHH9C.2	CA06g17380, CA03g30650
OG0001136	arahy.Tifrunner.gnm1.ann1.RRC04T.1, arahy.Tifrunner.gnm1.ann1.F7UUKP.1, arahy.Tifrunner.gnm1.ann1.UCH6AW.1	CA00g66840
OG0001137	arahy.Tifrunner.gnm1.ann1.52QB51.1, arahy.Tifrunner.gnm1.ann1.KG9GRY.1	CA01g03530
OG0001137	arahy.Tifrunner.gnm1.ann1.B459M5.1, arahy.Tifrunner.gnm1.ann1.L3Y5H0.1	CA06g06500
OG0001138	arahy.Tifrunner.gnm1.ann1.31DU23.1, arahy.Tifrunner.gnm1.ann1.I8CCU7.1	CA06g04080
OG0001139	arahy.Tifrunner.gnm1.ann1.RE2PS1.1, arahy.Tifrunner.gnm1.ann1.XUIM66.1, arahy.Tifrunner.gnm1.ann1.GIFH8E.1, arahy.Tifrunner.gnm1.ann1.PHD7EH.1, arahy.Tifrunner.gnm1.ann1.J5KLX8.1, arahy.Tifrunner.gnm1.ann1.HDQ4NC.1, arahy.Tifrunner.gnm1.ann1.0845WK.1, arahy.Tifrunner.gnm1.ann1.88RRM9.1, arahy.Tifrunner.gnm1.ann1.TT5YJH.1	CA05g00910
OG0001139	arahy.Tifrunner.gnm1.ann1.60YYL0.1	CA03g10630, CA12g11620
OG0001140	arahy.Tifrunner.gnm1.ann1.9CLT74.2, arahy.Tifrunner.gnm1.ann1.2BLG3U.1, arahy.Tifrunner.gnm1.ann1.BGNH9B.1, arahy.Tifrunner.gnm1.ann1.6X2WXG.1	CA01g26200, CA12g21540
OG0001140	arahy.Tifrunner.gnm1.ann1.WZDI1D.1, arahy.Tifrunner.gnm1.ann1.MGJM0N.1	CA11g00010, CA05g08720
OG0001141	arahy.Tifrunner.gnm1.ann1.72M7T5.1, arahy.Tifrunner.gnm1.ann1.TU0730.1, arahy.Tifrunner.gnm1.ann1.M3DPW3.2, arahy.Tifrunner.gnm1.ann1.UV84TN.2	CA10g09310, CA01g17430
OG0001142	arahy.Tifrunner.gnm1.ann1.QX0GHN.1, arahy.Tifrunner.gnm1.ann1.WK3ZZ4.1, arahy.Tifrunner.gnm1.ann1.9U2SR4.1, arahy.Tifrunner.gnm1.ann1.B36403.2	CA03g17560
OG0001142	arahy.Tifrunner.gnm1.ann1.01U1VE.1, arahy.Tifrunner.gnm1.ann1.8NKF7K.1	CA08g04930
OG0001145	arahy.Tifrunner.gnm1.ann1.K1LFJJ.1, arahy.Tifrunner.gnm1.ann1.AYA1A5.1, arahy.Tifrunner.gnm1.ann1.SGZ2CH.1	CA06g25940, CA06g25930
OG0001145	arahy.Tifrunner.gnm1.ann1.K9QGVV.1, arahy.Tifrunner.gnm1.ann1.W3WWNZ.1	CA05g10870
OG0001146	arahy.Tifrunner.gnm1.ann1.DJIM9Q.1, arahy.Tifrunner.gnm1.ann1.51NNVX.1	CA05g17960
OG0001146	arahy.Tifrunner.gnm1.ann1.AF3AF5.1, arahy.Tifrunner.gnm1.ann1.YJ4E0A.1, arahy.Tifrunner.gnm1.ann1.SLGY42.1	CA00g25300, CA00g25310
OG0001147	arahy.Tifrunner.gnm1.ann1.R0DF1M.1, arahy.Tifrunner.gnm1.ann1.5Q2BF5.1	CA03g35280
OG0001147	arahy.Tifrunner.gnm1.ann1.I4TDB9.1, arahy.Tifrunner.gnm1.ann1.NCC7G2.3	CA09g17180, CA07g05270
OG0001148	arahy.Tifrunner.gnm1.ann1.X48S1N.1, arahy.Tifrunner.gnm1.ann1.27A859.1, arahy.Tifrunner.gnm1.ann1.06I94X.1, arahy.Tifrunner.gnm1.ann1.X646PN.1	CA09g06940
OG0001148	arahy.Tifrunner.gnm1.ann1.XRTP0J.1, arahy.Tifrunner.gnm1.ann1.C04ZAI.1, arahy.Tifrunner.gnm1.ann1.H1VN8R.1, arahy.Tifrunner.gnm1.ann1.BS7P7Y.2	CA05g19900, CA12g11280
OG0001149	arahy.Tifrunner.gnm1.ann1.Y31NGD.1, arahy.Tifrunner.gnm1.ann1.36NU8Z.1, arahy.Tifrunner.gnm1.ann1.QG71SU.1, arahy.Tifrunner.gnm1.ann1.GE8ZA7.1	CA02g06250, CA08g11900, CA04g05900, CA10g19960
OG0001150	arahy.Tifrunner.gnm1.ann1.77R9Y6.1, arahy.Tifrunner.gnm1.ann1.KPH33C.1, arahy.Tifrunner.gnm1.ann1.49E3RC.1	CA01g23020, CA01g15130, CA00g81650, CA07g05620, CA06g19790, CA00g06760, CA01g20430, CA01g14810, CA09g05530, CA07g06930, CA01g14540, CA04g15160, CA00g68430
OG0001151	arahy.Tifrunner.gnm1.ann1.BGR17W.1, arahy.Tifrunner.gnm1.ann1.IFJ1V3.1	CA09g15510
OG0001151	arahy.Tifrunner.gnm1.ann1.XI5WK7.1, arahy.Tifrunner.gnm1.ann1.1FMC3R.1	CA03g06410, CA04g00300, CA04g00310
OG0001152	arahy.Tifrunner.gnm1.ann1.34XY90.1, arahy.Tifrunner.gnm1.ann1.4VI3XS.1, arahy.Tifrunner.gnm1.ann1.Z3Y2S3.1, arahy.Tifrunner.gnm1.ann1.LU8TWQ.1	CA11g00990, CA05g10230
OG0001153	arahy.Tifrunner.gnm1.ann1.1628KP.1, arahy.Tifrunner.gnm1.ann1.AF70II.1	CA06g09120
OG0001153	arahy.Tifrunner.gnm1.ann1.S22EMT.1	CA06g07030, CA00g31250
OG0001154	arahy.Tifrunner.gnm1.ann1.XGMW4W.1, arahy.Tifrunner.gnm1.ann1.F4HNXU.1	CA03g14670
OG0001155	arahy.Tifrunner.gnm1.ann1.DW5R15.1, arahy.Tifrunner.gnm1.ann1.59N28G.1, arahy.Tifrunner.gnm1.ann1.XK9GFX.1, arahy.Tifrunner.gnm1.ann1.Y74ICM.1, arahy.Tifrunner.gnm1.ann1.JLZP6T.1, arahy.Tifrunner.gnm1.ann1.PJI1IR.1, arahy.Tifrunner.gnm1.ann1.CY7VGA.1, arahy.Tifrunner.gnm1.ann1.GBJ0Q2.1, arahy.Tifrunner.gnm1.ann1.M1SIGC.1, arahy.Tifrunner.gnm1.ann1.4EJ54G.1, arahy.Tifrunner.gnm1.ann1.FM2NH1.1, arahy.Tifrunner.gnm1.ann1.IKKG03.1, arahy.Tifrunner.gnm1.ann1.U7NBP2.1, arahy.Tifrunner.gnm1.ann1.Y3V93U.1, arahy.Tifrunner.gnm1.ann1.N4E4FQ.1, arahy.Tifrunner.gnm1.ann1.DBUY86.1, arahy.Tifrunner.gnm1.ann1.FM8SZR.1, arahy.Tifrunner.gnm1.ann1.IBA4PL.1	CA00g95930, CA00g90970
OG0001157	arahy.Tifrunner.gnm1.ann1.GS7VU5.1	CA01g33480, CA01g33470, CA01g33490, CA01g33460, CA12g13900
OG0001158	arahy.Tifrunner.gnm1.ann1.PK8SC9.1, arahy.Tifrunner.gnm1.ann1.957CJD.1, arahy.Tifrunner.gnm1.ann1.MV0Q13.1	CA00g85200, CA00g85190, CA11g14090, CA06g23550, CA11g14120, CA11g14110
OG0001159	arahy.Tifrunner.gnm1.ann1.NQB5D8.1, arahy.Tifrunner.gnm1.ann1.HEF3AB.1, arahy.Tifrunner.gnm1.ann1.03J9E3.1, arahy.Tifrunner.gnm1.ann1.R2LEPT.1, arahy.Tifrunner.gnm1.ann1.QDKY8B.1, arahy.Tifrunner.gnm1.ann1.C6TN6F.1, arahy.Tifrunner.gnm1.ann1.T44QZ0.1	CA00g49920, CA07g17930
OG0001160	arahy.Tifrunner.gnm1.ann1.SIHD8Y.1	CA11g07480
OG0001160	arahy.Tifrunner.gnm1.ann1.VRBE94.1, arahy.Tifrunner.gnm1.ann1.YL3Z6V.1	CA11g09720
OG0001161	arahy.Tifrunner.gnm1.ann1.67WLF9.1, arahy.Tifrunner.gnm1.ann1.XX0MPJ.1	CA09g13240, CA07g18250
OG0001161	arahy.Tifrunner.gnm1.ann1.8XPP8W.2, arahy.Tifrunner.gnm1.ann1.WFJ76T.1	CA07g13080
OG0001161	arahy.Tifrunner.gnm1.ann1.YHX78I.1	CA02g16920
OG0001163	arahy.Tifrunner.gnm1.ann1.AL90CE.1, arahy.Tifrunner.gnm1.ann1.IA1AQU.2, arahy.Tifrunner.gnm1.ann1.AP6PTA.1, arahy.Tifrunner.gnm1.ann1.FB3Z2N.1, arahy.Tifrunner.gnm1.ann1.2959SN.1, arahy.Tifrunner.gnm1.ann1.4LXC2Y.1	CA05g01110
OG0001163	arahy.Tifrunner.gnm1.ann1.A6PFHD.1, arahy.Tifrunner.gnm1.ann1.BWWN3T.1	CA01g20780
OG0001164	arahy.Tifrunner.gnm1.ann1.D51ZYB.1, arahy.Tifrunner.gnm1.ann1.ZIBD16.1	CA08g01590, CA12g01280
OG0001164	arahy.Tifrunner.gnm1.ann1.M018VL.1, arahy.Tifrunner.gnm1.ann1.EN4Q1L.1	CA02g29820
OG0001165	arahy.Tifrunner.gnm1.ann1.39XEAH.1, arahy.Tifrunner.gnm1.ann1.63RFF5.1, arahy.Tifrunner.gnm1.ann1.DR7LK2.1	CA01g15460, CA11g10260
OG0001165	arahy.Tifrunner.gnm1.ann1.T2K6QT.1, arahy.Tifrunner.gnm1.ann1.P2WQA7.1, arahy.Tifrunner.gnm1.ann1.GM71XY.1	CA07g14110, CA00g84730
OG0001166	arahy.Tifrunner.gnm1.ann1.CN9KST.1	CA10g17810
OG0001166	arahy.Tifrunner.gnm1.ann1.P25GE7.1, arahy.Tifrunner.gnm1.ann1.C1Z4ZG.1	CA01g13690, CA06g22510
OG0001167	arahy.Tifrunner.gnm1.ann1.IT30K9.1, arahy.Tifrunner.gnm1.ann1.57J6T7.1	CA09g16760
OG0001167	arahy.Tifrunner.gnm1.ann1.FYS5DJ.1, arahy.Tifrunner.gnm1.ann1.FD2W4I.1, arahy.Tifrunner.gnm1.ann1.I42E36.1, arahy.Tifrunner.gnm1.ann1.PT27R6.1	CA09g02000, CA00g82220
OG0001169	arahy.Tifrunner.gnm1.ann1.982ILH.1	CA11g01680, CA00g68350, CA01g20520, CA09g03680, CA00g16480, CA01g23070
OG0001169	arahy.Tifrunner.gnm1.ann1.FQ1JZW.1, arahy.Tifrunner.gnm1.ann1.BNA7ZE.1	CA01g23080
OG0001169	arahy.Tifrunner.gnm1.ann1.6C48SL.1	CA01g15050
OG0001170	arahy.Tifrunner.gnm1.ann1.9D9T18.1, arahy.Tifrunner.gnm1.ann1.U8ESB5.1, arahy.Tifrunner.gnm1.ann1.G66WJ0.1, arahy.Tifrunner.gnm1.ann1.CQ5AKN.1	CA10g03970, CA10g03980, CA10g03990, CA07g19100, CA00g47580
OG0001171	arahy.Tifrunner.gnm1.ann1.NPCD8X.1, arahy.Tifrunner.gnm1.ann1.CKDA6G.1	CA02g21960
OG0001171	arahy.Tifrunner.gnm1.ann1.MS0L9J.3, arahy.Tifrunner.gnm1.ann1.UC7XCF.1, arahy.Tifrunner.gnm1.ann1.HW7REX.2, arahy.Tifrunner.gnm1.ann1.KWX7I5.3	CA08g12280
OG0001172	arahy.Tifrunner.gnm1.ann1.GT74WW.1, arahy.Tifrunner.gnm1.ann1.Y2Y1BJ.1	CA02g21540
OG0001172	arahy.Tifrunner.gnm1.ann1.FH5FW8.1, arahy.Tifrunner.gnm1.ann1.9W3900.1	CA04g21880
OG0001173	arahy.Tifrunner.gnm1.ann1.AMD511.1, arahy.Tifrunner.gnm1.ann1.0KL0LR.2, arahy.Tifrunner.gnm1.ann1.18P1UB.1, arahy.Tifrunner.gnm1.ann1.VV93CW.1, arahy.Tifrunner.gnm1.ann1.8W1FYB.1, arahy.Tifrunner.gnm1.ann1.13S01Z.2, arahy.Tifrunner.gnm1.ann1.D6H7UI.1	CA02g04250, CA10g03900
OG0001173	arahy.Tifrunner.gnm1.ann1.QZ6NJI.1, arahy.Tifrunner.gnm1.ann1.9K4854.1	CA03g05170
OG0001174	arahy.Tifrunner.gnm1.ann1.05X33F.1, arahy.Tifrunner.gnm1.ann1.SN2AIN.1, arahy.Tifrunner.gnm1.ann1.TCQK5L.1, arahy.Tifrunner.gnm1.ann1.T0DAJU.1	CA00g64320, CA12g02940
OG0001175	arahy.Tifrunner.gnm1.ann1.D7F0H1.1, arahy.Tifrunner.gnm1.ann1.3RSD4F.1, arahy.Tifrunner.gnm1.ann1.N3PPJ2.1	CA08g00240, CA08g01640, CA12g03870, CA12g03880, CA12g03860
OG0001176	arahy.Tifrunner.gnm1.ann1.N5U1SR.1, arahy.Tifrunner.gnm1.ann1.2TLN1G.1	CA08g19030
OG0001176	arahy.Tifrunner.gnm1.ann1.E2P3C3.1, arahy.Tifrunner.gnm1.ann1.I7Y4WF.1, arahy.Tifrunner.gnm1.ann1.2D2JRR.1	CA05g04900, CA04g05450, CA02g21450
OG0001177	arahy.Tifrunner.gnm1.ann1.6WM8G7.2, arahy.Tifrunner.gnm1.ann1.P7R2PY.1, arahy.Tifrunner.gnm1.ann1.38ICVW.1	CA05g05200, CA05g05190, CA05g05210, CA05g05230, CA03g14660, CA05g05220, CA05g05240
OG0001178	arahy.Tifrunner.gnm1.ann1.UHM7Q0.1, arahy.Tifrunner.gnm1.ann1.QCJH2T.1, arahy.Tifrunner.gnm1.ann1.NF84TW.1, arahy.Tifrunner.gnm1.ann1.YY6DN0.1, arahy.Tifrunner.gnm1.ann1.8X9LLP.1	CA00g89780, CA04g21040, CA01g19820, CA10g08640
OG0001179	arahy.Tifrunner.gnm1.ann1.BL252W.1, arahy.Tifrunner.gnm1.ann1.6WU4KL.1	CA08g02590, CA04g06600, CA00g70890
OG0001179	arahy.Tifrunner.gnm1.ann1.3G0LJS.1, arahy.Tifrunner.gnm1.ann1.1EZ6RQ.1, arahy.Tifrunner.gnm1.ann1.BFV6G3.1	CA01g26010, CA10g02120, CA11g11940, CA08g09180, CA01g14280, CA07g05510
OG0001180	arahy.Tifrunner.gnm1.ann1.25E3MW.1, arahy.Tifrunner.gnm1.ann1.DXAL0M.2	CA01g12450, CA11g12230, CA12g22140, CA03g26880
OG0001181	arahy.Tifrunner.gnm1.ann1.AKH3QU.1	CA06g17710
OG0001181	arahy.Tifrunner.gnm1.ann1.AHW3IA.1, arahy.Tifrunner.gnm1.ann1.U54SN6.1, arahy.Tifrunner.gnm1.ann1.T6QC8B.1, arahy.Tifrunner.gnm1.ann1.DWWZ6G.1	CA03g32710, CA12g11540
OG0001182	arahy.Tifrunner.gnm1.ann1.7AR2IQ.1	CA11g06000, CA11g05990, CA00g94410
OG0001182	arahy.Tifrunner.gnm1.ann1.HC540V.1, arahy.Tifrunner.gnm1.ann1.0NW365.1, arahy.Tifrunner.gnm1.ann1.D9Q2X2.1, arahy.Tifrunner.gnm1.ann1.EA2ZEQ.2	CA11g06020
OG0001183	arahy.Tifrunner.gnm1.ann1.70JD05.1, arahy.Tifrunner.gnm1.ann1.649GVM.1, arahy.Tifrunner.gnm1.ann1.2Z77FC.1, arahy.Tifrunner.gnm1.ann1.7X1Y1S.1, arahy.Tifrunner.gnm1.ann1.RIX96U.1, arahy.Tifrunner.gnm1.ann1.H8H77X.1	CA05g13050, CA12g02590
OG0001184	arahy.Tifrunner.gnm1.ann1.173LZF.1, arahy.Tifrunner.gnm1.ann1.L5T5KA.2, arahy.Tifrunner.gnm1.ann1.GX1P2J.1, arahy.Tifrunner.gnm1.ann1.Q1M4CJ.1, arahy.Tifrunner.gnm1.ann1.B8WNJH.1, arahy.Tifrunner.gnm1.ann1.H890L5.1	CA07g20630, CA10g01090
OG0001185	arahy.Tifrunner.gnm1.ann1.9TV5JW.1	CA01g14520, CA05g10240, CA05g14570, CA10g13120, CA01g23050, CA11g08910
OG0001185	arahy.Tifrunner.gnm1.ann1.TW2HF4.1, arahy.Tifrunner.gnm1.ann1.4QEF9J.1, arahy.Tifrunner.gnm1.ann1.KRC0HM.1	CA00g68400, CA09g09960, CA08g04830, CA02g01320
OG0001185	arahy.Tifrunner.gnm1.ann1.09TZAG.1	CA07g05610, CA05g10120
OG0001186	arahy.Tifrunner.gnm1.ann1.BKZ08E.1, arahy.Tifrunner.gnm1.ann1.LXD5H4.1, arahy.Tifrunner.gnm1.ann1.N8NJUA.1, arahy.Tifrunner.gnm1.ann1.ATEX7D.1	CA09g10580, CA12g20560, CA03g00620
OG0001187	arahy.Tifrunner.gnm1.ann1.XJ3ZRF.1, arahy.Tifrunner.gnm1.ann1.EGF22G.1	CA00g71910
OG0001188	arahy.Tifrunner.gnm1.ann1.W5E920.1, arahy.Tifrunner.gnm1.ann1.49NQ5J.1, arahy.Tifrunner.gnm1.ann1.K8HD0U.1, arahy.Tifrunner.gnm1.ann1.07R66E.3	CA11g05450
OG0001189	arahy.Tifrunner.gnm1.ann1.FVW9RW.1, arahy.Tifrunner.gnm1.ann1.8M9DZW.1, arahy.Tifrunner.gnm1.ann1.3V4UGK.1	CA02g21380, CA02g05480, CA08g19170
OG0001190	arahy.Tifrunner.gnm1.ann1.0RL0PX.1, arahy.Tifrunner.gnm1.ann1.F0CI78.1	CA01g15560
OG0001190	arahy.Tifrunner.gnm1.ann1.HWCZ3H.1, arahy.Tifrunner.gnm1.ann1.PS1ZIG.2	CA02g29770, CA04g07630
OG0001191	arahy.Tifrunner.gnm1.ann1.RVLE1D.1, arahy.Tifrunner.gnm1.ann1.0LT2FK.1	CA12g12230, CA12g12210
OG0001192	arahy.Tifrunner.gnm1.ann1.A76KD4.1, arahy.Tifrunner.gnm1.ann1.P4WXL8.1, arahy.Tifrunner.gnm1.ann1.IG3UT7.1, arahy.Tifrunner.gnm1.ann1.EU8XRE.1	CA08g01700
OG0001193	arahy.Tifrunner.gnm1.ann1.1N2WZD.1, arahy.Tifrunner.gnm1.ann1.K9ADIX.1, arahy.Tifrunner.gnm1.ann1.RS93H3.1, arahy.Tifrunner.gnm1.ann1.YE229B.1	CA10g08650, CA10g09390, CA06g11520, CA10g03620, CA02g03870, CA03g21430, CA00g77780, CA12g02100, CA08g18100
OG0001195	arahy.Tifrunner.gnm1.ann1.5KH3HF.1, arahy.Tifrunner.gnm1.ann1.JY9KRK.1, arahy.Tifrunner.gnm1.ann1.3AS2PE.1	CA03g17530, CA10g22310
OG0001196	arahy.Tifrunner.gnm1.ann1.E16UBA.1, arahy.Tifrunner.gnm1.ann1.A6C0JM.1	CA01g09970
OG0001196	arahy.Tifrunner.gnm1.ann1.XNV8ZF.1, arahy.Tifrunner.gnm1.ann1.DS54KN.1	CA12g12520
OG0001197	arahy.Tifrunner.gnm1.ann1.AWSU0J.1, arahy.Tifrunner.gnm1.ann1.Z3D5KE.1	CA04g18620
OG0001197	arahy.Tifrunner.gnm1.ann1.49VWUD.1, arahy.Tifrunner.gnm1.ann1.6NN0YE.3	CA00g41470, CA04g09850, CA11g10980
OG0001198	arahy.Tifrunner.gnm1.ann1.8EFC3U.1, arahy.Tifrunner.gnm1.ann1.J1NXPM.1	CA05g14860
OG0001198	arahy.Tifrunner.gnm1.ann1.HSU2LT.1, arahy.Tifrunner.gnm1.ann1.WE6MWD.1, arahy.Tifrunner.gnm1.ann1.TH581T.1	CA10g21570
OG0001199	arahy.Tifrunner.gnm1.ann1.B4XBIM.1, arahy.Tifrunner.gnm1.ann1.Y81JPB.1, arahy.Tifrunner.gnm1.ann1.HL6AU0.1, arahy.Tifrunner.gnm1.ann1.L25L8S.1	CA06g06000, CA05g15720
OG0001199	arahy.Tifrunner.gnm1.ann1.MN8TLX.1, arahy.Tifrunner.gnm1.ann1.726Z16.1	CA06g08910
OG0001200	arahy.Tifrunner.gnm1.ann1.9XSN4Y.1, arahy.Tifrunner.gnm1.ann1.QY9W84.1	CA11g10010
OG0001201	arahy.Tifrunner.gnm1.ann1.8IDC4C.1, arahy.Tifrunner.gnm1.ann1.6VP8YS.1, arahy.Tifrunner.gnm1.ann1.X0GHYT.1, arahy.Tifrunner.gnm1.ann1.L8UQBM.1, arahy.Tifrunner.gnm1.ann1.1YQ32R.1, arahy.Tifrunner.gnm1.ann1.VLAW7V.1, arahy.Tifrunner.gnm1.ann1.QY7301.1, arahy.Tifrunner.gnm1.ann1.4A0JRC.1, arahy.Tifrunner.gnm1.ann1.FASD2W.1, arahy.Tifrunner.gnm1.ann1.MUPT6T.1, arahy.Tifrunner.gnm1.ann1.F3AJY4.1, arahy.Tifrunner.gnm1.ann1.3Z7WCZ.1, arahy.Tifrunner.gnm1.ann1.JC6ZCB.1	CA00g36730
OG0001202	arahy.Tifrunner.gnm1.ann1.1U5WXB.1, arahy.Tifrunner.gnm1.ann1.8E646I.1, arahy.Tifrunner.gnm1.ann1.CL8ITS.1, arahy.Tifrunner.gnm1.ann1.FSEI5V.1	CA07g09810, CA01g10660
OG0001203	arahy.Tifrunner.gnm1.ann1.WC33Z9.1, arahy.Tifrunner.gnm1.ann1.ZP4PDK.1, arahy.Tifrunner.gnm1.ann1.3S17EH.1, arahy.Tifrunner.gnm1.ann1.PYJ41C.1	CA04g04290, CA02g19820
OG0001204	arahy.Tifrunner.gnm1.ann1.FAI7YU.1, arahy.Tifrunner.gnm1.ann1.452FBF.1	CA05g12080, CA01g05680, CA01g05700
OG0001205	arahy.Tifrunner.gnm1.ann1.U4IX7Q.1, arahy.Tifrunner.gnm1.ann1.7K4NIS.1	CA06g17760
OG0001205	arahy.Tifrunner.gnm1.ann1.E5L63Q.1, arahy.Tifrunner.gnm1.ann1.521JDX.2, arahy.Tifrunner.gnm1.ann1.9G5FU0.1, arahy.Tifrunner.gnm1.ann1.VK23H5.1	CA01g24290
OG0001206	arahy.Tifrunner.gnm1.ann1.8V1LLT.1, arahy.Tifrunner.gnm1.ann1.SS9NKM.2	CA06g09000, CA03g18790
OG0001207	arahy.Tifrunner.gnm1.ann1.SW1CWM.1, arahy.Tifrunner.gnm1.ann1.PB3WD4.1	CA12g18720, CA01g08410, CA01g29980
OG0001208	arahy.Tifrunner.gnm1.ann1.AF75R2.1, arahy.Tifrunner.gnm1.ann1.8HDV7G.1, arahy.Tifrunner.gnm1.ann1.HB3V31.1, arahy.Tifrunner.gnm1.ann1.5JIN69.1	CA04g09050
OG0001209	arahy.Tifrunner.gnm1.ann1.JSL8JQ.1, arahy.Tifrunner.gnm1.ann1.8R729R.1	CA04g22790
OG0001210	arahy.Tifrunner.gnm1.ann1.8B51UP.1, arahy.Tifrunner.gnm1.ann1.BR8TWY.1	CA04g21510, CA01g18410, CA12g17710, CA12g17700
OG0001211	arahy.Tifrunner.gnm1.ann1.DEBS4Y.1, arahy.Tifrunner.gnm1.ann1.97WALL.1, arahy.Tifrunner.gnm1.ann1.8NQ2PZ.1, arahy.Tifrunner.gnm1.ann1.3CRQ59.1	CA04g18080
OG0001212	arahy.Tifrunner.gnm1.ann1.2YPY7B.1	CA00g64620
OG0001213	arahy.Tifrunner.gnm1.ann1.28E30R.1, arahy.Tifrunner.gnm1.ann1.QE9US8.1	CA02g10330
OG0001213	arahy.Tifrunner.gnm1.ann1.GXX147.1, arahy.Tifrunner.gnm1.ann1.W5UC8T.2	CA10g08550, CA07g02230
OG0001214	arahy.Tifrunner.gnm1.ann1.858FVG.1, arahy.Tifrunner.gnm1.ann1.REMA0B.1	CA11g08080, CA03g00150, CA03g19660, CA06g09810
OG0001215	arahy.Tifrunner.gnm1.ann1.N01RGU.2, arahy.Tifrunner.gnm1.ann1.YCZ32I.1	CA02g08340, CA02g27310
OG0001216	arahy.Tifrunner.gnm1.ann1.CKL856.1, arahy.Tifrunner.gnm1.ann1.QELJ5B.1, arahy.Tifrunner.gnm1.ann1.M3ZMX5.1	CA05g11340
OG0001217	arahy.Tifrunner.gnm1.ann1.QA7E3W.1, arahy.Tifrunner.gnm1.ann1.Q4EYD3.1, arahy.Tifrunner.gnm1.ann1.IS81NZ.1, arahy.Tifrunner.gnm1.ann1.I68MR0.1	CA12g00300
OG0001217	arahy.Tifrunner.gnm1.ann1.ZWND97.1, arahy.Tifrunner.gnm1.ann1.GPG5NB.1	CA07g20530
OG0001218	arahy.Tifrunner.gnm1.ann1.7LN8RE.1, arahy.Tifrunner.gnm1.ann1.J7NADL.2	CA12g11350
OG0001219	arahy.Tifrunner.gnm1.ann1.WY5R7K.1, arahy.Tifrunner.gnm1.ann1.JX4TU4.1	CA06g11070, CA01g25440
OG0001219	arahy.Tifrunner.gnm1.ann1.NJI399.1, arahy.Tifrunner.gnm1.ann1.0UW0EU.1	CA06g27500
OG0001220	arahy.Tifrunner.gnm1.ann1.3D0BCV.1	CA12g07330, CA05g19370
OG0001221	arahy.Tifrunner.gnm1.ann1.0YP240.1, arahy.Tifrunner.gnm1.ann1.YHVV91.1, arahy.Tifrunner.gnm1.ann1.T5ZVXW.1	CA06g13720, CA12g05130, CA02g09510, CA03g30990, CA02g09540, CA12g05200, CA12g05250, CA12g05230, CA12g05190, CA12g05080, CA01g12760
OG0001222	arahy.Tifrunner.gnm1.ann1.918II3.1, arahy.Tifrunner.gnm1.ann1.93R6SD.1	CA00g68190, CA11g11920, CA01g14300, CA07g05400, CA12g11320, CA00g67110
OG0001222	arahy.Tifrunner.gnm1.ann1.YUC9G4.1	CA00g70870, CA01g25990, CA11g07270, CA03g13160
OG0001223	arahy.Tifrunner.gnm1.ann1.8A7NWS.1, arahy.Tifrunner.gnm1.ann1.H8WHKS.1	CA09g10480, CA07g11250, CA00g91130, CA02g18340, CA07g11190
OG0001224	arahy.Tifrunner.gnm1.ann1.1A0TWM.1	CA07g04640
OG0001225	arahy.Tifrunner.gnm1.ann1.Z8RB03.1, arahy.Tifrunner.gnm1.ann1.Z3ZGEB.1	CA07g20930, CA03g13340, CA10g00990
OG0001226	arahy.Tifrunner.gnm1.ann1.YK6X8P.1	CA03g28780, CA01g24780
OG0001227	arahy.Tifrunner.gnm1.ann1.LH3NEH.1, arahy.Tifrunner.gnm1.ann1.B1X1LX.1	CA04g02880, CA06g04050, CA00g67720, CA00g57320, CA03g23580, CA08g09410, CA04g18430, CA08g09050, CA09g13400, CA00g36200
OG0001228	arahy.Tifrunner.gnm1.ann1.9X74H2.1	CA11g17030, CA06g22920, CA00g58310, CA12g06770, CA05g19620, CA05g03860
OG0001229	arahy.Tifrunner.gnm1.ann1.IATE2P.1	CA02g28380
OG0001230	arahy.Tifrunner.gnm1.ann1.81M2S6.1	CA04g20280, CA12g04630, CA00g06790
