Orthogroup	Arachis_hypogaea	Solanum_lycopersicum
OG0000070	arahy.Tifrunner.gnm1.ann1.80UZED.1, arahy.Tifrunner.gnm1.ann1.34H731.1, arahy.Tifrunner.gnm1.ann1.F6YQC6.1, arahy.Tifrunner.gnm1.ann1.F0WSGW.1, arahy.Tifrunner.gnm1.ann1.KVSU8U.1, arahy.Tifrunner.gnm1.ann1.D0611N.1, arahy.Tifrunner.gnm1.ann1.LHRI3Q.1, arahy.Tifrunner.gnm1.ann1.X4AMHZ.1, arahy.Tifrunner.gnm1.ann1.HM1UIT.1, arahy.Tifrunner.gnm1.ann1.NLR30I.1, arahy.Tifrunner.gnm1.ann1.SFKD16.1	Solyc06T000833.1, Solyc08T001840.1
OG0000070	arahy.Tifrunner.gnm1.ann1.UF8EK3.1	Solyc07T000185.1, Solyc04T000587.2, Solyc07T000569.1, Solyc04T000497.1, Solyc04T000551.1, Solyc04T000578.1, Solyc04T000489.1, Solyc04T000674.1, Solyc04T000488.1, Solyc04T000577.1, Solyc07T000568.1, Solyc02T000804.1
OG0000078	arahy.Tifrunner.gnm1.ann1.X1ER8K.1, arahy.Tifrunner.gnm1.ann1.7AD34F.2, arahy.Tifrunner.gnm1.ann1.FQQS7Y.1, arahy.Tifrunner.gnm1.ann1.S9LGGB.1, arahy.Tifrunner.gnm1.ann1.0WTA7Q.1, arahy.Tifrunner.gnm1.ann1.82IR2S.1, arahy.Tifrunner.gnm1.ann1.R97G74.1, arahy.Tifrunner.gnm1.ann1.N1DX8X.1, arahy.Tifrunner.gnm1.ann1.77JTQB.1, arahy.Tifrunner.gnm1.ann1.ISY40W.1, arahy.Tifrunner.gnm1.ann1.MCE3E8.1, arahy.Tifrunner.gnm1.ann1.EN2KPM.1, arahy.Tifrunner.gnm1.ann1.JR81PI.1, arahy.Tifrunner.gnm1.ann1.KVH5PD.1, arahy.Tifrunner.gnm1.ann1.9N9P3S.1, arahy.Tifrunner.gnm1.ann1.GN1SSX.1, arahy.Tifrunner.gnm1.ann1.F62UT2.1, arahy.Tifrunner.gnm1.ann1.JL7EE1.1, arahy.Tifrunner.gnm1.ann1.6EUZ8B.1, arahy.Tifrunner.gnm1.ann1.MPKI4V.1, arahy.Tifrunner.gnm1.ann1.3GHL6G.1, arahy.Tifrunner.gnm1.ann1.DBN754.1, arahy.Tifrunner.gnm1.ann1.X7DVP8.1	Solyc08T000424.1, Solyc09T002833.1, Solyc02T000902.1, Solyc02T000900.1, Solyc09T001797.1, Solyc02T000901.1, Solyc02T000861.1, Solyc09T001796.1, Solyc02T002558.1, Solyc02T002560.1, Solyc02T002562.1
OG0000079	arahy.Tifrunner.gnm1.ann1.IIQV7F.1	Solyc11T002157.1, Solyc05T002649.1
OG0000079	arahy.Tifrunner.gnm1.ann1.1366SV.1, arahy.Tifrunner.gnm1.ann1.JRK96Z.1	Solyc12T002830.1
OG0000079	arahy.Tifrunner.gnm1.ann1.T1082P.1, arahy.Tifrunner.gnm1.ann1.P7B4TL.1, arahy.Tifrunner.gnm1.ann1.GJF5FH.1, arahy.Tifrunner.gnm1.ann1.5Y737U.1, arahy.Tifrunner.gnm1.ann1.N1BH84.1	Solyc12T000954.1, Solyc08T001544.1, Solyc08T001545.1
OG0000079	arahy.Tifrunner.gnm1.ann1.LDX8EP.2, arahy.Tifrunner.gnm1.ann1.XPR4K7.2, arahy.Tifrunner.gnm1.ann1.PF9IHL.1, arahy.Tifrunner.gnm1.ann1.5X59J9.3, arahy.Tifrunner.gnm1.ann1.C0VJSJ.2	Solyc03T003383.1
OG0000083	arahy.Tifrunner.gnm1.ann1.8Y4PDX.1, arahy.Tifrunner.gnm1.ann1.FIY7NK.1	Solyc08T000755.1
OG0000083	arahy.Tifrunner.gnm1.ann1.W2WG0I.1, arahy.Tifrunner.gnm1.ann1.JGCP84.1, arahy.Tifrunner.gnm1.ann1.M8S3TB.1, arahy.Tifrunner.gnm1.ann1.60VAUP.3, arahy.Tifrunner.gnm1.ann1.G84PUL.4, arahy.Tifrunner.gnm1.ann1.YDQ82R.1, arahy.Tifrunner.gnm1.ann1.39HWVH.1, arahy.Tifrunner.gnm1.ann1.LQQ27N.1, arahy.Tifrunner.gnm1.ann1.IEIY3V.1, arahy.Tifrunner.gnm1.ann1.CF8GRF.1, arahy.Tifrunner.gnm1.ann1.R2U555.1, arahy.Tifrunner.gnm1.ann1.PT6J7Z.2, arahy.Tifrunner.gnm1.ann1.QTEF0E.1, arahy.Tifrunner.gnm1.ann1.424QFW.1, arahy.Tifrunner.gnm1.ann1.KEPW1K.1, arahy.Tifrunner.gnm1.ann1.R34KW1.2	Solyc01T002367.1
OG0000084	arahy.Tifrunner.gnm1.ann1.E313MA.1, arahy.Tifrunner.gnm1.ann1.5KG3L9.1	Solyc10T002737.2, Solyc10T002738.1, Solyc01T000288.1, Solyc01T000291.1, Solyc01T000289.1, Solyc04T001925.1, Solyc11T000287.1, Solyc07T000256.1, Solyc07T001948.1, Solyc08T001697.1, Solyc06T001280.1, Solyc06T001649.1, Solyc06T000689.1, Solyc06T000619.1, Solyc08T001907.1, Solyc06T001261.1, Solyc08T001906.1, Solyc08T001905.1, Solyc08T001904.1
OG0000084	arahy.Tifrunner.gnm1.ann1.G7VI5W.1, arahy.Tifrunner.gnm1.ann1.M38SQY.1, arahy.Tifrunner.gnm1.ann1.IYR592.4, arahy.Tifrunner.gnm1.ann1.237GY1.1, arahy.Tifrunner.gnm1.ann1.06T4QA.1, arahy.Tifrunner.gnm1.ann1.3V8RSY.1, arahy.Tifrunner.gnm1.ann1.AEU5RD.1, arahy.Tifrunner.gnm1.ann1.N64S41.1	Solyc10T000583.1, Solyc02T002745.1
OG0000087	arahy.Tifrunner.gnm1.ann1.86KBF0.1, arahy.Tifrunner.gnm1.ann1.PJHC0L.1, arahy.Tifrunner.gnm1.ann1.2PR50U.1, arahy.Tifrunner.gnm1.ann1.L8XTDX.2	Solyc04T002052.1, Solyc04T002886.1
OG0000095	arahy.Tifrunner.gnm1.ann1.SB0DTV.1, arahy.Tifrunner.gnm1.ann1.Q7S17V.1, arahy.Tifrunner.gnm1.ann1.JC6E3B.1, arahy.Tifrunner.gnm1.ann1.6RPN1M.1	Solyc06T000084.1
OG0000095	arahy.Tifrunner.gnm1.ann1.WA13PC.1, arahy.Tifrunner.gnm1.ann1.X7UXQY.1	Solyc03T000376.1, Solyc06T000691.1
OG0000095	arahy.Tifrunner.gnm1.ann1.5A64T9.3, arahy.Tifrunner.gnm1.ann1.2XB9EG.2	Solyc03T003166.1, Solyc10T002481.1
OG0000095	arahy.Tifrunner.gnm1.ann1.1HBP31.1, arahy.Tifrunner.gnm1.ann1.4VL9ZK.1, arahy.Tifrunner.gnm1.ann1.C4UQ0G.1, arahy.Tifrunner.gnm1.ann1.DIS46Y.1	Solyc04T002908.1
OG0000100	arahy.Tifrunner.gnm1.ann1.PI9JRW.2, arahy.Tifrunner.gnm1.ann1.3FKV6Z.1, arahy.Tifrunner.gnm1.ann1.KLK6EM.1, arahy.Tifrunner.gnm1.ann1.M8I98Y.2, arahy.Tifrunner.gnm1.ann1.GRBG8Y.3, arahy.Tifrunner.gnm1.ann1.TQ9PJ5.1, arahy.Tifrunner.gnm1.ann1.E2N8S9.1, arahy.Tifrunner.gnm1.ann1.E0PMV6.1, arahy.Tifrunner.gnm1.ann1.PGW1N2.1, arahy.Tifrunner.gnm1.ann1.1NRA6C.1	Solyc07T002553.1, Solyc10T000169.1, Solyc10T000168.1, Solyc07T002557.1, Solyc07T002555.2, Solyc04T002532.3, Solyc07T002554.1, Solyc12T000027.1, Solyc04T002527.1, Solyc04T002531.1, Solyc04T002528.1, Solyc04T002535.1
OG0000101	arahy.Tifrunner.gnm1.ann1.M1WS7U.1, arahy.Tifrunner.gnm1.ann1.NAQH5K.1	Solyc03T002597.1, Solyc06T001947.1
OG0000101	arahy.Tifrunner.gnm1.ann1.3VET3K.1	Solyc08T002100.1
OG0000101	arahy.Tifrunner.gnm1.ann1.T4QLFX.1, arahy.Tifrunner.gnm1.ann1.L6XCTY.1, arahy.Tifrunner.gnm1.ann1.SHEQ35.1, arahy.Tifrunner.gnm1.ann1.69SEHQ.1, arahy.Tifrunner.gnm1.ann1.1IW9Y2.1, arahy.Tifrunner.gnm1.ann1.SIB906.1, arahy.Tifrunner.gnm1.ann1.66S7FV.1, arahy.Tifrunner.gnm1.ann1.JB3EIK.1	Solyc07T000650.1
OG0000105	arahy.Tifrunner.gnm1.ann1.145DEM.1, arahy.Tifrunner.gnm1.ann1.F72ACS.1	Solyc03T001559.2
OG0000105	arahy.Tifrunner.gnm1.ann1.G3H90Z.2, arahy.Tifrunner.gnm1.ann1.V6SIVJ.3, arahy.Tifrunner.gnm1.ann1.ZENB5B.3	Solyc11T000030.1
OG0000105	arahy.Tifrunner.gnm1.ann1.DH7ITM.1, arahy.Tifrunner.gnm1.ann1.DCIR5D.1, arahy.Tifrunner.gnm1.ann1.6IM7DK.1, arahy.Tifrunner.gnm1.ann1.79FMKA.1, arahy.Tifrunner.gnm1.ann1.4PL1ZQ.1, arahy.Tifrunner.gnm1.ann1.E6VM83.1	Solyc04T000436.1, Solyc05T002564.2, Solyc11T002057.1, Solyc06T002446.1
OG0000106	arahy.Tifrunner.gnm1.ann1.JA0YRP.1, arahy.Tifrunner.gnm1.ann1.UU48SS.1, arahy.Tifrunner.gnm1.ann1.IP599S.1	Solyc07T000614.1, Solyc11T001037.1, Solyc02T000571.1, Solyc05T001311.1, Solyc08T001418.1, Solyc12T002000.3, Solyc08T000648.1
OG0000106	arahy.Tifrunner.gnm1.ann1.J1J2I1.1	Solyc12T001999.1, Solyc01T001866.1, Solyc12T000942.1, Solyc08T000956.1, Solyc09T000873.1, Solyc06T002410.1, Solyc09T001855.2, Solyc02T000222.1, Solyc02T000533.1, Solyc03T000876.1, Solyc10T000608.1, Solyc11T001286.1, Solyc05T001781.1, Solyc12T000822.1, Solyc12T001588.1, Solyc02T000160.1, Solyc05T001310.1, Solyc07T000613.1, Solyc05T001924.1, Solyc05T001958.1, Solyc02T000682.2, Solyc11T001285.1, Solyc04T001615.2, Solyc05T001957.1, Solyc12T000823.1, Solyc03T000875.1, Solyc10T000607.1, Solyc03T002090.1, Solyc03T002045.1, Solyc11T000842.1, Solyc03T001414.1, Solyc04T000574.1, Solyc07T001636.2, Solyc08T000614.1
OG0000107	arahy.Tifrunner.gnm1.ann1.B6Q00Z.1	Solyc04T000708.2, Solyc11T001535.1, Solyc02T000035.1, Solyc09T001076.1, Solyc09T001182.1, Solyc03T001589.1, Solyc10T001735.1, Solyc06T000726.1, Solyc12T002324.1, Solyc05T001517.1, Solyc10T001745.1, Solyc12T000961.1, Solyc06T001845.1, Solyc01T001347.1, Solyc01T002232.1, Solyc01T001670.1, Solyc01T001626.1, Solyc08T000770.1, Solyc10T001365.1, Solyc09T001566.1, Solyc11T000937.1, Solyc07T001473.1, Solyc05T000865.1, Solyc08T000483.1, Solyc06T000736.1, Solyc01T001241.1, Solyc10T001838.1, Solyc02T000036.1, Solyc01T001057.1, Solyc01T002957.1, Solyc01T000756.1, Solyc11T001586.1, Solyc08T001022.1, Solyc02T000333.1, Solyc03T001982.1, Solyc07T000761.1, Solyc07T001210.1, Solyc10T001320.1, Solyc10T001852.1, Solyc03T001322.1, Solyc04T000710.1, Solyc07T001207.1, Solyc09T001074.1, Solyc09T001072.1, Solyc09T001717.1, Solyc03T001839.1, Solyc09T000614.1, Solyc05T000934.1, Solyc10T001690.1, Solyc06T001080.1, Solyc10T001632.1, Solyc11T001606.1, Solyc09T001181.1, Solyc12T001681.1, Solyc08T001204.1, Solyc08T000582.1, Solyc05T001685.1, Solyc08T001443.1, Solyc11T001865.1, Solyc10T001286.1, Solyc11T001124.1
