Orthogroup	Prunus_persica	Solanum_lycopersicum
OG0000095	Prupe.7G028500.1	Solyc10T002481.1
OG0000095	Prupe.1G364800.1	Solyc04T002908.1
OG0000100	Prupe.4G139500.1	Solyc07T002553.1, Solyc10T000169.1, Solyc10T000168.1, Solyc07T002557.1, Solyc07T002555.2, Solyc04T002532.3, Solyc07T002554.1, Solyc12T000027.1, Solyc04T002527.1, Solyc04T002531.1, Solyc04T002528.1, Solyc04T002535.1
OG0000101	Prupe.5G185000.1	Solyc03T002597.1, Solyc06T001947.1
OG0000101	Prupe.2G128800.1, Prupe.5G062200.1	Solyc08T002100.1
OG0000101	Prupe.1G460700.1, Prupe.1G082000.1	Solyc07T000650.1
OG0000105	Prupe.6G163400.1	Solyc03T001559.2, Solyc11T000030.1
OG0000105	Prupe.6G254100.1, Prupe.2G235000.1, Prupe.7G077300.1, Prupe.6G078800.1	Solyc04T000436.1, Solyc05T002564.2, Solyc11T002057.1, Solyc06T002446.1
OG0000105	Prupe.5G137100.1	Solyc01T003688.2
OG0000106	Prupe.6G061200.1	Solyc12T001999.1, Solyc01T001866.1, Solyc12T000942.1, Solyc08T000956.1, Solyc09T000873.1, Solyc06T002410.1, Solyc09T001855.2, Solyc02T000222.1, Solyc02T000533.1, Solyc03T000876.1, Solyc10T000608.1, Solyc11T001286.1, Solyc05T001781.1, Solyc12T000822.1, Solyc12T001588.1, Solyc02T000160.1, Solyc05T001310.1, Solyc07T000613.1, Solyc05T001924.1, Solyc05T001958.1, Solyc02T000682.2, Solyc11T001285.1, Solyc04T001615.2, Solyc05T001957.1, Solyc12T000823.1, Solyc03T000875.1, Solyc10T000607.1, Solyc03T002090.1, Solyc03T002045.1, Solyc11T000842.1, Solyc03T001414.1, Solyc04T000574.1, Solyc07T001636.2, Solyc08T000614.1
OG0000109	Prupe.1G293200.1	Solyc05T000628.1, Solyc10T000803.1, Solyc10T000796.1, Solyc11T001139.1, Solyc12T001034.1, Solyc10T000806.1, Solyc09T001491.1, Solyc03T000902.1, Solyc11T001143.1, Solyc11T001247.1, Solyc05T002053.1, Solyc05T002057.1, Solyc03T000107.1, Solyc03T000108.1, Solyc09T001265.1, Solyc05T000632.1, Solyc05T002051.1, Solyc05T000631.1
OG0000113	Prupe.7G048600.1, Prupe.7G048500.1, Prupe.7G048400.1	Solyc04T001692.1, Solyc11T000545.1, Solyc10T001724.1, Solyc04T001702.1, Solyc04T001704.1, Solyc04T001696.1, Solyc04T001703.1, Solyc04T001698.1, Solyc04T001700.1, Solyc04T001689.1, Solyc11T000548.3, Solyc10T001723.1, Solyc10T001726.1, Solyc10T001720.1, Solyc10T001722.1
OG0000133	Prupe.4G094200.1	Solyc05T001151.1
OG0000133	Prupe.3G180600.1	Solyc10T002141.1, Solyc10T002142.1, Solyc09T000715.1, Solyc09T000714.1, Solyc09T000712.1, Solyc09T000713.1, Solyc09T000018.1, Solyc11T002469.1, Solyc07T000211.1
OG0000133	Prupe.1G442500.1	Solyc09T000778.1, Solyc09T000776.1
OG0000137	Prupe.4G236500.1, Prupe.3G016600.1	Solyc03T001941.1
OG0000137	Prupe.8G185800.1, Prupe.8G185600.1	Solyc04T001257.1, Solyc04T000060.1, Solyc10T001904.1, Solyc10T001922.1, Solyc10T001899.1, Solyc04T001256.1, Solyc10T001520.1, Solyc07T001679.1, Solyc12T001966.1, Solyc12T001964.1, Solyc12T001961.1, Solyc12T000787.1, Solyc01T001916.1, Solyc02T000567.5
OG0000138	Prupe.6G151900.1	Solyc11T002410.1, Solyc11T001620.1
OG0000138	Prupe.5G095500.1	Solyc10T000590.1
OG0000139	Prupe.2G243600.1, Prupe.2G243500.1, Prupe.4G159100.1, Prupe.4G159400.1	Solyc03T001598.1, Solyc03T001597.1
OG0000139	Prupe.6G007800.1, Prupe.6G007900.1, Prupe.6G008400.1, Prupe.6G008300.1, Prupe.6G008000.1, Prupe.6G007700.1, Prupe.6G008600.1, Prupe.6G008700.1	Solyc06T002492.1
OG0000139	Prupe.6G008200.1	Solyc10T002809.4, Solyc10T002771.1
OG0000140	Prupe.6G160500.1, Prupe.4G063500.1	Solyc02T001396.1
OG0000140	Prupe.5G170700.1	Solyc03T002527.1
OG0000147	Prupe.5G223800.1	PRAM_26245.1.p1
OG0000147	Prupe.3G146000.1, Prupe.3G145500.1, Prupe.3G146600.1, Prupe.2G033300.1, Prupe.1G497000.1, Prupe.3G146200.1, Prupe.1G496900.1, Prupe.3G145900.1, Prupe.3G145700.1, Prupe.3G145200.1, Prupe.2G033400.1, Prupe.3G146100.1, Prupe.3G145800.1, Prupe.3G145600.1, Prupe.1G315100.1, Prupe.1G315400.1, Prupe.1G315200.1, Prupe.1G315000.1	Solyc05T000399.1, Solyc04T000158.1, Solyc05T000401.1
OG0000155	Prupe.6G333900.1, Prupe.6G333800.1	Solyc01T003181.1, Solyc01T003179.1, Solyc01T003180.1, Solyc01T003172.1
OG0000155	Prupe.1G143400.1	Solyc01T000861.1, Solyc07T001352.1, Solyc07T001238.1, Solyc07T001220.1, Solyc01T001981.1, Solyc01T001483.1, Solyc07T001275.1, Solyc07T001218.1, Solyc07T001267.1, Solyc07T001260.1, Solyc07T001270.1, Solyc07T001271.1, Solyc07T001258.1, Solyc07T001356.1, Solyc07T001276.1, Solyc07T001354.1, Solyc01T003173.1, Solyc09T000816.1, Solyc07T001264.1, Solyc01T001482.1, Solyc01T001497.1, Solyc07T001257.1, Solyc01T001982.1
OG0000164	Prupe.1G399900.1, Prupe.1G400000.1, Prupe.2G043500.1, Prupe.1G399800.1, Prupe.1G399700.1, Prupe.1G399500.1, Prupe.1G399600.1, Prupe.1G400400.1, Prupe.1G400600.1, Prupe.1G400300.1, Prupe.1G412700.1, Prupe.1G412800.1	Solyc08T000138.1
OG0000164	Prupe.1G400700.1, Prupe.1G400500.1	Solyc06T001459.1
OG0000165	Prupe.1G339000.1	Solyc04T000244.1
OG0000167	Prupe.7G182400.1, Prupe.7G182600.1, Prupe.7G182500.1, Prupe.7G182300.1, Prupe.3G164000.1	Solyc07T002371.2
OG0000175	Prupe.1G387300.1	Solyc04T002727.1
OG0000175	Prupe.1G537700.1, Prupe.1G538200.1, Prupe.1G538000.1, Prupe.1G537600.1, Prupe.1G537400.1, Prupe.6G212300.1, Prupe.3G066200.1, Prupe.3G064700.1, Prupe.1G387500.1, Prupe.1G387100.1, Prupe.1G387200.1, Prupe.1G387400.1, Prupe.1G387000.1, Prupe.1G386800.1, Prupe.1G386900.1	Solyc04T002731.1, Solyc04T002728.1
OG0000176	Prupe.6G017100.1	Solyc01T000713.1, Solyc01T000701.1
OG0000176	Prupe.6G016300.1, Prupe.6G016600.1, Prupe.6G017500.1, Prupe.6G017000.1, Prupe.6G017300.1, Prupe.6G017400.1, Prupe.6G016700.1, Prupe.6G017200.1	Solyc01T000124.1
OG0000179	Prupe.5G240700.1, Prupe.8G025500.1, Prupe.8G025700.1, Prupe.8G048300.1, Prupe.8G025800.1, Prupe.8G025900.1, Prupe.8G025600.1, Prupe.8G035900.1, Prupe.8G035800.1, Prupe.8G035600.1, Prupe.8G035700.1	Solyc01T003499.1, Solyc01T003498.2, Solyc01T003496.1
OG0000182	Prupe.8G131200.1, Prupe.4G275300.1, Prupe.8G175100.1, Prupe.8G175500.1, Prupe.8G176000.1, Prupe.8G175600.1, Prupe.8G175900.1, Prupe.2G142500.1, Prupe.2G142900.1, Prupe.8G175000.1, Prupe.8G175700.1, Prupe.8G175300.1, Prupe.8G175800.1, Prupe.8G175200.1, Prupe.2G076800.1, Prupe.8G175400.1	Solyc01T004373.1
OG0000183	Prupe.4G278900.1	Solyc01T001488.1, Solyc12T001794.1, Solyc12T000103.1, Solyc08T001562.1, Solyc06T000209.1, Solyc06T000211.2, Solyc10T001679.1, Solyc12T002815.1
OG0000188	Prupe.1G537500.1, Prupe.1G536800.1, Prupe.4G152600.1, Prupe.4G152700.1, Prupe.4G152800.1, Prupe.4G153000.1, Prupe.4G152900.1	Solyc07T002393.1
OG0000189	Prupe.2G095500.1	Solyc05T001376.1
OG0000189	Prupe.1G292300.1	Solyc03T001480.1, Solyc03T001481.1, Solyc01T001385.1
OG0000190	Prupe.5G214800.1, Prupe.5G215000.1, Prupe.5G215400.1	Solyc02T001676.2
OG0000194	Prupe.1G035600.1	Solyc06T001124.1
OG0000194	Prupe.1G036200.1	Solyc03T002034.1
OG0000195	Prupe.8G212900.1, Prupe.8G212800.1, Prupe.8G003300.1, Prupe.8G211600.1, Prupe.8G211700.1, Prupe.6G287700.1, Prupe.6G294100.1, Prupe.4G210300.1, Prupe.4G156000.1, Prupe.1G172300.1, Prupe.1G172200.1, Prupe.4G210200.1, Prupe.5G081800.1, Prupe.4G150700.1, Prupe.4G151000.1, Prupe.4G190200.1, Prupe.4G221400.1, Prupe.4G151100.1, Prupe.5G081900.1, Prupe.6G096300.1, Prupe.8G042400.1, Prupe.4G221500.1, Prupe.4G150900.1, Prupe.2G255600.1, Prupe.3G110400.1, Prupe.3G110600.1	Solyc10T000603.1
OG0000196	Prupe.3G034600.1	Solyc03T002347.1, Solyc06T002057.1
OG0000197	Prupe.7G040300.1, Prupe.7G040500.1, Prupe.7G040100.1, Prupe.7G039900.1, Prupe.7G039800.1, Prupe.1G213700.1	Solyc10T002365.1, Solyc10T002361.1, Solyc10T002362.1
OG0000205	Prupe.4G234000.1, Prupe.4G232400.1, Prupe.4G233600.1, Prupe.4G234200.1, Prupe.4G279000.1, Prupe.4G233100.1, Prupe.4G233200.1	Solyc07T000019.1, Solyc01T000685.1, Solyc11T001698.1, Solyc12T001560.1, Solyc12T002817.1, Solyc09T001890.1, Solyc01T000065.10, Solyc01T000802.1, Solyc01T000395.1, Solyc01T000263.1, Solyc03T001702.1, Solyc01T000264.1, Solyc12T001793.1, Solyc12T002818.1, Solyc12T002812.1, Solyc10T001683.1
OG0000208	Prupe.1G045800.1	Solyc03T000898.1, Solyc04T001882.1, Solyc09T002576.1
OG0000209	Prupe.7G178200.1	Solyc03T000541.1, Solyc02T001957.1, Solyc02T001953.1, Solyc02T001956.1, Solyc02T001954.1, Solyc02T001955.1
OG0000209	Prupe.7G178100.1	Solyc02T001959.1
OG0000209	Prupe.7G178300.1	Solyc02T001951.1, Solyc02T001950.1
OG0000210	Prupe.7G141500.1, Prupe.7G141700.1, Prupe.7G141200.1, Prupe.7G141100.1, Prupe.7G141000.1, Prupe.7G141300.1, Prupe.7G141400.1, Prupe.8G115000.1, Prupe.8G114700.1, Prupe.8G115300.1	Solyc01T004066.1, Solyc01T004067.1, Solyc09T000738.1, Solyc01T004065.1, Solyc07T002196.1, Solyc01T004069.1, Solyc01T004072.1
OG0000211	Prupe.2G145900.1	Solyc11T001070.1
OG0000222	Prupe.3G237400.1, Prupe.3G237000.1, Prupe.2G033800.1	Solyc05T001132.1, Solyc11T001485.1
OG0000223	Prupe.4G059800.1, Prupe.4G059600.1, Prupe.3G106400.1, Prupe.3G119400.1, Prupe.3G122700.1, Prupe.3G122000.1, Prupe.3G121900.1, Prupe.3G120600.1, Prupe.1G072300.1, Prupe.1G072400.1, Prupe.3G122200.1, Prupe.3G122100.1	Solyc02T001451.1
OG0000223	Prupe.3G106300.1	Solyc12T002186.1
OG0000224	Prupe.6G205800.1	Solyc03T001563.1
OG0000224	Prupe.6G207400.1, Prupe.6G207900.1, Prupe.6G207700.1, Prupe.6G207600.1, Prupe.6G206300.1, Prupe.6G207200.1, Prupe.6G207300.1, Prupe.6G207500.1, Prupe.6G206800.1, Prupe.6G205700.1, Prupe.6G205600.1, Prupe.6G206900.1, Prupe.6G207100.1, Prupe.6G205900.1	Solyc11T000513.2, Solyc11T000514.1, Solyc11T000476.1
OG0000225	Prupe.2G243800.1	Solyc09T000744.3
OG0000225	Prupe.8G046200.1	Solyc04T002217.1
OG0000230	Prupe.2G069800.1	Solyc08T001656.1
OG0000230	Prupe.8G093700.1, Prupe.5G025800.1, Prupe.7G055500.1, Prupe.8G073400.1	Solyc10T001696.1, Solyc05T001800.1, Solyc05T002054.1, Solyc03T002050.1, Solyc03T002014.1, Solyc09T001408.1, Solyc01T001878.1, Solyc08T001074.1, Solyc12T001893.1, Solyc01T001221.1, Solyc03T003509.1, Solyc12T001888.1, Solyc12T000731.1, Solyc10T001061.1, Solyc11T001126.1, Solyc09T000843.1, Solyc03T001931.1, Solyc06T001005.1, Solyc07T000696.1, Solyc01T004316.2, Solyc02T000427.1, Solyc05T001166.1, Solyc02T000576.1
OG0000235	Prupe.1G439000.1, Prupe.1G439100.1, Prupe.1G438900.1, Prupe.8G038300.1, Prupe.6G291100.1, Prupe.3G055700.1, Prupe.1G491600.1	Solyc03T001869.1
OG0000236	Prupe.2G175200.1	Solyc05T002101.1, Solyc01T002874.1
OG0000236	Prupe.6G090400.1	Solyc11T002526.1
OG0000236	Prupe.6G091700.1	Solyc06T000015.1
OG0000236	Prupe.7G267300.1	Solyc08T000452.1, Solyc12T000937.1
OG0000239	Prupe.4G209700.1, Prupe.4G209800.1	Solyc12T001732.1, Solyc07T002598.1, Solyc04T000773.1, Solyc04T000772.1, Solyc04T000766.1, Solyc04T000784.1, Solyc04T000767.1, Solyc12T001733.1, Solyc07T002600.1
OG0000242	Prupe.4G201800.1	Solyc07T000537.1, Solyc06T000849.1, Solyc08T000405.1, Solyc08T000228.2
OG0000246	Prupe.8G130900.1, Prupe.8G130800.1, Prupe.8G130600.1, Prupe.8G130500.1, Prupe.8G130400.1, Prupe.8G130700.1, Prupe.8G131000.1, Prupe.8G130200.1, Prupe.8G130100.1, Prupe.8G130300.1, Prupe.8G129800.1	Solyc01T003962.1, Solyc01T003963.1, Solyc01T003964.1, Solyc01T003970.1
OG0000247	Prupe.6G261800.1, Prupe.2G279000.1, Prupe.2G228500.1, Prupe.2G228300.1	Solyc06T002089.1
OG0000247	Prupe.7G048700.1, Prupe.2G228800.1, Prupe.2G228400.1, Prupe.2G279200.1, Prupe.6G291300.1, Prupe.2G228200.1, Prupe.2G279300.1, Prupe.6G198200.1, Prupe.2G228600.1	Solyc06T001924.1, Solyc06T001925.2, Solyc06T001923.1
OG0000248	Prupe.8G150900.1, Prupe.3G269300.1, Prupe.1G542600.1	Solyc04T002506.1, Solyc08T000187.1, Solyc02T002359.1
OG0000249	Prupe.1G545500.1	Solyc03T000677.1
OG0000249	Prupe.1G320200.1, Prupe.1G320400.1	Solyc05T000351.1, Solyc05T000352.1
OG0000250	Prupe.4G146400.1, Prupe.4G146700.1, Prupe.4G147300.1, Prupe.4G147100.1, Prupe.4G146900.1, Prupe.4G147400.1	Solyc12T000542.1, Solyc07T002343.1, Solyc07T002342.1
OG0000250	Prupe.4G147800.1	Solyc07T002344.1
OG0000251	Prupe.6G016200.1, Prupe.4G054300.1, Prupe.6G021100.1	Solyc01T002079.1, Solyc01T002222.1, Solyc01T002364.1
OG0000251	Prupe.6G021700.1	Solyc12T002250.1, Solyc10T000398.1, Solyc01T002360.1
OG0000251	Prupe.1G369600.1	Solyc04T002872.1
OG0000251	Prupe.6G192700.1	Solyc04T002358.1
OG0000252	Prupe.4G032900.1, Prupe.4G032500.1, Prupe.4G033000.1	Solyc03T000173.1, Solyc03T000174.1
OG0000253	Prupe.3G181600.1, Prupe.3G182500.1, Prupe.3G182300.1, Prupe.3G182100.1, Prupe.3G180700.1, Prupe.3G181000.1, Prupe.3G181200.1, Prupe.1G188700.1, Prupe.1G188400.1, Prupe.3G180500.1, Prupe.3G182800.1, Prupe.3G182700.1, Prupe.3G182400.1, Prupe.5G051400.1, Prupe.5G051600.1, Prupe.5G051200.1, Prupe.3G182200.1, Prupe.3G182600.1, Prupe.3G182000.1, Prupe.3G181900.1, Prupe.3G181800.1, Prupe.3G181500.1, Prupe.3G181400.1, Prupe.3G181100.1	PRAM_25906.1.p1
OG0000259	Prupe.1G169500.1	Solyc03T001509.1, Solyc07T000906.1, Solyc08T000911.1, Solyc10T001389.1, Solyc01T000655.1, Solyc01T000893.1, Solyc12T001252.1, Solyc09T001572.1, Solyc05T001298.1, Solyc11T000856.1, Solyc04T001228.1, Solyc10T001160.1, Solyc09T000994.1, Solyc10T001174.1, Solyc12T001767.1, Solyc08T000930.1, Solyc11T001690.1, Solyc10T000735.1, Solyc12T000915.2, Solyc04T000871.1, Solyc10T000733.1, Solyc10T000737.1, Solyc12T001338.1, Solyc08T000893.1, Solyc08T000733.1, Solyc05T002005.1, Solyc12T001319.1, Solyc03T001304.1, Solyc08T000879.1, Solyc05T001911.1, Solyc01T000524.1, Solyc03T001217.1, Solyc09T001300.1, Solyc07T001346.1, PRAM_12335.1.p1, Solyc12T000928.1, Solyc03T001198.1, Solyc03T001141.1, Solyc10T001247.1
OG0000260	Prupe.8G263700.1	Solyc09T002271.1
OG0000260	Prupe.1G124300.1, Prupe.1G124500.1, Prupe.1G124200.1	Solyc12T002763.1, Solyc01T001853.1, Solyc01T001851.1, Solyc12T001074.1, Solyc12T001104.1
OG0000261	Prupe.3G128800.1, Prupe.2G113000.1	Solyc08T000788.1, Solyc03T001403.1, Solyc12T002839.1, Solyc01T002536.1, Solyc01T002532.1, Solyc01T002535.1
OG0000262	Prupe.1G526000.1	Solyc01T002281.1
OG0000262	Prupe.2G101600.1, Prupe.2G101400.1, Prupe.2G101500.1	Solyc08T001265.1
OG0000262	Prupe.1G054800.1, Prupe.1G054900.1, Prupe.1G055000.1, Prupe.8G210200.1, Prupe.8G210400.1, Prupe.8G210800.1, Prupe.8G210500.1, Prupe.8G210600.1, Prupe.8G210300.1, Prupe.8G210700.1	Solyc09T001842.1
OG0000263	Prupe.7G167000.1	Solyc03T000584.1, Solyc02T002028.1, Solyc02T000708.1
OG0000263	Prupe.1G367800.1, Prupe.8G082100.1	Solyc01T004233.1, Solyc01T004238.1, Solyc01T004236.1, Solyc01T004235.1, Solyc01T004234.1, Solyc04T002888.1, Solyc10T001849.1, Solyc01T004237.1
OG0000264	Prupe.5G086100.1, Prupe.5G085100.1, Prupe.5G085200.1, Prupe.5G085600.1, Prupe.5G085300.1, Prupe.5G085400.1, Prupe.5G085500.1, Prupe.5G085800.1, Prupe.5G085700.1, Prupe.5G085000.1	Solyc08T002263.1
OG0000264	Prupe.5G086000.1	Solyc02T001393.1, Solyc08T002257.14, Solyc08T000273.1, Solyc08T000272.2, Solyc08T000271.1, Solyc08T000267.1, Solyc08T000265.1, Solyc08T000270.1, Solyc08T000269.2, Solyc08T002254.1, Solyc08T002255.1
OG0000275	Prupe.3G050200.1	Solyc12T002049.1, Solyc06T001410.1, Solyc03T003440.1
OG0000275	Prupe.3G298200.1, Prupe.7G210000.1	Solyc12T000294.4
OG0000276	Prupe.1G469100.1, Prupe.1G469000.1, Prupe.1G469200.1, Prupe.1G469300.1, Prupe.1G468600.1, Prupe.6G183600.1, Prupe.6G184400.1, Prupe.6G183500.1, Prupe.6G184500.1, Prupe.4G028700.1, Prupe.4G028800.1, Prupe.1G174500.1, Prupe.4G100700.1, Prupe.4G028200.1, Prupe.4G028000.1, Prupe.4G028100.1, Prupe.4G028600.1, Prupe.4G027900.1	Solyc02T001700.4, Solyc02T001698.1, Solyc02T001699.1
OG0000277	Prupe.1G372000.1	Solyc04T002854.1
OG0000277	Prupe.8G088900.1, Prupe.8G088800.1, Prupe.8G089000.1, Prupe.8G089100.1, Prupe.8G089200.1	Solyc07T002017.1
OG0000278	Prupe.1G276700.1	Solyc05T000275.1
OG0000278	Prupe.3G265800.1	Solyc01T000510.1, Solyc02T002386.1
OG0000278	Prupe.2G263600.1, Prupe.6G042000.1	Solyc05T002347.1, Solyc06T000863.1
OG0000278	Prupe.6G292300.1	Solyc09T000866.1
OG0000279	Prupe.3G111300.1, Prupe.3G307800.1, Prupe.1G531500.1, Prupe.1G531300.1, Prupe.7G055900.1, Prupe.1G538700.1	Solyc05T001052.1
OG0000280	Prupe.7G205500.1	Solyc11T000459.1
OG0000280	Prupe.6G203700.1, Prupe.6G203500.1	Solyc11T000460.1, Solyc11T000461.1
OG0000280	Prupe.1G534200.1	Solyc02T001205.1
OG0000280	Prupe.6G203900.1, Prupe.6G203800.1, Prupe.6G204000.1	Solyc05T002248.1, Solyc11T000458.1
OG0000281	Prupe.4G234700.1	Solyc12T000727.1
OG0000281	Prupe.4G234800.1, Prupe.2G123900.1	Solyc07T002316.3, Solyc12T000526.1
OG0000281	Prupe.6G030900.1, Prupe.6G030600.1, Prupe.6G030500.1, Prupe.6G031100.1, Prupe.6G031000.1, Prupe.6G030300.1, Prupe.6G030400.1, Prupe.6G025900.1, Prupe.6G030200.1	Solyc12T000763.1, Solyc07T002756.1
OG0000282	Prupe.5G052400.1, Prupe.5G049200.1	Solyc08T001147.1
OG0000283	Prupe.1G404400.1, Prupe.1G404600.1, Prupe.8G038200.1, Prupe.7G069300.1, Prupe.7G069200.1, Prupe.I001500.1, Prupe.5G083600.1, Prupe.5G053200.1, Prupe.5G213700.1, Prupe.5G181600.1, Prupe.3G194200.1, Prupe.7G247200.1, Prupe.4G126500.1, Prupe.8G168400.1, Prupe.8G213700.1, Prupe.8G159200.1, Prupe.1G269300.1, Prupe.6G354500.1, Prupe.6G354300.1, Prupe.6G354600.1, Prupe.1G496200.1, Prupe.1G495800.1, Prupe.1G495700.1, Prupe.1G496400.1, Prupe.1G496600.1, Prupe.1G495900.1, Prupe.1G496300.1, Prupe.1G496000.1, Prupe.1G496800.1, Prupe.3G136800.1, Prupe.3G257200.1	Solyc04T002240.2, Solyc09T001154.1
OG0000284	Prupe.5G026400.1	Solyc05T001642.1, Solyc05T001058.1, Solyc04T001802.1, Solyc04T001808.1, Solyc04T001797.1, Solyc07T001393.1, Solyc10T001276.1
OG0000285	Prupe.7G182000.1	Solyc07T001331.1, Solyc05T002709.1, Solyc05T002708.1, Solyc07T001364.1
