Orthogroup	Capsicum_anuum	Solanum_lycopersicum
OG0000018	CA00g63930, CA02g03040, CA08g06290, CA08g01870	Solyc03T001449.1
OG0000018	CA01g21530, CA10g04650, CA12g09300	Solyc04T001520.1
OG0000018	CA00g55780, CA11g13490	Solyc12T001559.1
OG0000018	CA12g19730	Solyc05T001037.1
OG0000018	CA05g03150	Solyc04T001776.1
OG0000018	CA05g08860, CA01g19060, CA03g05870, CA03g16640, CA01g23960, CA05g12530	Solyc02T000063.1
OG0000018	CA03g26820, CA11g07510, CA01g13470, CA00g94750, CA01g32930, CA12g05740, CA12g10390, CA06g11370, CA02g07830, CA03g05270	Solyc01T002442.1
OG0000018	CA10g12770, CA03g06830, CA10g07080, CA01g32560, CA07g11380, CA03g16960, CA07g03790, CA00g65330, CA04g11920, CA03g12970, CA07g03110, CA04g06410, CA04g13570, CA00g88820, CA00g90930, CA00g49950, CA12g16370, CA06g04590, CA04g09030, CA05g09370, CA12g09760, CA11g10290, CA01g13700, CA07g08040, CA03g08570, CA12g21580, CA12g18490, CA02g28570, CA06g08040, CA02g01180, CA04g15200, CA01g33150, CA10g14340, CA10g03160, CA08g00210, CA11g14790, CA11g12350	Solyc08T000902.1
OG0000018	CA08g02240, CA07g13600	Solyc07T000772.1
OG0000023	CA00g87610, CA06g02180, CA06g02530, CA06g00750, CA06g03630, CA06g01190, CA06g00670, CA06g00920, CA06g01210, CA06g01750, CA06g02570, CA00g73260, CA06g01740, CA06g01230, CA06g00740, CA06g02820, CA06g01200, CA06g02170, CA06g02030, CA06g00960, CA00g76880, CA06g02690, CA06g01060, CA06g00860, CA00g76930, CA06g00540, CA00g82000, CA06g00930, CA06g05140, CA06g02060, CA06g01700, CA00g76870, CA06g03430, CA06g01730, CA06g02540, CA00g73250, CA06g02110, CA00g76960, CA06g01040, CA00g87550, CA06g03680, CA06g00980, CA06g03460, CA06g01350, CA06g00910, CA06g02150, CA00g87570, CA06g01120, CA06g01240, CA06g02670, CA06g01000, CA06g00520, CA06g02080, CA06g01220, CA06g00890, CA06g01110, CA06g05120, CA00g95920, CA06g00710, CA06g02050, CA06g00970, CA06g00940, CA06g00760, CA06g03400, CA06g00900, CA00g76940, CA06g00730, CA06g01710, CA06g01760, CA06g01010, CA06g00820, CA00g30030, CA06g00990, CA06g02830, CA06g02740, CA06g02520, CA06g00530, CA06g02040, CA06g00660, CA06g02620, CA06g02680, CA00g87620, CA00g87560, CA06g01130, CA06g00610, CA06g03650, CA06g02810, CA06g00950, CA06g02100, CA06g03410, CA06g02160, CA00g73270, CA06g03620, CA06g02700, CA00g76970, CA06g02450, CA00g76980, CA06g00650, CA06g00720, CA06g02070, CA06g01180, CA06g00580, CA00g73280, CA00g87530, CA00g88050, CA06g05110, CA06g01770, CA02g24750, CA06g00770, CA00g30020, CA00g80340, CA06g02200, CA06g03640, CA06g01250, CA05g15170, CA06g02420, CA00g30010, CA06g05130, CA06g01020, CA06g02730, CA06g02710, CA06g00830, CA06g03690, CA06g03420	Solyc05T001890.1
OG0000024	CA00g58730	Solyc10T001855.1
OG0000024	CA12g01590	Solyc11T000550.1, Solyc01T004249.1, Solyc01T004271.1, Solyc01T004252.1, Solyc01T004239.1
OG0000024	CA12g01630	Solyc10T001721.1, Solyc11T000543.1, Solyc04T001697.1, Solyc04T001701.1
OG0000024	CA11g04970, CA00g93280, CA11g04950, CA11g04990, CA12g01760, CA12g01730, CA09g04720, CA12g01670, CA12g01780, CA12g01840, CA12g01800, CA12g01820	Solyc10T001725.1
OG0000024	CA00g58610	Solyc01T004243.1
OG0000024	CA08g18590	Solyc01T004244.1, Solyc01T004251.1, Solyc01T004240.1, Solyc01T004248.1, Solyc01T004247.1
OG0000024	CA00g58690	Solyc01T004264.1
OG0000024	CA08g18700, CA00g58680, CA08g18600, CA00g58600	Solyc01T004265.1
OG0000024	CA00g58700	Solyc01T004263.1
OG0000024	CA00g58820, CA08g18610	Solyc01T004253.1
OG0000024	CA00g58720, CA00g58710	Solyc01T004262.1, Solyc01T004259.1, Solyc01T004261.1
OG0000028	CA03g19600, CA02g05940, CA03g30210, CA01g28920	Solyc12T001872.1
OG0000029	CA03g05400, CA01g17690, CA06g01490, CA07g06230, CA11g15740, CA12g10060, CA01g11660, CA00g93490, CA11g19760, CA11g19400, CA11g14910, CA06g17540, CA04g05410, CA02g06870, CA09g08510, CA09g15950, CA09g03570, CA12g04140, CA09g03420, CA06g14830, CA06g00600, CA07g21230, CA04g02330, CA06g02720, CA00g91540, CA04g02230, CA00g68950, CA01g28280, CA01g00120, CA07g15630, CA03g24100	Solyc04T001040.1
OG0000029	CA00g71720, CA12g17510, CA02g03220, CA07g18580, CA02g26920, CA05g20530, CA10g20590, CA01g24520, CA00g81470, CA00g71410, CA05g19080, CA07g06730, CA11g16970, CA06g18950, CA07g02980, CA04g02320, CA04g02240, CA04g02150, CA04g20090, CA05g19130, CA00g87200, CA06g02190, CA00g34810, CA00g93520, CA06g03080, CA12g13920, CA12g02450, CA00g93510, CA11g04800, CA05g12590, CA09g16490, CA08g05900, CA00g84480, CA03g00210, CA04g01380, CA07g00800, CA04g03690, CA04g03810, CA06g28220, CA02g10770, CA04g03950, CA08g01810, CA00g91230, CA07g03920	Solyc07T000856.1
OG0000034	CA04g04310, CA00g70460, CA00g83730, CA01g11000, CA10g03130, CA00g97130	Solyc07T001290.1
OG0000034	CA00g74850, CA02g09490	Solyc10T001407.1
OG0000034	CA00g89510	Solyc03T000679.1, Solyc01T001496.1
OG0000034	CA00g98360, CA00g95980, CA00g98810, CA00g98110, CA04g00990, CA04g20030, CA10g16970, CA00g97860, CA00g98330, CA00g98760, CA00g98150, CA00g92800, CA00g92520, CA00g98370, CA00g97730, CA00g99360, CA00g93480, CA00g92820, CA00g98180, CA00g97800, CA00g96960, CA00g97710, CA00g99250, CA00g94040, CA00g98070, CA00g93710, CA00g97540, CA00g97330, CA00g96930, CA00g98040, CA00g97140, CA00g98740, CA00g98440, CA00g92250, CA00g96660, CA00g97380, CA00g94910, CA00g93080, CA00g95070, CA00g99080, CA00g98580, CA00g98970, CA00g98590, CA00g99110, CA00g96270, CA00g97350, CA00g85150, CA00g94170, CA00g94730, CA00g94560, CA00g93640, CA00g97450, CA00g99090, CA00g93040, CA00g99370, CA00g99300, CA12g03730, CA00g96420, CA00g98710, CA00g44340, CA12g04560, CA10g17030, CA00g98910, CA00g98290, CA00g98630, CA00g98720, CA00g99340, CA00g98030, CA00g98620, CA00g97760, CA00g98470, CA00g94030, CA00g97290, CA00g97480, CA00g64090, CA00g80800, CA04g18930, CA08g00140, CA00g62860, CA06g03830, CA00g32610	Solyc10T001406.1
OG0000035	CA09g14860, CA02g13600, CA09g15200, CA09g15190, CA09g15020	Solyc07T000389.2
OG0000035	CA09g15030	Solyc12T000167.2
OG0000035	CA12g08100	Solyc07T001911.1
OG0000035	CA09g15270, CA09g14900, CA09g15210, CA09g15010, CA07g11690, CA09g15290, CA09g15240, CA00g83030	Solyc12T000919.1
OG0000035	CA12g12530, CA06g11290, CA03g18030, CA03g04060, CA06g11440, CA08g10200	Solyc06T001255.1, Solyc06T001253.1, Solyc06T001256.1
OG0000035	CA00g53820	Solyc01T003444.1
OG0000035	CA00g53800, CA01g25320, CA12g05270, CA12g05180, CA12g05000, CA12g05040, CA00g53810, CA05g11960, CA08g05290, CA00g82120	Solyc01T003443.1
OG0000035	CA12g05030, CA08g05300, CA00g92590, CA12g05020, CA12g05060, CA02g09520, CA12g05150, CA12g05310, CA12g05170, CA12g05260, CA02g09560, CA12g04990	Solyc01T003445.1
OG0000035	CA12g09360, CA12g09250	Solyc04T001766.1
OG0000035	CA06g11570, CA05g11940, CA00g92600	Solyc04T001664.1
OG0000039	CA03g09240, CA11g15650	Solyc11T001572.1, Solyc11T002039.1
OG0000039	CA11g19920, CA11g18640, CA11g19960, CA11g17270, CA07g08500, CA11g18680, CA01g13200, CA11g16960, CA11g16800, CA00g86190	Solyc11T001657.1
OG0000039	CA11g17300, CA06g14710	Solyc11T001573.1
OG0000039	CA03g09230	Solyc11T002038.1
OG0000039	CA11g18660, CA06g14750, CA11g16830, CA11g19340, CA03g09200, CA11g15730, CA11g15660, CA11g16780, CA11g16820, CA11g19940, CA11g19810, CA00g86210, CA00g86230, CA11g19470, CA11g18620, CA07g08520, CA11g19390, CA11g19440	Solyc11T002352.1
OG0000039	CA04g05600	Solyc11T002036.1, Solyc11T001462.1, Solyc11T001662.1
OG0000039	CA11g19900, CA11g16950, CA11g19820, CA00g86200, CA11g15670, CA01g21400	Solyc03T001544.3
OG0000039	CA11g17000, CA11g19770, CA11g19350, CA11g17200, CA11g17290, CA11g19950, CA11g17190, CA00g92680, CA00g86240, CA05g02090, CA11g16840, CA11g17260, CA11g19380, CA11g19430, CA11g18670, CA06g14740, CA00g86300, CA11g19850, CA00g86220	Solyc11T002358.1
OG0000039	CA11g15590	Solyc11T002324.3, Solyc11T002196.1, Solyc11T001934.1
OG0000039	CA11g19830, CA11g19460, CA00g86260, CA06g10860, CA06g14730	Solyc11T001571.1
OG0000042	CA11g14720, CA08g03190	Solyc01T001489.1, Solyc06T000597.1, Solyc11T001375.1, Solyc11T001563.1, Solyc09T001014.1, Solyc01T001566.1, Solyc02T000032.1, Solyc12T001620.1
OG0000042	CA10g12400, CA06g03270, CA11g06900, CA00g74780, CA00g15990, CA12g15120, CA09g11610	Solyc06T000421.1, Solyc02T000006.1
OG0000042	CA11g08710, CA11g06890, CA09g08310, CA05g06240, CA01g24770, CA00g15980, CA01g24760, CA06g03290, CA05g09660, CA02g06640	Solyc04T001319.1, Solyc04T001317.1, Solyc04T001322.1, Solyc04T001313.1, Solyc04T001318.1, Solyc04T001323.1, Solyc04T001324.1, Solyc04T001314.1, Solyc04T001315.1, Solyc05T001927.1, Solyc01T001490.1, Solyc01T000886.1, Solyc01T001089.2, Solyc01T000627.1, Solyc10T001571.1, Solyc05T001321.1, Solyc10T001786.1, Solyc02T000172.1, Solyc05T001322.1, Solyc05T001089.1, Solyc05T001535.1, Solyc05T001533.1, Solyc08T001050.1, Solyc03T001238.1, Solyc10T001396.1, Solyc07T001003.1, Solyc07T001000.1, Solyc04T000786.1, Solyc10T001578.1, Solyc10T002018.1, Solyc05T001474.1, Solyc07T000587.1, Solyc10T001580.1, Solyc04T001063.1, Solyc10T001559.1, Solyc07T000551.1, Solyc10T001572.1, Solyc07T001002.1, Solyc10T001787.1, Solyc08T001037.1, Solyc10T001797.1, Solyc10T001793.1, Solyc06T000567.1
OG0000044	CA04g12560, CA04g06490, CA01g19000, CA10g11260, CA01g29630, CA10g15850, CA04g14560	Solyc07T000828.1
OG0000044	CA08g05630, CA02g27980, CA01g19020, CA01g21660, CA04g06140, CA04g12550, CA02g10800, CA00g76860, CA12g15340, CA08g02020, CA10g08110, CA08g15820, CA03g12770, CA08g07020, CA03g14510, CA06g16370, CA01g29640, CA12g12620, CA00g61220, CA03g09390, CA12g15330, CA02g03000, CA02g10810, CA00g76850, CA00g76350, CA01g16610, CA09g04090, CA12g11210, CA01g08810, CA09g14430, CA05g06170, CA02g27990, CA09g05140, CA11g03240, CA03g35430, CA07g13490, CA00g82720, CA12g02420, CA05g13380, CA03g05140, CA05g19010, CA00g99230, CA01g21650, CA09g08470, CA04g19170, CA02g21260, CA08g17740, CA06g16380, CA02g13450, CA00g00940, CA01g19010, CA01g21140, CA04g15960, CA06g13320, CA07g14800, CA02g31110, CA03g17610, CA05g08290, CA00g25050, CA05g07260, CA06g11390, CA11g10630, CA04g13330, CA09g08400, CA02g12360, CA06g07320, CA03g17710, CA10g14740, CA01g01950, CA06g11140, CA07g05110, CA01g07950, CA00g62790, CA03g09450, CA00g00930, CA04g14110, CA08g02560, CA05g00640, CA06g07400, CA10g14860, CA00g29910, CA03g18820, CA00g68070, CA05g08300, CA03g26260, CA01g18430, CA11g16050	Solyc10T000841.1
OG0000050	CA01g13290, CA04g10250, CA09g10780, CA01g29930, CA03g14230, CA06g10490, CA03g15210, CA03g15200, CA05g12330, CA03g10580, CA02g03370, CA03g14560, CA02g02970, CA03g13110, CA10g09410, CA12g10360, CA09g01040, CA01g16380	Solyc06T002227.1
OG0000050	CA05g02160, CA02g03710	Solyc01T001674.1
OG0000050	CA03g13070, CA03g11080, CA05g09950, CA02g29050, CA02g15110	Solyc05T001858.1
OG0000050	CA12g10240, CA02g02960, CA11g10320, CA04g15120, CA09g08900, CA05g07680, CA07g09980, CA07g08850, CA08g02510, CA04g10360, CA01g16460, CA12g03240	Solyc11T000671.1, Solyc12T001245.1
OG0000051	CA05g18780, CA11g20040, CA05g18770, CA09g08030, CA00g19800, CA03g12840, CA11g08180, CA09g13830, CA01g29740, CA02g11690, CA09g05240, CA01g21920, CA00g98380, CA03g02290, CA07g10380, CA10g04050, CA12g05860, CA09g11920, CA04g05550, CA07g09140, CA02g02280, CA03g00450, CA01g00680, CA01g32890, CA10g09540, CA03g00230, CA12g02180, CA00g82460, CA03g00220, CA00g99330, CA03g02300, CA07g02080, CA12g02190, CA04g05560, CA06g10790, CA00g72750, CA06g23350, CA03g19300, CA06g25520, CA02g20180, CA04g04160, CA04g20790, CA00g91490, CA00g91500, CA01g32900, CA00g95190, CA02g03460, CA02g02610, CA02g10180, CA03g09560, CA00g72730, CA02g11680, CA09g04470, CA03g02270, CA00g93390, CA06g25530, CA05g12230, CA07g02090, CA00g98000, CA01g23720, CA02g04640, CA00g91480, CA07g10390, CA01g16620, CA03g13920, CA03g02280, CA05g12390, CA03g09570, CA00g72740, CA03g16490, CA09g10400, CA05g11550, CA09g07950, CA11g19320, CA00g99200, CA00g91510, CA09g07240, CA00g07310, CA02g02620, CA09g11910, CA06g06120, CA01g06940, CA02g20710, CA00g53920, CA02g04290, CA00g96120, CA04g15340, CA07g04860	Solyc02T000535.1
OG0000054	CA03g33700, CA01g19930	Solyc07T000592.1
OG0000054	CA07g03720	Solyc11T001747.1, Solyc03T000633.1, Solyc12T000488.1, Solyc01T000869.5, Solyc08T001309.1, Solyc03T000752.1
OG0000054	CA02g11840	Solyc01T001431.1
OG0000054	CA02g26290	Solyc08T001484.1, Solyc04T001675.1, Solyc03T000320.1, Solyc04T001396.1
OG0000054	CA08g05590	Solyc12T000472.1
OG0000054	CA12g06600, CA03g08910, CA05g02100, CA01g06360	Solyc12T000057.1
OG0000054	CA06g17170, CA03g28430, CA01g04140, CA11g04050, CA09g06690, CA02g24580, CA08g02940, CA00g84800, CA03g14300	Solyc10T002473.1
OG0000054	CA07g15980	Solyc03T002120.1
OG0000054	CA06g10280, CA02g13910	Solyc08T002567.1
OG0000056	CA02g11750	Solyc07T001526.1
OG0000056	CA10g17250	Solyc08T001482.1
OG0000056	CA11g07660	Solyc12T001886.1
OG0000056	CA00g75180, CA01g13180, CA07g13140, CA12g04770, CA01g26650, CA10g13600, CA12g11980, CA00g19870, CA02g08860, CA00g86540, CA04g09930, CA03g16360, CA10g09060, CA02g23840, CA04g03010, CA02g00050, CA07g04810, CA03g26170, CA07g12930, CA01g14930, CA09g01250, CA09g03800, CA05g07760, CA10g06120	Solyc01T001182.1, Solyc12T002269.1, Solyc07T001524.1, Solyc11T000843.1, Solyc06T000898.1, Solyc03T001798.1, Solyc07T000801.1, Solyc11T000950.1, Solyc09T002056.1, Solyc02T001838.1, Solyc06T000730.1, Solyc07T001611.1, Solyc05T001286.1, Solyc10T001596.1, Solyc10T001667.1, Solyc05T001952.1, Solyc03T001208.1, Solyc02T000892.1, Solyc04T002633.1, Solyc05T001511.1, Solyc01T002313.1, Solyc05T001096.1, Solyc10T001480.1, Solyc07T001682.1, Solyc05T001675.1, Solyc07T000780.1, Solyc08T001496.1, Solyc10T000333.1, Solyc03T000054.1
OG0000056	CA03g26160	Solyc08T000428.1
OG0000057	CA00g88090, CA04g14700, CA00g93530, CA00g96020, CA01g06070, CA11g12660, CA02g09400, CA05g08080, CA00g18430, CA04g08790, CA02g02210, CA02g17880, CA08g10730, CA00g91840, CA03g25030, CA01g28540, CA02g15350, CA06g21910, CA10g19690, CA00g52590, CA08g04470, CA11g04290, CA01g17510, CA05g14110, CA03g29660, CA03g16590, CA09g01780, CA00g68660, CA03g17640, CA01g05270, CA10g17940, CA04g11130, CA03g11030, CA05g03890, CA00g41090, CA09g14850, CA02g08560, CA03g11040, CA00g63890, CA04g14710, CA08g11880, CA07g09620, CA04g05630, CA08g04460, CA06g10390, CA01g12060, CA03g06160, CA04g18650, CA02g14030, CA10g00650, CA05g10350, CA10g03480, CA07g06780, CA03g03500, CA10g17930, CA06g05920, CA01g05300, CA01g08560, CA04g08610, CA08g10310, CA09g12830, CA02g03760, CA11g11570, CA03g07560, CA07g08160, CA08g03170, CA06g07720, CA03g17630, CA02g02200, CA07g21240, CA01g12070, CA03g23290, CA00g93420, CA10g00640, CA05g14120, CA09g01790, CA01g28530, CA12g12890, CA02g15340, CA10g21100, CA09g09320, CA10g19700, CA00g52580, CA12g20120, CA03g16040	Solyc06T000670.1
OG0000058	CA04g09720, CA01g08710, CA03g11800, CA05g10770	Solyc03T001370.1
OG0000058	CA07g07180, CA01g32300	Solyc04T002158.1
OG0000058	CA01g16780, CA04g10070	Solyc08T000281.1
OG0000058	CA02g14710, CA04g14290, CA01g23480, CA04g06420, CA12g07390, CA03g16700, CA03g16820, CA11g20270	Solyc09T001451.1
OG0000058	CA11g13930, CA01g14960, CA10g13170, CA12g13030, CA00g25620	Solyc12T001359.1
OG0000058	CA11g18530, CA01g03400, CA00g01650, CA01g13710, CA00g62870, CA09g07200, CA11g06580, CA03g18090, CA04g13470, CA11g10270, CA09g05750, CA03g00890, CA06g10700, CA05g04500, CA05g07610, CA02g29970, CA10g11920, CA12g07310, CA12g00560, CA12g15220, CA03g32390, CA06g08060, CA00g72120, CA00g58020	Solyc07T001649.1
OG0000058	CA12g17100, CA03g32380, CA10g12270, CA11g09130	Solyc12T002219.1
OG0000058	CA11g05270, CA00g52530, CA05g08870, CA09g12360	Solyc04T001890.1
OG0000058	CA03g21540	Solyc08T000852.1, Solyc03T002796.1, Solyc08T000181.1
OG0000059	CA03g13540, CA03g15690, CA02g08820, CA00g47430	Solyc07T000369.1
OG0000059	CA03g06230, CA03g23160, CA10g06810, CA03g18220, CA11g01440, CA06g09540, CA07g14350, CA04g07880, CA10g07830, CA00g64120, CA07g12160, CA02g10370, CA06g10310, CA00g00820, CA10g12780, CA06g08820, CA01g27000, CA00g79650, CA06g11180, CA04g11310, CA01g01960, CA02g04400, CA00g88840, CA12g04880, CA10g21850, CA09g03640, CA00g09850, CA09g03150, CA09g03710, CA08g03960, CA12g18040, CA12g20510, CA07g05980, CA00g93760, CA10g10900, CA12g07550, CA08g05770, CA06g16260, CA03g19250, CA02g10380, CA00g30070, CA03g27280, CA05g00760, CA04g15940, CA01g16090, CA08g05780, CA03g17750, CA00g96160, CA09g04610, CA04g07870, CA10g20550, CA02g14670, CA00g43920, CA12g17140, CA07g04570, CA10g12790, CA10g10890, CA07g05970, CA01g12860, CA08g05350, CA01g19550, CA10g17740, CA12g01600, CA00g64050, CA03g09790, CA07g12170, CA12g20520, CA02g17800, CA01g20930, CA00g00810, CA04g15950, CA05g04980, CA09g03650, CA03g06540, CA11g01450, CA10g04530, CA05g08310, CA09g04620	Solyc07T001867.1
OG0000062	CA08g06850	Solyc01T002823.1
