Orthogroup	Capsicum_anuum	Arachis_hypogaea
OG0000749	CA12g13830	arahy.Tifrunner.gnm1.ann1.CIN1QH.1
OG0000750	CA03g22880, CA06g20900	arahy.Tifrunner.gnm1.ann1.DBME17.1, arahy.Tifrunner.gnm1.ann1.3H9TDX.1, arahy.Tifrunner.gnm1.ann1.SL5FHN.1, arahy.Tifrunner.gnm1.ann1.TNA30M.1
OG0000751	CA00g70520	arahy.Tifrunner.gnm1.ann1.4T0CVS.1, arahy.Tifrunner.gnm1.ann1.72AJJX.4, arahy.Tifrunner.gnm1.ann1.721SP0.1, arahy.Tifrunner.gnm1.ann1.K48ZDK.1
OG0000751	CA01g19790	arahy.Tifrunner.gnm1.ann1.4K87U1.2, arahy.Tifrunner.gnm1.ann1.M376CB.2
OG0000752	CA04g10840, CA08g14390	arahy.Tifrunner.gnm1.ann1.TD0GYY.1, arahy.Tifrunner.gnm1.ann1.R64PHN.1, arahy.Tifrunner.gnm1.ann1.5X9942.1
OG0000753	CA03g21240, CA03g21270	arahy.Tifrunner.gnm1.ann1.B3EQNC.1, arahy.Tifrunner.gnm1.ann1.IDW9FH.1
OG0000754	CA01g31250, CA06g10260, CA03g00560	arahy.Tifrunner.gnm1.ann1.VMLN7L.3, arahy.Tifrunner.gnm1.ann1.J266JR.1
OG0000755	CA00g80610, CA06g19230	arahy.Tifrunner.gnm1.ann1.9YKD4F.1, arahy.Tifrunner.gnm1.ann1.S7824F.2, arahy.Tifrunner.gnm1.ann1.ALIF31.1
OG0000756	CA12g01030	arahy.Tifrunner.gnm1.ann1.78G63P.3, arahy.Tifrunner.gnm1.ann1.IXJG6V.3, arahy.Tifrunner.gnm1.ann1.59W7TL.1, arahy.Tifrunner.gnm1.ann1.Q7MJNS.1, arahy.Tifrunner.gnm1.ann1.1Y8741.1
OG0000757	CA04g22950	arahy.Tifrunner.gnm1.ann1.W5RZU2.1, arahy.Tifrunner.gnm1.ann1.V07PF1.1
OG0000757	CA00g76670	arahy.Tifrunner.gnm1.ann1.WV9N0T.1, arahy.Tifrunner.gnm1.ann1.DIVU4S.1
OG0000757	CA03g26580, CA05g04240, CA02g20070	arahy.Tifrunner.gnm1.ann1.RI1BYW.1, arahy.Tifrunner.gnm1.ann1.ZDI5XK.1
OG0000758	CA03g15070	arahy.Tifrunner.gnm1.ann1.4P2RM7.1, arahy.Tifrunner.gnm1.ann1.5N7P5J.1, arahy.Tifrunner.gnm1.ann1.RW0ZF5.1, arahy.Tifrunner.gnm1.ann1.A5A200.1, arahy.Tifrunner.gnm1.ann1.ZFUC3L.1
OG0000759	CA00g74570, CA06g18330, CA02g27000, CA02g08200	arahy.Tifrunner.gnm1.ann1.IQR3N2.1, arahy.Tifrunner.gnm1.ann1.WIWA1B.1, arahy.Tifrunner.gnm1.ann1.Y0XCRM.1, arahy.Tifrunner.gnm1.ann1.SJTD5W.1, arahy.Tifrunner.gnm1.ann1.HE02E7.1, arahy.Tifrunner.gnm1.ann1.6UK9J8.1
OG0000760	CA08g11090, CA08g11080, CA05g14100	arahy.Tifrunner.gnm1.ann1.VPZY89.1, arahy.Tifrunner.gnm1.ann1.UCUY7J.1, arahy.Tifrunner.gnm1.ann1.WRSV9R.1, arahy.Tifrunner.gnm1.ann1.2S4FZ7.1
OG0000761	CA08g15120	arahy.Tifrunner.gnm1.ann1.XPH989.2, arahy.Tifrunner.gnm1.ann1.JM7FAS.1
OG0000761	CA04g09270, CA01g18330	arahy.Tifrunner.gnm1.ann1.P18B49.1, arahy.Tifrunner.gnm1.ann1.QF03JM.1
OG0000762	CA02g14510, CA00g89920, CA00g71000, CA01g30840, CA01g30870, CA01g30200, CA01g30720	arahy.Tifrunner.gnm1.ann1.5JI0ZF.1, arahy.Tifrunner.gnm1.ann1.LFZN7F.1, arahy.Tifrunner.gnm1.ann1.YPC5LP.1, arahy.Tifrunner.gnm1.ann1.LG7CZ2.1
OG0000763	CA04g19390	arahy.Tifrunner.gnm1.ann1.69P7AU.1, arahy.Tifrunner.gnm1.ann1.28D0BA.1, arahy.Tifrunner.gnm1.ann1.HEQU6V.1, arahy.Tifrunner.gnm1.ann1.L75U5K.1
OG0000765	CA09g01970, CA10g15500	arahy.Tifrunner.gnm1.ann1.PNM9T4.1, arahy.Tifrunner.gnm1.ann1.I49WQS.1, arahy.Tifrunner.gnm1.ann1.LGSY73.1
OG0000765	CA00g62160	arahy.Tifrunner.gnm1.ann1.RG5YED.1, arahy.Tifrunner.gnm1.ann1.6Q1KS5.1
OG0000765	CA12g21020	arahy.Tifrunner.gnm1.ann1.FJ1AK4.1
OG0000766	CA10g09860, CA07g13240, CA10g09850, CA00g51890	arahy.Tifrunner.gnm1.ann1.DTFP0P.1, arahy.Tifrunner.gnm1.ann1.AK92GL.1
OG0000767	CA04g23170, CA04g23160, CA05g09010, CA04g23150, CA12g17670	arahy.Tifrunner.gnm1.ann1.A4T9L9.1, arahy.Tifrunner.gnm1.ann1.U768BP.1, arahy.Tifrunner.gnm1.ann1.W1VILL.1, arahy.Tifrunner.gnm1.ann1.GQ1BIK.1
OG0000768	CA06g01440, CA01g25520, CA06g27470, CA03g08790	arahy.Tifrunner.gnm1.ann1.RGHX4L.1
OG0000769	CA06g21160, CA06g19250, CA06g19240, CA06g19260	arahy.Tifrunner.gnm1.ann1.VLF0GV.1, arahy.Tifrunner.gnm1.ann1.YI114N.1, arahy.Tifrunner.gnm1.ann1.5PC8HY.1, arahy.Tifrunner.gnm1.ann1.S8KTUY.1, arahy.Tifrunner.gnm1.ann1.Y46Q6K.1, arahy.Tifrunner.gnm1.ann1.7KI1S0.1
OG0000770	CA03g13720, CA07g00740, CA12g11270, CA10g16900, CA00g95580, CA11g02530, CA00g72790, CA10g19830, CA09g01110, CA11g02540, CA07g00730, CA10g16890, CA00g78350, CA10g22000, CA12g01860	arahy.Tifrunner.gnm1.ann1.TH8WCF.1, arahy.Tifrunner.gnm1.ann1.3QQJ98.1
OG0000771	CA07g10530, CA07g10570, CA07g08120, CA07g10520, CA07g10550	arahy.Tifrunner.gnm1.ann1.QDSR5S.1, arahy.Tifrunner.gnm1.ann1.YU3LHJ.1
OG0000772	CA07g13120, CA03g30200, CA07g04430, CA02g02250, CA12g15420, CA12g09530, CA01g28630, CA03g10960, CA05g14940, CA11g14750, CA09g03520, CA06g04180, CA04g01730, CA12g16210, CA10g15680, CA00g68010, CA03g26480, CA10g05040, CA10g10690, CA04g07160, CA06g01170	arahy.Tifrunner.gnm1.ann1.49825D.1
OG0000773	CA07g14960, CA00g96600, CA07g14950, CA02g29610, CA06g19660, CA03g28460	arahy.Tifrunner.gnm1.ann1.37H86D.1, arahy.Tifrunner.gnm1.ann1.0Y9TID.1
OG0000774	CA02g26630, CA02g20980	arahy.Tifrunner.gnm1.ann1.4T36CH.1, arahy.Tifrunner.gnm1.ann1.JTM1YJ.1
OG0000775	CA02g00360, CA02g00370, CA02g00380	arahy.Tifrunner.gnm1.ann1.T4CX6H.1, arahy.Tifrunner.gnm1.ann1.B3ZT22.1, arahy.Tifrunner.gnm1.ann1.234RNS.1, arahy.Tifrunner.gnm1.ann1.8VMZ7D.1
OG0000776	CA00g16600, CA09g08600	arahy.Tifrunner.gnm1.ann1.Y2Z9LS.1, arahy.Tifrunner.gnm1.ann1.WT0JX9.1
OG0000777	CA12g02310, CA12g02360, CA03g06660, CA06g04890, CA06g04880, CA06g04870, CA06g04860, CA08g10390, CA08g10380	arahy.Tifrunner.gnm1.ann1.7VP0DB.1
OG0000799	CA10g13730, CA01g17830	arahy.Tifrunner.gnm1.ann1.P3KMTI.1, arahy.Tifrunner.gnm1.ann1.FHP35I.1
OG0000799	CA07g14750, CA09g07870, CA10g02640	arahy.Tifrunner.gnm1.ann1.0DN2NX.1, arahy.Tifrunner.gnm1.ann1.3M7PWZ.1, arahy.Tifrunner.gnm1.ann1.CC9DVG.2
OG0000800	CA09g14960	arahy.Tifrunner.gnm1.ann1.KDT9CJ.2, arahy.Tifrunner.gnm1.ann1.16LGZI.1, arahy.Tifrunner.gnm1.ann1.0EF7MY.1, arahy.Tifrunner.gnm1.ann1.6R5I1D.1, arahy.Tifrunner.gnm1.ann1.P5SIZT.1, arahy.Tifrunner.gnm1.ann1.ZH7GYP.1
OG0000802	CA08g10460	arahy.Tifrunner.gnm1.ann1.L0C43K.1, arahy.Tifrunner.gnm1.ann1.G76R0Y.1
OG0000802	CA03g11770	arahy.Tifrunner.gnm1.ann1.IUK1DM.1, arahy.Tifrunner.gnm1.ann1.CVL0TV.1, arahy.Tifrunner.gnm1.ann1.TS3BV2.1, arahy.Tifrunner.gnm1.ann1.RAJ8MZ.1
OG0000804	CA05g01860, CA06g18790	arahy.Tifrunner.gnm1.ann1.B9P371.5, arahy.Tifrunner.gnm1.ann1.Q3GRJ7.1, arahy.Tifrunner.gnm1.ann1.015YF3.2, arahy.Tifrunner.gnm1.ann1.Q5V0ZY.1, arahy.Tifrunner.gnm1.ann1.N6YQ7G.1, arahy.Tifrunner.gnm1.ann1.98W4LT.1, arahy.Tifrunner.gnm1.ann1.555Q75.1, arahy.Tifrunner.gnm1.ann1.1Z7RSE.1, arahy.Tifrunner.gnm1.ann1.LKD0H4.3, arahy.Tifrunner.gnm1.ann1.AGQ12H.2, arahy.Tifrunner.gnm1.ann1.LK2XUL.1, arahy.Tifrunner.gnm1.ann1.JF0MYJ.4, arahy.Tifrunner.gnm1.ann1.LTR966.2, arahy.Tifrunner.gnm1.ann1.ZY1N1V.1, arahy.Tifrunner.gnm1.ann1.A1R0CF.2, arahy.Tifrunner.gnm1.ann1.6C167N.3
OG0000805	CA06g00040	arahy.Tifrunner.gnm1.ann1.DSQC6N.1
OG0000806	CA11g00560, CA11g00620, CA11g00630, CA11g00550	arahy.Tifrunner.gnm1.ann1.S2DFEG.1, arahy.Tifrunner.gnm1.ann1.HNK57V.1, arahy.Tifrunner.gnm1.ann1.MDY1G5.1, arahy.Tifrunner.gnm1.ann1.M9I28E.1
OG0000807	CA11g18830	arahy.Tifrunner.gnm1.ann1.T3CM6Y.1, arahy.Tifrunner.gnm1.ann1.924ZJS.1, arahy.Tifrunner.gnm1.ann1.TJ4WR0.1, arahy.Tifrunner.gnm1.ann1.B47L6X.1
OG0000807	CA05g20760	arahy.Tifrunner.gnm1.ann1.Z63BXE.1, arahy.Tifrunner.gnm1.ann1.81QCRK.1
OG0000809	CA02g23970, CA04g08210	arahy.Tifrunner.gnm1.ann1.T5C7XI.1, arahy.Tifrunner.gnm1.ann1.1QP37B.1, arahy.Tifrunner.gnm1.ann1.HD0F2Q.1, arahy.Tifrunner.gnm1.ann1.SHRD5B.1, arahy.Tifrunner.gnm1.ann1.CH5VK6.1, arahy.Tifrunner.gnm1.ann1.68WRKP.1, arahy.Tifrunner.gnm1.ann1.9V2WXE.1, arahy.Tifrunner.gnm1.ann1.JUAY6G.1, arahy.Tifrunner.gnm1.ann1.8JB61L.1, arahy.Tifrunner.gnm1.ann1.TY5ZVA.1, arahy.Tifrunner.gnm1.ann1.KG07DI.1
OG0000811	CA01g11550, CA12g22770	arahy.Tifrunner.gnm1.ann1.9HLH7R.1, arahy.Tifrunner.gnm1.ann1.IT5RSP.1
OG0000811	CA11g20180	arahy.Tifrunner.gnm1.ann1.V1GPC8.2, arahy.Tifrunner.gnm1.ann1.MH2AV0.2
OG0000812	CA04g13780	arahy.Tifrunner.gnm1.ann1.X6X5DV.2, arahy.Tifrunner.gnm1.ann1.SZ5KAK.1, arahy.Tifrunner.gnm1.ann1.0SMS9Y.1, arahy.Tifrunner.gnm1.ann1.8Q6EW7.1
OG0000812	CA12g08400	arahy.Tifrunner.gnm1.ann1.A28NZ9.1, arahy.Tifrunner.gnm1.ann1.WB2G9J.1, arahy.Tifrunner.gnm1.ann1.PLJ8I9.2, arahy.Tifrunner.gnm1.ann1.UV7373.1
OG0000813	CA06g27980, CA06g01660, CA00g42940	arahy.Tifrunner.gnm1.ann1.ND79ZZ.1, arahy.Tifrunner.gnm1.ann1.2G4T7X.1
OG0000813	CA00g52320, CA03g05260	arahy.Tifrunner.gnm1.ann1.TB2RSK.1, arahy.Tifrunner.gnm1.ann1.J2ZA2N.1
OG0000814	CA08g19620	arahy.Tifrunner.gnm1.ann1.R2BN40.1, arahy.Tifrunner.gnm1.ann1.C913SB.1
OG0000815	CA03g34340, CA06g16700	arahy.Tifrunner.gnm1.ann1.YJAD7Q.1, arahy.Tifrunner.gnm1.ann1.RIWW0V.1, arahy.Tifrunner.gnm1.ann1.9450TA.1
OG0000817	CA10g04350, CA01g26050, CA03g31240	arahy.Tifrunner.gnm1.ann1.F1DDXV.1
OG0000817	CA00g77200, CA09g11970, CA00g57210, CA12g10330, CA08g09250, CA12g08000	arahy.Tifrunner.gnm1.ann1.FTZ997.1
OG0000818	CA02g02440	arahy.Tifrunner.gnm1.ann1.QMHG3S.2, arahy.Tifrunner.gnm1.ann1.3PF37K.1
OG0000818	CA10g18290	arahy.Tifrunner.gnm1.ann1.VYG7JT.1, arahy.Tifrunner.gnm1.ann1.B8WNI8.1, arahy.Tifrunner.gnm1.ann1.DLQ5BZ.1, arahy.Tifrunner.gnm1.ann1.1D2WKS.1
OG0000819	CA07g19560	arahy.Tifrunner.gnm1.ann1.P62B18.1, arahy.Tifrunner.gnm1.ann1.Y3PJTZ.2, arahy.Tifrunner.gnm1.ann1.LTHE3G.1, arahy.Tifrunner.gnm1.ann1.7VJC80.2, arahy.Tifrunner.gnm1.ann1.W18Y25.1, arahy.Tifrunner.gnm1.ann1.2UU78P.2, arahy.Tifrunner.gnm1.ann1.JSI4TH.1, arahy.Tifrunner.gnm1.ann1.2TAV4H.1, arahy.Tifrunner.gnm1.ann1.LL10MS.1, arahy.Tifrunner.gnm1.ann1.BRX1G6.1, arahy.Tifrunner.gnm1.ann1.P5VPT7.1, arahy.Tifrunner.gnm1.ann1.4630L6.1, arahy.Tifrunner.gnm1.ann1.C6RLDL.1, arahy.Tifrunner.gnm1.ann1.PSAJ1X.1, arahy.Tifrunner.gnm1.ann1.HBXX55.1, arahy.Tifrunner.gnm1.ann1.KZFP92.1
OG0000820	CA12g15750, CA04g17030	arahy.Tifrunner.gnm1.ann1.S6RW25.1, arahy.Tifrunner.gnm1.ann1.61ZCUX.1
OG0000821	CA00g74670	arahy.Tifrunner.gnm1.ann1.T9D4U4.1, arahy.Tifrunner.gnm1.ann1.Z7UQGQ.1
OG0000822	CA10g16510	arahy.Tifrunner.gnm1.ann1.I706TF.1, arahy.Tifrunner.gnm1.ann1.8H45XF.1, arahy.Tifrunner.gnm1.ann1.R836K0.1, arahy.Tifrunner.gnm1.ann1.2EI1KH.1
OG0000823	CA00g69400, CA10g10990, CA10g11010	arahy.Tifrunner.gnm1.ann1.Y4I94H.1, arahy.Tifrunner.gnm1.ann1.EJ2SUS.1, arahy.Tifrunner.gnm1.ann1.C6FXQ0.1
OG0000824	CA07g08940	arahy.Tifrunner.gnm1.ann1.1UA1UD.1, arahy.Tifrunner.gnm1.ann1.W5DY3W.1, arahy.Tifrunner.gnm1.ann1.W17ZP3.1, arahy.Tifrunner.gnm1.ann1.SU5HAA.1, arahy.Tifrunner.gnm1.ann1.9Q6XN1.1, arahy.Tifrunner.gnm1.ann1.YU79V3.1, arahy.Tifrunner.gnm1.ann1.BCLI4S.1, arahy.Tifrunner.gnm1.ann1.3HZ9SA.1
OG0000825	CA09g07360	arahy.Tifrunner.gnm1.ann1.AC1RDM.1, arahy.Tifrunner.gnm1.ann1.0FU07W.1
OG0000826	CA00g93920	arahy.Tifrunner.gnm1.ann1.M6FUVQ.1
OG0000827	CA00g29680, CA02g13610	arahy.Tifrunner.gnm1.ann1.6E79ZQ.1, arahy.Tifrunner.gnm1.ann1.R32ZV6.1
OG0000827	CA07g14640	arahy.Tifrunner.gnm1.ann1.09XZQE.2, arahy.Tifrunner.gnm1.ann1.E49743.1
OG0000828	CA07g10420, CA02g30510, CA02g09100, CA04g00100	arahy.Tifrunner.gnm1.ann1.ZWY028.1, arahy.Tifrunner.gnm1.ann1.2F6V15.1
OG0000828	CA11g08960	arahy.Tifrunner.gnm1.ann1.1B105R.1, arahy.Tifrunner.gnm1.ann1.40M9N2.1
OG0000829	CA11g11030, CA03g12660	arahy.Tifrunner.gnm1.ann1.FJ2DZD.1, arahy.Tifrunner.gnm1.ann1.T29US9.1, arahy.Tifrunner.gnm1.ann1.M8SMER.1, arahy.Tifrunner.gnm1.ann1.08HZBK.1, arahy.Tifrunner.gnm1.ann1.UAS7KI.1, arahy.Tifrunner.gnm1.ann1.Y6ZMDV.1
OG0000830	CA00g48500, CA09g17240	arahy.Tifrunner.gnm1.ann1.BH211Y.1, arahy.Tifrunner.gnm1.ann1.76C240.1, arahy.Tifrunner.gnm1.ann1.W1F2QM.1, arahy.Tifrunner.gnm1.ann1.0AWF5M.1
OG0000831	CA02g12080, CA02g12070, CA02g12060, CA02g12050, CA00g63920, CA00g99380, CA04g00770, CA04g00760	arahy.Tifrunner.gnm1.ann1.YZ06AV.1, arahy.Tifrunner.gnm1.ann1.QXM1B7.1
OG0000832	CA08g18430	arahy.Tifrunner.gnm1.ann1.5NV7Q1.1, arahy.Tifrunner.gnm1.ann1.Q70MCY.1
OG0000832	CA05g05690, CA05g05680, CA05g08240, CA05g02660, CA05g06460, CA05g02630, CA05g02610, CA05g02620, CA08g18490, CA08g18470	arahy.Tifrunner.gnm1.ann1.A0NHG5.1, arahy.Tifrunner.gnm1.ann1.7IPP4A.1, arahy.Tifrunner.gnm1.ann1.I67FLR.1, arahy.Tifrunner.gnm1.ann1.KA310P.1
OG0000833	CA01g28980, CA01g28860, CA01g23980, CA03g21520, CA12g02210, CA12g16000, CA04g17590, CA02g11480, CA00g70590, CA04g17570, CA00g62230	arahy.Tifrunner.gnm1.ann1.FVFA65.1, arahy.Tifrunner.gnm1.ann1.V6E2D3.1, arahy.Tifrunner.gnm1.ann1.YA7QDL.2, arahy.Tifrunner.gnm1.ann1.F4QM4T.1, arahy.Tifrunner.gnm1.ann1.0G1WVL.1, arahy.Tifrunner.gnm1.ann1.N7SB2Q.1, arahy.Tifrunner.gnm1.ann1.Z1LVAD.1
OG0000834	CA02g28150, CA02g01120	arahy.Tifrunner.gnm1.ann1.Q28BRX.1
OG0000834	CA05g08190, CA11g04250	arahy.Tifrunner.gnm1.ann1.MQC2P6.1
OG0000835	CA00g61480	arahy.Tifrunner.gnm1.ann1.H4DHBR.1, arahy.Tifrunner.gnm1.ann1.SQM4K2.1
OG0000836	CA00g71390, CA11g07970, CA11g07960, CA00g71400, CA11g08280	arahy.Tifrunner.gnm1.ann1.8V1CUP.2, arahy.Tifrunner.gnm1.ann1.2C7MHE.1, arahy.Tifrunner.gnm1.ann1.KTB6KE.1, arahy.Tifrunner.gnm1.ann1.UHJV6M.1, arahy.Tifrunner.gnm1.ann1.J77J84.1, arahy.Tifrunner.gnm1.ann1.CKB6LS.2
OG0000838	CA08g07000, CA05g12850	arahy.Tifrunner.gnm1.ann1.0IXS7Z.1, arahy.Tifrunner.gnm1.ann1.3RB8EG.1
OG0000838	CA05g14760	arahy.Tifrunner.gnm1.ann1.5N7T8C.1, arahy.Tifrunner.gnm1.ann1.D1R704.1
OG0000839	CA08g00640	arahy.Tifrunner.gnm1.ann1.LKGH4D.1, arahy.Tifrunner.gnm1.ann1.K5KB36.1, arahy.Tifrunner.gnm1.ann1.U5XNSE.1, arahy.Tifrunner.gnm1.ann1.S5JADZ.1, arahy.Tifrunner.gnm1.ann1.T4RTS6.1, arahy.Tifrunner.gnm1.ann1.ANEC18.1, arahy.Tifrunner.gnm1.ann1.TN7L58.1, arahy.Tifrunner.gnm1.ann1.QN8412.1, arahy.Tifrunner.gnm1.ann1.GK6212.1, arahy.Tifrunner.gnm1.ann1.LAWA8U.1, arahy.Tifrunner.gnm1.ann1.BV5KXL.1, arahy.Tifrunner.gnm1.ann1.A4MVXX.1, arahy.Tifrunner.gnm1.ann1.RLH8R5.1
OG0000840	CA01g20690, CA04g06610, CA09g02290, CA11g07260, CA09g04960, CA10g04450	arahy.Tifrunner.gnm1.ann1.Z4WADK.1
OG0000840	CA07g05410, CA04g07560	arahy.Tifrunner.gnm1.ann1.ZZ7UGR.1, arahy.Tifrunner.gnm1.ann1.8K1QWD.1
OG0000841	CA00g41560, CA00g52210	arahy.Tifrunner.gnm1.ann1.U584NJ.1, arahy.Tifrunner.gnm1.ann1.DD1GZC.1
OG0000842	CA00g52130	arahy.Tifrunner.gnm1.ann1.I76K9U.1, arahy.Tifrunner.gnm1.ann1.40798N.1, arahy.Tifrunner.gnm1.ann1.21I7WM.1
OG0000842	CA02g14550	arahy.Tifrunner.gnm1.ann1.466BBY.1, arahy.Tifrunner.gnm1.ann1.M6UBQE.1
OG0000844	CA02g20690, CA04g05690, CA04g22200	arahy.Tifrunner.gnm1.ann1.6CJ12I.2, arahy.Tifrunner.gnm1.ann1.LL0XTR.2
OG0000845	CA03g21580	arahy.Tifrunner.gnm1.ann1.EQU2N6.1, arahy.Tifrunner.gnm1.ann1.IMLK5J.1
OG0000845	CA03g30500, CA06g17350, CA10g04060, CA00g69600	arahy.Tifrunner.gnm1.ann1.NC09XL.1, arahy.Tifrunner.gnm1.ann1.ST1ALI.1, arahy.Tifrunner.gnm1.ann1.35X8AA.1, arahy.Tifrunner.gnm1.ann1.IT8P61.1
OG0000846	CA11g03500, CA05g08530, CA03g26760	arahy.Tifrunner.gnm1.ann1.Z7WG4W.1, arahy.Tifrunner.gnm1.ann1.12DG6R.1
OG0000846	CA03g26770, CA11g03510	arahy.Tifrunner.gnm1.ann1.NA220I.1, arahy.Tifrunner.gnm1.ann1.1FS3I4.1
OG0000847	CA02g01650, CA02g25750	arahy.Tifrunner.gnm1.ann1.ZVA9BY.1, arahy.Tifrunner.gnm1.ann1.UR4HR3.1, arahy.Tifrunner.gnm1.ann1.24YBJ7.1, arahy.Tifrunner.gnm1.ann1.L4Z9YE.2
OG0000847	CA04g19330, CA12g16910	arahy.Tifrunner.gnm1.ann1.LP09XA.1, arahy.Tifrunner.gnm1.ann1.3Z0Y0Z.1, arahy.Tifrunner.gnm1.ann1.MVCN72.1
OG0000848	CA03g19520, CA03g19490	arahy.Tifrunner.gnm1.ann1.GER4JL.1, arahy.Tifrunner.gnm1.ann1.D0AQSI.1, arahy.Tifrunner.gnm1.ann1.CMRY8U.1, arahy.Tifrunner.gnm1.ann1.HMBD7E.1, arahy.Tifrunner.gnm1.ann1.TN704Z.1, arahy.Tifrunner.gnm1.ann1.66KSYH.1, arahy.Tifrunner.gnm1.ann1.122VE1.1, arahy.Tifrunner.gnm1.ann1.9I0PA4.2, arahy.Tifrunner.gnm1.ann1.VG7HYF.1, arahy.Tifrunner.gnm1.ann1.YF0J7C.2, arahy.Tifrunner.gnm1.ann1.MLS3VH.1, arahy.Tifrunner.gnm1.ann1.QM6RHT.1, arahy.Tifrunner.gnm1.ann1.TMTW0S.1, arahy.Tifrunner.gnm1.ann1.DFS8IZ.1, arahy.Tifrunner.gnm1.ann1.6B7DLZ.1, arahy.Tifrunner.gnm1.ann1.42FXFC.1, arahy.Tifrunner.gnm1.ann1.5FY3D6.1, arahy.Tifrunner.gnm1.ann1.1QXY8Z.1, arahy.Tifrunner.gnm1.ann1.BPQ1FX.1, arahy.Tifrunner.gnm1.ann1.Q0IR2G.1
OG0000849	CA02g25810, CA02g25800	arahy.Tifrunner.gnm1.ann1.4KB2JU.1, arahy.Tifrunner.gnm1.ann1.4XA800.1, arahy.Tifrunner.gnm1.ann1.BJ32EB.1, arahy.Tifrunner.gnm1.ann1.FT124Y.1
OG0000850	CA06g18960, CA02g27210, CA12g11490, CA01g29680, CA02g27190, CA02g27200, CA02g27220	arahy.Tifrunner.gnm1.ann1.5UX7QI.1
OG0000851	CA04g13350, CA04g13320, CA03g00730, CA03g00720, CA03g00710, CA00g95750, CA03g00250, CA03g00700, CA03g00200, CA03g00260	arahy.Tifrunner.gnm1.ann1.19V8U8.1
OG0000873	CA00g64230	arahy.Tifrunner.gnm1.ann1.12JCM8.1, arahy.Tifrunner.gnm1.ann1.1MRB3M.1, arahy.Tifrunner.gnm1.ann1.9L0LJT.1, arahy.Tifrunner.gnm1.ann1.HT5K25.1, arahy.Tifrunner.gnm1.ann1.72TI9S.1, arahy.Tifrunner.gnm1.ann1.AZ4JKB.1, arahy.Tifrunner.gnm1.ann1.9ZT98E.1, arahy.Tifrunner.gnm1.ann1.FKNU7Z.1, arahy.Tifrunner.gnm1.ann1.WD297D.1, arahy.Tifrunner.gnm1.ann1.RL5IPB.1, arahy.Tifrunner.gnm1.ann1.I4P48R.1, arahy.Tifrunner.gnm1.ann1.JH8ZGN.1, arahy.Tifrunner.gnm1.ann1.9GDC4S.1, arahy.Tifrunner.gnm1.ann1.X8A7AC.1, arahy.Tifrunner.gnm1.ann1.G519NN.1, arahy.Tifrunner.gnm1.ann1.1RP5IK.1, arahy.Tifrunner.gnm1.ann1.4HD0SQ.1, arahy.Tifrunner.gnm1.ann1.3X89CB.1, arahy.Tifrunner.gnm1.ann1.A6WVS0.1, arahy.Tifrunner.gnm1.ann1.TYA6Z6.1, arahy.Tifrunner.gnm1.ann1.CE3XKD.1
OG0000875	CA00g84160	arahy.Tifrunner.gnm1.ann1.V8R19R.1, arahy.Tifrunner.gnm1.ann1.K8THJN.1
OG0000876	CA00g07130	arahy.Tifrunner.gnm1.ann1.DE57MX.1, arahy.Tifrunner.gnm1.ann1.12W07B.1, arahy.Tifrunner.gnm1.ann1.GYFX5G.1
OG0000877	CA07g13040	arahy.Tifrunner.gnm1.ann1.DAH46G.1, arahy.Tifrunner.gnm1.ann1.ZT5PYH.1, arahy.Tifrunner.gnm1.ann1.UH09ER.1, arahy.Tifrunner.gnm1.ann1.J5EGNN.1, arahy.Tifrunner.gnm1.ann1.UUNZ1L.1, arahy.Tifrunner.gnm1.ann1.V42Y99.1, arahy.Tifrunner.gnm1.ann1.7QG3JR.1, arahy.Tifrunner.gnm1.ann1.B78CUX.1, arahy.Tifrunner.gnm1.ann1.FA4W0K.1, arahy.Tifrunner.gnm1.ann1.N2EXWG.1, arahy.Tifrunner.gnm1.ann1.3FEN5I.1, arahy.Tifrunner.gnm1.ann1.0RWW50.1, arahy.Tifrunner.gnm1.ann1.54P96V.1, arahy.Tifrunner.gnm1.ann1.LEQ6N6.1, arahy.Tifrunner.gnm1.ann1.HR99RL.1, arahy.Tifrunner.gnm1.ann1.LA4UJ9.1, arahy.Tifrunner.gnm1.ann1.0N1ZDK.1, arahy.Tifrunner.gnm1.ann1.8AYF8G.1
OG0000879	CA10g17610, CA00g33070	arahy.Tifrunner.gnm1.ann1.BQ28WB.1, arahy.Tifrunner.gnm1.ann1.J3XN27.1, arahy.Tifrunner.gnm1.ann1.F3G6PL.1
OG0000880	CA03g11790	arahy.Tifrunner.gnm1.ann1.V75EHI.2, arahy.Tifrunner.gnm1.ann1.JJAW7G.2, arahy.Tifrunner.gnm1.ann1.E13XA1.1, arahy.Tifrunner.gnm1.ann1.M530PZ.1
OG0000880	CA03g07120	arahy.Tifrunner.gnm1.ann1.ZRQ19F.2, arahy.Tifrunner.gnm1.ann1.C1DBA7.1, arahy.Tifrunner.gnm1.ann1.AFV0LT.1, arahy.Tifrunner.gnm1.ann1.C4CAJP.1
OG0000881	CA06g23160, CA11g17440	arahy.Tifrunner.gnm1.ann1.8VG426.2, arahy.Tifrunner.gnm1.ann1.S29UT8.1
OG0000881	CA09g01190, CA10g16440	arahy.Tifrunner.gnm1.ann1.W27D8N.1, arahy.Tifrunner.gnm1.ann1.2883QL.1, arahy.Tifrunner.gnm1.ann1.SS6TN5.3, arahy.Tifrunner.gnm1.ann1.3D2TC1.2
