Orthogroup	Capsicum_anuum	Prunus_persica
OG0000050	CA00g72130, CA04g15110, CA05g14380, CA05g10220, CA02g03130, CA11g15030, CA01g30390, CA09g11110, CA12g03780, CA02g06730, CA02g26900, CA00g76760, CA04g19340, CA10g11490, CA02g06880, CA10g04510, CA01g20750, CA01g29210, CA07g18940, CA08g05120, CA10g13550, CA12g13770, CA10g07720, CA02g01020, CA02g26940, CA01g25700, CA09g11100, CA03g17960, CA10g06250, CA00g87650, CA10g09220, CA06g27080, CA03g11020, CA05g12510, CA03g21950, CA06g14530, CA10g10630, CA01g13290, CA04g10250, CA09g10780, CA01g29930, CA03g14230, CA06g10490, CA03g15210, CA03g15200, CA05g12330, CA03g10580, CA02g03370, CA03g14560, CA02g02970, CA03g13110, CA10g09410, CA12g10360, CA09g01040, CA01g16380, CA00g36930, CA09g09430, CA00g81060, CA00g91460, CA00g91450, CA04g14800, CA05g17480, CA05g02160, CA02g03710, CA03g13070, CA03g11080, CA05g09950, CA02g29050, CA02g15110, CA12g10240, CA02g02960, CA11g10320, CA04g15120, CA09g08900, CA05g07680, CA07g09980, CA07g08850, CA08g02510, CA04g10360, CA01g16460, CA12g03240	Prupe.4G281000.1
OG0000054	CA03g33700, CA01g19930	Prupe.2G169400.1
OG0000054	CA12g06470, CA08g03120, CA05g09710, CA09g06500, CA02g01460, CA12g08300, CA07g21590, CA01g05760, CA00g54080, CA11g15780, CA08g14010, CA02g11270, CA10g11140, CA02g15300, CA02g11200, CA01g09770, CA02g27590, CA04g17020, CA01g15740, CA01g27760, CA06g17170, CA03g28430, CA01g04140, CA11g04050, CA09g06690, CA02g24580, CA08g02940, CA00g84800, CA03g14300, CA07g15980, CA06g10280, CA02g13910	Prupe.5G008900.1, Prupe.1G465400.1
OG0000054	CA05g07480	Prupe.7G022000.1
OG0000066	CA01g07800, CA01g02080, CA01g02070, CA09g03470, CA01g04280, CA01g04240, CA01g00990, CA01g01200, CA01g01010, CA10g03600, CA01g01040, CA01g01000, CA01g01050, CA01g01070, CA09g02460, CA09g02480, CA09g02440, CA01g07810, CA01g04250, CA01g04270, CA09g02670, CA09g02730, CA09g02450, CA00g45280, CA01g04190, CA01g01190, CA03g20960, CA03g04920, CA00g86470, CA09g02470	Prupe.4G213300.1, Prupe.6G285400.1, Prupe.8G190900.1, Prupe.8G190800.1
OG0000066	CA04g22390	Prupe.5G188100.1, Prupe.1G358000.1
OG0000066	CA00g87830, CA01g29910	Prupe.2G256000.1, Prupe.2G280300.1, Prupe.2G255700.1
OG0000070	CA07g00420, CA05g02440, CA08g12810, CA05g02270, CA05g02790, CA05g02400, CA05g02250, CA05g05460, CA05g05530, CA05g02780, CA05g05550, CA05g02420, CA05g02370, CA04g07060, CA05g12420, CA05g07100, CA05g02290, CA05g02760, CA05g06470, CA05g03880, CA05g05570, CA05g02310, CA05g02740, CA05g02730, CA05g05590, CA05g02260, CA05g02650, CA05g02640, CA05g05520, CA05g02450, CA05g02750, CA05g02360, CA05g02410, CA05g02280, CA05g02670, CA05g02300, CA05g02240, CA05g02230, CA05g02340, CA05g05540, CA05g07120, CA05g02770, CA05g07840	Prupe.1G074000.1
OG0000077	CA11g17320, CA02g22630, CA00g98420, CA00g99040, CA00g95970, CA00g94680, CA00g96200, CA00g99050, CA00g98680, CA00g97310, CA00g96730, CA00g92740, CA00g94670, CA00g97970, CA00g97240, CA00g97260, CA00g96390, CA00g93660, CA00g97950, CA00g93000, CA00g95880, CA00g97080, CA00g92290, CA00g92360, CA00g98200, CA00g97650, CA00g96610, CA00g95990, CA00g98450, CA00g94570, CA00g99100, CA00g97390, CA00g91920, CA00g94810, CA00g92110, CA00g98220, CA00g97720, CA10g22020, CA00g97690, CA00g92810, CA00g92280, CA10g08320, CA00g96480, CA00g92120, CA00g95830, CA03g16730, CA00g93400, CA00g95660, CA00g94180, CA00g95960, CA00g93450, CA00g94920, CA00g93460, CA00g95810, CA00g93890, CA10g12280, CA00g94340, CA00g94610, CA00g98670, CA00g98960, CA00g93860, CA00g97220, CA00g92720, CA00g97270, CA00g95820, CA00g94990, CA00g94260, CA00g95440, CA00g92270, CA00g97740	Prupe.2G094100.1
OG0000078	CA03g04040, CA03g04030, CA03g04050, CA07g03350, CA03g00510, CA03g00440, CA03g04080, CA03g00520, CA07g03340, CA02g01590, CA02g01630, CA02g01610, CA02g25930, CA02g25940, CA02g25920, CA02g25890, CA02g25900, CA03g17470, CA02g25870	Prupe.1G229900.1, Prupe.8G078500.1, Prupe.6G237700.1, Prupe.1G230900.1, Prupe.1G231400.1, Prupe.1G230500.1, Prupe.1G230300.1, Prupe.1G231000.1, Prupe.1G231300.1, Prupe.1G230800.1, Prupe.1G230200.1, Prupe.1G229700.1, Prupe.2G019100.1, Prupe.2G017600.1, Prupe.1G230700.1, Prupe.1G230600.1, Prupe.5G084700.1
OG0000079	CA11g17520, CA05g19680, CA05g19720, CA12g19710, CA12g06050	Prupe.6G121200.1, Prupe.6G121800.1, Prupe.6G121500.1, Prupe.6G122100.1, Prupe.6G121900.1, Prupe.7G115200.1
OG0000079	CA04g02580, CA03g01790, CA03g01800, CA05g16930, CA12g19950, CA12g19930, CA12g16270, CA12g22530, CA12g22510	Prupe.3G076400.1, Prupe.3G076500.1
OG0000079	CA08g05710	Prupe.1G471200.1, Prupe.1G471300.1, Prupe.1G471400.1
OG0000083	CA10g14280	Prupe.2G005100.1
OG0000083	CA01g18600, CA01g18590, CA01g18580, CA01g18560	Prupe.8G165700.1, Prupe.6G018900.1, Prupe.6G019400.1, Prupe.2G198100.1, Prupe.7G083700.1, Prupe.6G136500.1, Prupe.6G136300.1, Prupe.2G198200.1, Prupe.7G083600.1, Prupe.I005900.1, Prupe.6G136100.1, Prupe.6G136700.1, Prupe.6G136400.1, Prupe.2G198400.1, Prupe.2G198300.1, Prupe.2G198000.1, Prupe.2G197900.1, Prupe.6G088200.1, Prupe.4G165800.1, Prupe.6G019000.1, Prupe.6G145100.1, Prupe.6G019100.1, Prupe.6G019300.1, Prupe.6G019200.1, Prupe.7G105400.1, Prupe.6G020100.1, Prupe.7G106100.1, Prupe.7G105800.1, Prupe.7G106000.1, Prupe.6G019900.1, Prupe.1G014500.1, Prupe.7G080500.1, Prupe.7G080700.1, Prupe.6G134900.1, Prupe.6G019600.1, Prupe.6G019500.1, Prupe.6G019700.1, Prupe.3G111000.1, Prupe.3G110900.1, Prupe.6G018800.1, Prupe.1G584100.1
OG0000084	CA10g06850, CA02g25360	Prupe.3G306800.1
OG0000087	CA00g97370, CA00g96510, CA00g97500, CA00g98930, CA00g95940, CA00g97750, CA00g96580, CA00g97630, CA00g98350, CA00g97150, CA00g98140, CA00g98210, CA00g99010, CA00g97820, CA00g97940, CA00g96810, CA00g96720, CA00g95760, CA00g91190, CA00g94230, CA00g96470, CA00g96850, CA00g97230, CA00g97120, CA00g97640, CA00g97210, CA00g98940, CA00g97590, CA00g97300, CA00g97870, CA00g98920, CA00g98280, CA00g98460, CA00g98430, CA00g96670, CA00g99190, CA00g98690, CA00g96620, CA00g98480, CA00g97410, CA00g98780, CA00g97050, CA00g97360, CA00g96500, CA00g97830, CA00g97620, CA00g95950, CA00g98820, CA00g98300, CA00g98400, CA00g96590, CA00g97100, CA00g97600, CA00g96630, CA00g97160, CA00g96820, CA04g21530	Prupe.1G368000.1
OG0000095	CA03g18170, CA06g06690	Prupe.2G295200.1
OG0000095	CA06g25000	Prupe.6G064900.1
OG0000095	CA03g32720	Prupe.5G232700.1
OG0000095	CA10g18810	Prupe.7G028500.1
OG0000095	CA12g17750, CA04g21850	Prupe.1G364800.1
OG0000100	CA10g00280, CA10g00300	Prupe.4G195000.1, Prupe.4G195100.1, Prupe.4G195400.1, Prupe.4G195300.1, Prupe.4G195900.1
OG0000100	CA07g18350, CA07g18370, CA10g00320, CA07g18470, CA04g16710, CA04g16820, CA04g16810	Prupe.4G139500.1
OG0000101	CA03g27810, CA06g19290	Prupe.5G185000.1
OG0000101	CA01g06030	Prupe.2G128800.1, Prupe.5G062200.1
OG0000101	CA07g02510, CA09g18460	Prupe.7G258000.1
OG0000101	CA07g06700	Prupe.1G460700.1, Prupe.1G082000.1
OG0000105	CA04g06670, CA03g11540, CA12g08730	Prupe.6G163400.1
OG0000105	CA10g11380, CA09g05310, CA00g80270, CA11g11900, CA05g03290, CA10g19290, CA05g18520, CA06g24580	Prupe.6G254100.1, Prupe.2G235000.1, Prupe.7G077300.1, Prupe.6G078800.1
OG0000105	CA12g14030	Prupe.5G137100.1
OG0000106	CA04g09570, CA09g10240, CA03g15220, CA01g06540, CA06g03530, CA12g06190, CA11g09660, CA11g13910, CA07g11560, CA09g08270, CA12g09080, CA02g07870, CA07g08410, CA00g57080, CA07g15300, CA02g02310	Prupe.6G061200.1
OG0000109	CA11g03260, CA11g03250, CA11g02970, CA11g02960, CA00g16390, CA00g16400, CA00g16380, CA11g03220, CA01g24070, CA00g29730	Prupe.1G293200.1
OG0000113	CA08g05660, CA12g14240, CA00g59710, CA08g05640, CA12g01680, CA12g04610, CA12g01700, CA11g05000, CA11g04940, CA09g04700, CA12g01770, CA12g01620, CA12g01660, CA00g93290, CA12g01810, CA12g01750, CA12g01830, CA11g04910, CA12g01790, CA12g01720, CA12g04600, CA12g01640, CA09g04730, CA12g06970, CA12g01690	Prupe.7G048600.1, Prupe.7G048500.1, Prupe.7G048400.1
OG0000133	CA11g14650	Prupe.4G094200.1
OG0000133	CA12g06880, CA10g11130, CA12g06870, CA06g04430, CA00g86870, CA11g14660, CA07g02660, CA07g02670	Prupe.3G180600.1
OG0000133	CA03g24840	Prupe.1G442500.1
OG0000137	CA10g04690	Prupe.4G236500.1, Prupe.3G016600.1
OG0000137	CA10g20790, CA10g20750, CA10g21460, CA10g21190, CA10g20820, CA10g21170, CA10g21120, CA10g20540, CA10g21380, CA10g20630, CA10g20560, CA10g20800, CA10g04500	Prupe.8G185800.1, Prupe.8G185600.1
OG0000138	CA11g14860	Prupe.6G151900.1
OG0000138	CA08g06660, CA08g06670, CA08g06680	Prupe.5G095500.1
OG0000139	CA10g13340, CA10g13360, CA10g13310, CA10g13370, CA06g05580	Prupe.6G008200.1
OG0000140	CA08g03460, CA04g04840, CA00g87920, CA04g02030, CA04g02360, CA04g02290, CA04g04470, CA04g03200, CA06g02470, CA04g03790, CA04g01580, CA04g04650, CA04g01460, CA04g04600, CA00g29480, CA04g01920, CA04g04620, CA04g02020, CA04g04760, CA04g04900, CA04g01360, CA04g02130, CA04g02180, CA00g71710, CA04g01010, CA00g29670, CA04g01290, CA04g01340, CA04g04950, CA04g01970, CA00g29540, CA04g04970, CA04g01430, CA01g29940, CA00g71640, CA00g29420, CA04g01890, CA04g04710, CA00g29450, CA00g29520, CA04g03740, CA02g09910	Prupe.6G160500.1, Prupe.4G063500.1
OG0000140	CA03g26550	Prupe.5G170700.1
OG0000147	CA11g00310, CA11g00360, CA11g00680, CA11g00350, CA09g04360, CA11g00660, CA11g00690, CA11g00370, CA11g00340, CA11g00330, CA11g00390, CA11g00720	Prupe.3G146000.1, Prupe.3G145500.1, Prupe.3G146600.1, Prupe.2G033300.1, Prupe.1G497000.1, Prupe.3G146200.1, Prupe.1G496900.1, Prupe.3G145900.1, Prupe.3G145700.1, Prupe.3G145200.1, Prupe.2G033400.1, Prupe.3G146100.1, Prupe.3G145800.1, Prupe.3G145600.1, Prupe.1G315100.1, Prupe.1G315400.1, Prupe.1G315200.1, Prupe.1G315000.1
OG0000155	CA04g05880, CA04g05890, CA08g11890, CA08g11280, CA08g11270, CA08g11260, CA08g04550, CA01g22020, CA01g22010, CA08g11000, CA08g11250	Prupe.6G333900.1, Prupe.6G333800.1
OG0000155	CA01g25030	Prupe.1G143400.1
OG0000164	CA06g15730	Prupe.1G400700.1, Prupe.1G400500.1
OG0000165	CA11g06600	Prupe.1G339000.1
OG0000167	CA05g20550, CA05g20380, CA05g20520, CA05g18900, CA05g18110, CA03g26090, CA03g26060, CA03g26010, CA05g20480, CA03g01590, CA05g18910, CA01g32250, CA05g18140, CA05g20470, CA05g20610, CA05g18080, CA05g20490, CA05g20440, CA00g98650, CA00g98880, CA05g20570, CA01g32270, CA03g23960, CA05g18130, CA05g18090, CA03g26050, CA05g20450, CA05g18160, CA12g18650, CA00g90920, CA05g18070, CA12g18640, CA00g88830, CA05g20540, CA05g18100, CA05g20360, CA05g20500, CA00g33010, CA04g15880, CA05g20430	Prupe.7G182400.1, Prupe.7G182600.1, Prupe.7G182500.1, Prupe.7G182300.1, Prupe.3G164000.1
OG0000175	CA04g19640, CA00g90270, CA04g19650, CA04g19610, CA04g19700, CA12g17270	Prupe.1G387300.1
OG0000175	CA04g19690, CA04g19290, CA00g90300, CA00g90260, CA00g90290, CA04g19670, CA04g19300, CA04g19590, CA04g19580, CA04g19680, CA04g19660, CA04g19710	Prupe.1G537700.1, Prupe.1G538200.1, Prupe.1G538000.1, Prupe.1G537600.1, Prupe.1G537400.1, Prupe.6G212300.1, Prupe.3G066200.1, Prupe.3G064700.1, Prupe.1G387500.1, Prupe.1G387100.1, Prupe.1G387200.1, Prupe.1G387400.1, Prupe.1G387000.1, Prupe.1G386800.1, Prupe.1G386900.1
OG0000176	CA01g10570, CA00g15290	Prupe.6G017100.1
OG0000176	CA00g15300	Prupe.6G016300.1, Prupe.6G016600.1, Prupe.6G017500.1, Prupe.6G017000.1, Prupe.6G017300.1, Prupe.6G017400.1, Prupe.6G016700.1, Prupe.6G017200.1
OG0000176	CA09g16350, CA00g92840, CA00g95780, CA00g76610, CA09g16360, CA09g15960	Prupe.6G021600.1, Prupe.6G021500.1, Prupe.6G021000.1, Prupe.6G020400.1, Prupe.6G020500.1, Prupe.6G020800.1, Prupe.6G020700.1, Prupe.6G020900.1
OG0000179	CA08g13910, CA08g14680, CA00g97930, CA08g14660, CA08g14670, CA08g13770, CA08g13760	Prupe.5G240700.1, Prupe.8G025500.1, Prupe.8G025700.1, Prupe.8G048300.1, Prupe.8G025800.1, Prupe.8G025900.1, Prupe.8G025600.1, Prupe.8G035900.1, Prupe.8G035800.1, Prupe.8G035600.1, Prupe.8G035700.1
OG0000182	CA04g22580	Prupe.8G131200.1, Prupe.4G275300.1, Prupe.8G175100.1, Prupe.8G175500.1, Prupe.8G176000.1, Prupe.8G175600.1, Prupe.8G175900.1, Prupe.2G142500.1, Prupe.2G142900.1, Prupe.8G175000.1, Prupe.8G175700.1, Prupe.8G175300.1, Prupe.8G175800.1, Prupe.8G175200.1, Prupe.2G076800.1, Prupe.8G175400.1
OG0000183	CA12g21960, CA00g68840, CA00g74060, CA12g21910, CA12g22350, CA08g06410, CA00g84530, CA00g74040, CA06g01640, CA12g22370, CA12g20540, CA12g22010, CA12g22230, CA00g84510, CA00g74020, CA00g90120, CA12g22050, CA12g21940, CA00g85050, CA03g05820, CA12g21920, CA12g22210, CA00g90110, CA00g74070, CA03g05810, CA00g91270, CA00g29720, CA12g22070, CA00g84500, CA00g84470, CA12g22330, CA12g21740, CA12g18470, CA12g21690, CA12g21640, CA12g21660	Prupe.4G278900.1
OG0000188	CA09g08140	Prupe.1G537500.1, Prupe.1G536800.1, Prupe.4G152600.1, Prupe.4G152700.1, Prupe.4G152800.1, Prupe.4G153000.1, Prupe.4G152900.1
OG0000189	CA00g44350, CA05g12560, CA11g15010, CA04g14170, CA06g06510, CA11g10860, CA11g05850	Prupe.2G095500.1
OG0000189	CA11g10990	Prupe.8G025100.1, Prupe.3G156200.1
OG0000189	CA10g08930, CA11g13300, CA06g10670, CA06g04360, CA08g02230, CA04g02820, CA03g17830, CA10g03700, CA06g04110, CA05g14210, CA00g49910, CA09g14140, CA06g02210, CA00g66690, CA09g12170, CA02g07500, CA12g05780, CA07g03130, CA06g12450, CA07g04440	Prupe.1G292300.1
OG0000190	CA04g02770	Prupe.7G184800.1, Prupe.7G107200.1, Prupe.7G208800.1, Prupe.4G032700.1, Prupe.4G032600.1, Prupe.1G578100.1
OG0000190	CA02g17390	Prupe.5G214800.1, Prupe.5G215000.1, Prupe.5G215400.1
OG0000190	CA07g18360, CA07g18400, CA04g16730, CA04g16690, CA04g16790, CA11g17120, CA00g85990, CA07g18430	Prupe.4G195600.1, Prupe.4G195800.1, Prupe.4G195200.1, Prupe.4G142200.1, Prupe.4G142700.1
OG0000194	CA03g05440, CA03g05480, CA03g05390, CA05g03630	Prupe.1G036200.1
OG0000194	CA06g10410	Prupe.1G035800.1, Prupe.1G036000.1, Prupe.1G035700.1, Prupe.1G191000.1, Prupe.1G036100.1, Prupe.1G035900.1, Prupe.1G035500.1, Prupe.1G191100.1
OG0000195	CA07g14730	Prupe.5G081800.1, Prupe.4G150700.1, Prupe.4G151000.1, Prupe.4G190200.1, Prupe.4G221400.1, Prupe.4G151100.1, Prupe.5G081900.1, Prupe.6G096300.1, Prupe.8G042400.1, Prupe.4G221500.1, Prupe.4G150900.1, Prupe.2G255600.1
OG0000195	CA02g11540, CA07g14490, CA07g14940, CA07g04850	Prupe.3G110400.1, Prupe.3G110600.1
OG0000196	CA03g23970, CA06g20620	Prupe.3G034600.1
OG0000197	CA10g19940	Prupe.7G040300.1, Prupe.7G040500.1, Prupe.7G040100.1, Prupe.7G039900.1, Prupe.7G039800.1, Prupe.1G213700.1
OG0000205	CA11g12720, CA12g21700, CA12g17530, CA04g14580, CA12g17480, CA12g18460, CA12g21650, CA12g21670, CA12g21680, CA12g17450, CA00g91160, CA12g17470, CA07g02450, CA12g22830, CA01g21460, CA12g22840, CA12g22810, CA12g22820, CA12g22850, CA12g21730, CA05g13960, CA05g13980	Prupe.4G234000.1, Prupe.4G232400.1, Prupe.4G233600.1, Prupe.4G234200.1, Prupe.4G279000.1, Prupe.4G233100.1, Prupe.4G233200.1
OG0000208	CA12g05820, CA08g19200, CA00g83780, CA03g03630, CA10g17600, CA06g25670, CA03g03620	Prupe.1G045800.1
OG0000209	CA04g05370, CA04g05350, CA02g20880, CA02g20920, CA02g20890, CA02g20930, CA02g20940, CA02g20950, CA02g20970, CA02g20960	Prupe.7G178200.1
OG0000209	CA10g16800, CA02g06540, CA02g20860	Prupe.7G178100.1
OG0000209	CA02g20990, CA02g21000	Prupe.7G178300.1
OG0000210	CA08g17830, CA08g17760, CA08g17750, CA11g02890, CA09g02600, CA08g17780, CA08g17770, CA03g30220, CA08g17730	Prupe.7G141500.1, Prupe.7G141700.1, Prupe.7G141200.1, Prupe.7G141100.1, Prupe.7G141000.1, Prupe.7G141300.1, Prupe.7G141400.1, Prupe.8G115000.1, Prupe.8G114700.1, Prupe.8G115300.1
OG0000211	CA12g07210, CA07g05540, CA05g06000, CA01g22880, CA03g14970	Prupe.2G145900.1
OG0000222	CA05g04870	Prupe.2G081700.1
OG0000223	CA10g14820, CA07g07520, CA10g09030, CA01g18030, CA10g20520	Prupe.4G059800.1, Prupe.4G059600.1, Prupe.3G106400.1, Prupe.3G119400.1, Prupe.3G122700.1, Prupe.3G122000.1, Prupe.3G121900.1, Prupe.3G120600.1, Prupe.1G072300.1, Prupe.1G072400.1, Prupe.3G122200.1, Prupe.3G122100.1
OG0000224	CA00g84370	Prupe.6G205800.1
OG0000224	CA00g84870, CA00g84860, CA00g84910	Prupe.6G207400.1, Prupe.6G207900.1, Prupe.6G207700.1, Prupe.6G207600.1, Prupe.6G206300.1, Prupe.6G207200.1, Prupe.6G207300.1, Prupe.6G207500.1, Prupe.6G206800.1, Prupe.6G205700.1, Prupe.6G205600.1, Prupe.6G206900.1, Prupe.6G207100.1, Prupe.6G205900.1
OG0000225	CA08g17070, CA08g17040, CA08g17060, CA08g17050, CA02g02130	Prupe.2G243800.1
OG0000225	CA09g08950, CA02g30320	Prupe.4G125800.1
OG0000225	CA04g14750	Prupe.8G046200.1
OG0000230	CA00g82390	Prupe.2G069800.1
OG0000230	CA10g05810, CA10g13060, CA08g12260, CA07g17880, CA06g06280	Prupe.8G093700.1, Prupe.5G025800.1, Prupe.7G055500.1, Prupe.8G073400.1
OG0000235	CA03g36070	Prupe.1G439000.1, Prupe.1G439100.1, Prupe.1G438900.1, Prupe.8G038300.1, Prupe.6G291100.1, Prupe.3G055700.1, Prupe.1G491600.1
OG0000236	CA05g12170, CA08g07540	Prupe.2G175200.1
OG0000236	CA11g13970	Prupe.6G090400.1
OG0000236	CA06g06270	Prupe.6G091700.1
OG0000236	CA08g04480, CA03g14570	Prupe.7G267300.1
OG0000239	CA10g16660, CA10g17130, CA07g19260, CA10g16640, CA07g19340, CA00g92710, CA07g19320, CA01g11860, CA00g16540, CA06g15460, CA06g15390, CA00g92990, CA07g19350, CA01g11850, CA07g19270, CA01g22540, CA07g19310, CA07g19360, CA01g12790, CA10g16650, CA06g06760, CA10g17230, CA01g32070, CA00g92700, CA06g06780, CA00g16550	Prupe.4G209700.1, Prupe.4G209800.1
OG0000242	CA01g32600, CA01g32650, CA05g13590, CA05g13600, CA01g29900, CA01g32570, CA03g02140, CA01g33870, CA01g32380, CA04g10750, CA01g29850, CA01g33860, CA01g33880, CA00g76910, CA04g10720, CA01g33820, CA01g32610, CA01g32660, CA01g28340, CA01g33810, CA01g33800, CA01g32590, CA01g33840, CA00g76900, CA05g13610, CA01g29890, CA04g10730, CA01g28350, CA01g32620, CA01g29860, CA04g10710, CA01g33900, CA01g32390, CA00g76890, CA01g33790, CA01g33850, CA04g10690	Prupe.4G201800.1
OG0000246	CA00g52090, CA00g52030, CA00g52040, CA00g52060, CA00g52100, CA00g52120, CA00g52110	Prupe.8G130900.1, Prupe.8G130800.1, Prupe.8G130600.1, Prupe.8G130500.1, Prupe.8G130400.1, Prupe.8G130700.1, Prupe.8G131000.1, Prupe.8G130200.1, Prupe.8G130100.1, Prupe.8G130300.1, Prupe.8G129800.1
OG0000247	CA06g18900, CA06g18970, CA02g02050	Prupe.6G261800.1, Prupe.2G279000.1, Prupe.2G228500.1, Prupe.2G228300.1
OG0000247	CA06g18920, CA06g18880, CA06g18830, CA06g18910, CA06g20890, CA06g07860	Prupe.7G048700.1, Prupe.2G228800.1, Prupe.2G228400.1, Prupe.2G279200.1, Prupe.6G291300.1, Prupe.2G228200.1, Prupe.2G279300.1, Prupe.6G198200.1, Prupe.2G228600.1
OG0000248	CA12g22930	Prupe.7G005100.1
OG0000248	CA00g83820, CA12g15780, CA01g29610, CA02g28340	Prupe.8G150900.1, Prupe.3G269300.1, Prupe.1G542600.1
OG0000249	CA02g23830, CA02g05010	Prupe.1G545500.1
OG0000249	CA02g26590, CA02g06170	Prupe.3G149800.1
OG0000249	CA02g23880	Prupe.3G149900.1
OG0000249	CA05g07990, CA11g00100	Prupe.1G320200.1, Prupe.1G320400.1
OG0000250	CA07g16200	Prupe.4G146400.1, Prupe.4G146700.1, Prupe.4G147300.1, Prupe.4G147100.1, Prupe.4G146900.1, Prupe.4G147400.1
OG0000250	CA07g16210, CA07g16260	Prupe.4G147800.1, Prupe.4G145900.1, Prupe.4G146000.1, Prupe.4G145800.1, Prupe.4G146100.1, Prupe.4G147200.1, Prupe.4G147000.1, Prupe.4G146800.1, Prupe.4G146600.1, Prupe.4G146300.1, Prupe.4G146200.1
OG0000251	CA01g22310, CA01g21950, CA01g20120	Prupe.6G016200.1, Prupe.4G054300.1, Prupe.6G021100.1
OG0000251	CA01g24990, CA01g18710	Prupe.6G021700.1
OG0000251	CA04g15730, CA05g13240	Prupe.1G369600.1
OG0000251	CA12g03410	Prupe.6G192700.1
OG0000252	CA04g02750, CA04g02760, CA02g17330	Prupe.4G032900.1, Prupe.4G032500.1, Prupe.4G033000.1
