Orthogroup	Brassica_napus	Prunus_persica
OG0000179	CDX74487, CDY37880, CDY69099, CDY11695, CDY15957, CDX99669, CDY05545	Prupe.5G240700.1, Prupe.8G025500.1, Prupe.8G025700.1, Prupe.8G048300.1, Prupe.8G025800.1, Prupe.8G025900.1, Prupe.8G025600.1, Prupe.8G035900.1, Prupe.8G035800.1, Prupe.8G035600.1, Prupe.8G035700.1
OG0000182	CDX72526, CDX76319, CDY17527, CDX72527, CDX76320, CDY17528, CDY17526, CDY31383, CDX71332, CDY39489, CDY02221, CDY39490, CDY02220, CDX71331, CDY31384, CDY07881, CDY17525	Prupe.8G131200.1, Prupe.4G275300.1, Prupe.8G175100.1, Prupe.8G175500.1, Prupe.8G176000.1, Prupe.8G175600.1, Prupe.8G175900.1, Prupe.2G142500.1, Prupe.2G142900.1, Prupe.8G175000.1, Prupe.8G175700.1, Prupe.8G175300.1, Prupe.8G175800.1, Prupe.8G175200.1, Prupe.2G076800.1, Prupe.8G175400.1
OG0000183	CDY23773	Prupe.4G278900.1
OG0000188	CDX98481	Prupe.1G537500.1, Prupe.1G536800.1, Prupe.4G152600.1, Prupe.4G152700.1, Prupe.4G152800.1, Prupe.4G153000.1, Prupe.4G152900.1
OG0000189	CDX91262	Prupe.2G095500.1
OG0000189	CDY59595, CDY00973	Prupe.1G292300.1
OG0000190	CDY39264	Prupe.4G237800.1
OG0000190	CDY29295, CDX89260	Prupe.4G195600.1, Prupe.4G195800.1, Prupe.4G195200.1, Prupe.4G142200.1, Prupe.4G142700.1
OG0000194	CDY06655, CDY06220	Prupe.1G035600.1, Prupe.1G036200.1, Prupe.1G035800.1, Prupe.1G036000.1, Prupe.1G035700.1, Prupe.1G191000.1, Prupe.1G036100.1, Prupe.1G035900.1, Prupe.1G035500.1, Prupe.1G191100.1
OG0000195	CDY46892	Prupe.8G212900.1, Prupe.8G212800.1, Prupe.8G003300.1, Prupe.8G211600.1, Prupe.8G211700.1, Prupe.6G287700.1, Prupe.6G294100.1, Prupe.4G210300.1, Prupe.4G156000.1, Prupe.1G172300.1, Prupe.1G172200.1, Prupe.4G210200.1, Prupe.5G081800.1, Prupe.4G150700.1, Prupe.4G151000.1, Prupe.4G190200.1, Prupe.4G221400.1, Prupe.4G151100.1, Prupe.5G081900.1, Prupe.6G096300.1, Prupe.8G042400.1, Prupe.4G221500.1, Prupe.4G150900.1, Prupe.2G255600.1, Prupe.3G110400.1, Prupe.3G110600.1
OG0000196	CDY03641, CDX82152, CDY46144, CDY20307	Prupe.8G193400.1, Prupe.3G034600.1
OG0000197	CDY71388, CDY06149, CDX77489, CDX85121, CDY06147, CDX72085, CDX72086, CDY06148, CDX77490, CDY71118, CDX67671, CDX67670, CDX76031, CDX76026, CDY47395, CDY47394, CDX76025, CDY47392, CDY47396, CDY69684, CDY68089, CDY71473, CDX76032, CDX76027, CDY23861, CDX97997, CDY72354, CDY06938, CDY14758	Prupe.7G040300.1, Prupe.7G040500.1, Prupe.7G040100.1, Prupe.7G039900.1, Prupe.7G039800.1, Prupe.1G213700.1
OG0000197	CDX76023, CDY23860, CDY59827	Prupe.3G165100.1
OG0000208	CDY67346, CDY09025, CDX85101, CDY67345, CDY09024, CDY18120, CDY54629, CDX85102, CDX77513, CDX77514, CDY09021, CDX94854, CDX92987, CDX85109, CDX77504	Prupe.1G045800.1
OG0000210	CDX82316, CDY53037, CDY65790, CDX92297, CDX99286	Prupe.7G141500.1, Prupe.7G141700.1, Prupe.7G141200.1, Prupe.7G141100.1, Prupe.7G141000.1, Prupe.7G141300.1, Prupe.7G141400.1, Prupe.8G115000.1, Prupe.8G114700.1, Prupe.8G115300.1
OG0000211	CDX71645, CDY19664	Prupe.2G145900.1
OG0000222	CDY36169	Prupe.2G082000.1, Prupe.3G236700.1, Prupe.2G082200.1, Prupe.2G081200.1, Prupe.2G082300.1, Prupe.2G082800.1, Prupe.2G082100.1, Prupe.2G082700.1, Prupe.2G082900.1, Prupe.2G080300.1, Prupe.2G080900.1, Prupe.2G081100.1, Prupe.2G080700.1, Prupe.2G033900.1, Prupe.3G235600.1, Prupe.3G237100.1, Prupe.3G236600.1, Prupe.3G236800.1, Prupe.3G236300.1, Prupe.4G282500.1, Prupe.3G237300.1, Prupe.3G237500.1, Prupe.3G237400.1, Prupe.3G237000.1, Prupe.2G033800.1, Prupe.2G081700.1
OG0000223	CDX87758, CDY50483, CDX77621, CDY58055	Prupe.4G059800.1, Prupe.4G059600.1, Prupe.3G106400.1, Prupe.3G119400.1, Prupe.3G122700.1, Prupe.3G122000.1, Prupe.3G121900.1, Prupe.3G120600.1, Prupe.1G072300.1, Prupe.1G072400.1, Prupe.3G122200.1, Prupe.3G122100.1
OG0000223	CDY39575, CDY48170, CDY48172	Prupe.3G106300.1, Prupe.3G120900.1
OG0000224	CDY52520, CDX90391, CDY52519	Prupe.6G208300.1, Prupe.6G205800.1, Prupe.6G208200.1, Prupe.6G208100.1, Prupe.6G207400.1, Prupe.6G207900.1, Prupe.6G207700.1, Prupe.6G207600.1, Prupe.6G206300.1, Prupe.6G207200.1, Prupe.6G207300.1, Prupe.6G207500.1, Prupe.6G206800.1, Prupe.6G205700.1, Prupe.6G205600.1, Prupe.6G206900.1, Prupe.6G207100.1, Prupe.6G205900.1
OG0000225	CDX86069, CDX99119, CDY56096, CDY60563, CDX71079, CDX88719, CDY49575	Prupe.2G243800.1
OG0000225	CDY45447, CDY53372, CDY53371, CDY45448, CDY51363, CDX97881	Prupe.2G243400.1, Prupe.6G066500.1, Prupe.6G066200.1, Prupe.6G066100.1, Prupe.6G066300.1, Prupe.6G065900.1, Prupe.6G066400.1, Prupe.6G266500.1, Prupe.4G125800.1, Prupe.8G046200.1
OG0000230	CDY33679, CDY72341, CDY20424, CDX81269, CDY40870, CDY20155, CDX71270, CDX75111	Prupe.2G069800.1, Prupe.8G093700.1, Prupe.5G025800.1, Prupe.7G055500.1, Prupe.8G073400.1
OG0000235	CDY43546, CDX68613, CDY01410, CDY12853, CDY01408, CDY12856, CDY68392	Prupe.1G439000.1, Prupe.1G439100.1, Prupe.1G438900.1, Prupe.8G038300.1, Prupe.6G291100.1, Prupe.3G055700.1, Prupe.1G491600.1
OG0000235	CDY43930, CDX87846	Prupe.3G055800.1, Prupe.3G055400.1, Prupe.3G055600.1, Prupe.3G021900.1, Prupe.3G019400.1, Prupe.7G208900.1, Prupe.3G056000.1, Prupe.3G056100.1, Prupe.3G055500.1, Prupe.3G054500.1
OG0000236	CDX91889, CDX74352	Prupe.2G175200.1
OG0000236	CDY06283, CDY22716	Prupe.6G090400.1
OG0000236	CDX86029, CDX99153	Prupe.6G091700.1
OG0000236	CDX79801, CDY17911, CDX83459, CDY44256	Prupe.7G267300.1
OG0000239	CDY13158	Prupe.4G209700.1, Prupe.4G209800.1
OG0000240	CDX70447, CDY42283, CDY44932, CDX70444, CDY52726, CDX86618, CDY53202, CDY69268, CDX86621, CDY09532, CDY69473, CDY70276, CDY69606	Prupe.1G058100.1, Prupe.8G012700.1, Prupe.1G057300.1, Prupe.1G057000.1, Prupe.1G057100.1, Prupe.1G057200.1, Prupe.1G055600.1, Prupe.1G026600.1, Prupe.1G049500.1, Prupe.1G055500.1, Prupe.1G059800.1, Prupe.1G058900.1, Prupe.1G058600.1, Prupe.1G059000.1, Prupe.1G059100.1, Prupe.1G059200.1, Prupe.1G059300.1, Prupe.1G057800.1, Prupe.1G057700.1, Prupe.1G062800.1, Prupe.1G062600.1, Prupe.1G062700.1, Prupe.1G062500.1, Prupe.1G062900.1, Prupe.1G062300.1, Prupe.1G062400.1, Prupe.1G062000.1, Prupe.1G062100.1
OG0000246	CDX89662, CDY13143, CDX71221, CDY36633, CDX96594, CDY65110, CDY65498, CDX76262, CDX75400, CDX69028, CDX69027, CDX75399, CDY53948, CDY45706, CDX76261	Prupe.8G130900.1, Prupe.8G130800.1, Prupe.8G130600.1, Prupe.8G130500.1, Prupe.8G130400.1, Prupe.8G130700.1, Prupe.8G131000.1, Prupe.8G130200.1, Prupe.8G130100.1, Prupe.8G130300.1, Prupe.8G129800.1
OG0000248	CDX88875, CDX70890, CDY44942, CDY44941, CDY42294, CDY42295, CDX92502, CDX92501	Prupe.7G005100.1
OG0000248	CDY03583, CDY45043, CDY50974, CDY28123, CDY66630	Prupe.6G004100.1, Prupe.6G212700.1, Prupe.8G150900.1, Prupe.3G269300.1, Prupe.1G542600.1
OG0000249	CDX87974, CDY12351	Prupe.1G545500.1, Prupe.3G149800.1
OG0000249	CDX96304, CDX72778, CDX68324, CDY49220, CDX77471, CDY67968, CDY37952	Prupe.3G149900.1
OG0000249	CDX81701, CDY71492, CDY39617, CDY36531, CDY52017, CDX83993	Prupe.1G320200.1, Prupe.1G320400.1
OG0000249	CDY21200	Prupe.1G320300.1
OG0000250	CDY21758, CDX81808, CDY14615, CDY26861, CDX79261, CDX79553, CDX68016	Prupe.4G146400.1, Prupe.4G146700.1, Prupe.4G147300.1, Prupe.4G147100.1, Prupe.4G146900.1, Prupe.4G147400.1, Prupe.4G147800.1, Prupe.4G145900.1, Prupe.4G146000.1, Prupe.4G145800.1, Prupe.4G146100.1, Prupe.4G147200.1, Prupe.4G147000.1, Prupe.4G146800.1, Prupe.4G146600.1, Prupe.4G146300.1, Prupe.4G146200.1
OG0000251	CDX69839	Prupe.6G016200.1, Prupe.4G054300.1, Prupe.6G021100.1, Prupe.6G021700.1
OG0000251	CDY69490, CDX85735, CDY68289	Prupe.1G369600.1, Prupe.6G192700.1, Prupe.1G522300.1
OG0000252	CDY40949, CDY26342, CDY12897, CDY69413, CDY15015, CDY26190, CDY70790, CDY12900, CDY47575, CDY03832, CDY57377, CDY03834, CDY47580, CDY67906, CDY12902, CDY15014, CDY20988, CDY50230, CDY26339, CDY15012, CDY03831, CDY47574, CDY15013, CDY40948, CDX76754, CDY11523, CDX76992, CDY35354, CDY61830, CDX98306, CDY62412, CDY15826	Prupe.4G032900.1, Prupe.4G032500.1, Prupe.4G033000.1
OG0000253	CDY41471, CDY15528, CDX86598, CDX86600, CDY15527	Prupe.5G051800.1, Prupe.5G051500.1
OG0000253	CDY28243, CDY66530	Prupe.3G181600.1, Prupe.3G182500.1, Prupe.3G182300.1, Prupe.3G182100.1, Prupe.3G180700.1, Prupe.3G181000.1, Prupe.3G181200.1, Prupe.1G188700.1, Prupe.1G188400.1, Prupe.3G180500.1, Prupe.3G182800.1, Prupe.3G182700.1, Prupe.3G182400.1, Prupe.5G051400.1, Prupe.5G051600.1, Prupe.5G051200.1, Prupe.3G182200.1, Prupe.3G182600.1, Prupe.3G182000.1, Prupe.3G181900.1, Prupe.3G181800.1, Prupe.3G181500.1, Prupe.3G181400.1, Prupe.3G181100.1
OG0000260	CDY65635, CDY50393, CDY50394, CDY65636	Prupe.8G263700.1
OG0000260	CDX90553, CDY09727	Prupe.1G124300.1, Prupe.1G124500.1, Prupe.1G124200.1
OG0000261	CDY38059	Prupe.2G112600.1, Prupe.2G112900.1, Prupe.2G112800.1, Prupe.2G113500.1, Prupe.2G113600.1
OG0000261	CDY07774, CDX79752, CDX79754, CDX91381, CDX74937, CDX93353, CDY55893, CDY55894, CDX93352	Prupe.3G128800.1, Prupe.2G113000.1
OG0000263	CDX75460, CDX69086, CDY70461, CDY63257, CDX76303, CDX82007, CDY13831, CDX68122, CDX85905, CDX73181, CDY47511, CDY39041, CDY13560	Prupe.7G167000.1, Prupe.1G367800.1, Prupe.8G082100.1
OG0000266	CDY71451, CDX88961, CDY46589, CDX71998, CDY69384, CDX76201, CDY05053, CDX90717, CDY23179, CDY60640, CDY06081, CDY46586, CDX73640, CDY43827, CDY43039, CDY06082, CDY06080, CDX71997, CDY06076, CDY62629, CDX88962, CDY47668, CDY47670, CDY46587, CDX88963, CDY47671, CDY64285, CDX88964, CDX72000, CDY38254, CDY53493	Prupe.8G149400.1, Prupe.8G149900.1, Prupe.8G149700.1, Prupe.8G149300.1, Prupe.8G149600.1, Prupe.8G149800.1, Prupe.8G149500.1
OG0000275	CDY37486, CDY51738, CDY23637, CDX97513	Prupe.3G050200.1
OG0000275	CDX88594	Prupe.3G298200.1, Prupe.7G210000.1
OG0000276	CDY70876, CDX79058, CDX94034, CDY62915	Prupe.1G469100.1, Prupe.1G469000.1, Prupe.1G469200.1, Prupe.1G469300.1, Prupe.1G468600.1, Prupe.6G183600.1, Prupe.6G184400.1, Prupe.6G183500.1, Prupe.6G184500.1, Prupe.4G028700.1, Prupe.4G028800.1, Prupe.1G174500.1, Prupe.4G100700.1, Prupe.4G028200.1, Prupe.4G028000.1, Prupe.4G028100.1, Prupe.4G028600.1, Prupe.4G027900.1, Prupe.1G470700.1, Prupe.6G183400.1, Prupe.6G184100.1
OG0000277	CDX77044, CDY48178, CDY48179, CDX77047	Prupe.1G372000.1
OG0000277	CDY02257, CDX89726, CDX89717, CDY02259, CDX89713, CDY26770, CDY47461	Prupe.8G088900.1, Prupe.8G088800.1, Prupe.8G089000.1, Prupe.8G089100.1, Prupe.8G089200.1
OG0000278	CDY64407, CDY09343, CDY71146	Prupe.1G276700.1, Prupe.3G265800.1
OG0000278	CDY23890, CDY07598, CDX98831, CDX70161	Prupe.2G263600.1, Prupe.6G042000.1
OG0000279	CDY72391, CDX79856, CDX71922	Prupe.3G111300.1
OG0000279	CDY41268, CDY10829, CDY49717, CDX92709, CDY00504	Prupe.1G531500.1, Prupe.1G531300.1
OG0000280	CDX86839	Prupe.7G205500.1
OG0000280	CDX81291, CDY54711, CDX73276, CDY67034	Prupe.1G534200.1
OG0000281	CDY49337, CDY42926, CDX77803, CDY17700	Prupe.4G001900.1
OG0000281	CDY21326, CDX90884	Prupe.4G234700.1, Prupe.4G234800.1, Prupe.2G123900.1, Prupe.6G030900.1, Prupe.6G030600.1, Prupe.6G030500.1, Prupe.6G031100.1, Prupe.6G031000.1, Prupe.6G030300.1, Prupe.6G030400.1, Prupe.6G025900.1, Prupe.6G030200.1
OG0000282	CDY66441, CDX77430, CDX94823, CDX93009	Prupe.5G052400.1, Prupe.5G049200.1
OG0000289	CDY54750, CDY62515, CDY53129, CDY53648	Prupe.3G222300.1, Prupe.3G222200.1
OG0000291	CDY00125	Prupe.3G274300.1, Prupe.3G274200.1, Prupe.3G274100.1, Prupe.3G273900.1, Prupe.3G274000.1
OG0000292	CDX98578, CDX99945, CDY38700, CDX99944, CDY38699, CDX98577, CDY21199, CDX92356, CDY45484	Prupe.7G029600.1
OG0000293	CDY55650, CDX92924, CDY24268, CDY65253, CDY24263, CDX92923, CDY19298, CDX92922, CDY24262, CDY38640, CDY33142	Prupe.3G185100.1, Prupe.3G184900.1, Prupe.3G185400.1, Prupe.3G185200.1, Prupe.3G185000.1, Prupe.7G013100.1, Prupe.3G184700.1, Prupe.3G184800.1, Prupe.3G184600.1
OG0000302	CDX94168, CDX76944, CDY41248, CDY10846, CDY41247, CDY10847, CDY41372, CDX94167, CDY41246, CDY39507, CDX94169, CDY10869, CDY59784, CDY12405, CDY41770, CDY10852, CDY41240, CDY47325, CDY01121	Prupe.4G027600.1, Prupe.4G027400.1, Prupe.4G027300.1, Prupe.4G027800.1, Prupe.4G027700.1, Prupe.8G039200.1
OG0000303	CDX85604, CDX78570, CDX70555, CDY57901, CDX69590, CDX91071	Prupe.1G504900.1, Prupe.1G504800.1
OG0000305	CDX81526	Prupe.7G029700.1
OG0000306	CDY04437, CDY04356	Prupe.6G010300.1
OG0000306	CDY21398, CDY04773	Prupe.8G162200.1
OG0000306	CDY47901	Prupe.7G083100.1
OG0000313	CDY60872, CDX94354	Prupe.7G214300.1, Prupe.7G214400.1
OG0000317	CDX73815, CDY00784, CDY50531, CDY52661	Prupe.7G265200.1, Prupe.3G102300.1, Prupe.3G102200.1, Prupe.6G252500.1, Prupe.6G079800.1, Prupe.2G233500.1
OG0000318	CDX94788, CDY29116, CDY13104	Prupe.4G097500.1, Prupe.4G097800.1, Prupe.4G097000.1, Prupe.4G096900.1, Prupe.4G096700.1, Prupe.4G092500.1, Prupe.4G096600.1, Prupe.4G096500.1, Prupe.4G097100.1, Prupe.4G096000.1
OG0000320	CDY40927, CDX95933	Prupe.1G278600.1
OG0000320	CDY16129, CDY33781, CDY36429, CDX98143, CDY33783, CDY56002, CDY08134, CDY36431, CDY16128, CDY45174, CDY45171, CDY03007, CDY03008, CDY09339, CDY37178, CDY45175, CDY03011, CDY04142, CDY04143, CDY60937, CDY45173	Prupe.1G278700.1, Prupe.1G278800.1
OG0000320	CDY04052, CDY44412	Prupe.3G264100.1
OG0000321	CDY13740, CDX76902, CDX89492	Prupe.6G208400.1
OG0000321	CDY61006, CDY56577	Prupe.1G536700.1, Prupe.1G536600.1
OG0000321	CDX93464, CDX94932	Prupe.1G538400.1
OG0000321	CDX94934, CDX93466	Prupe.1G538300.1
OG0000328	CDY46783	Prupe.4G190100.1, Prupe.8G075500.1
OG0000331	CDY44152, CDY04706, CDY54291, CDY41444, CDX91717, CDY11588, CDY03747, CDY25787	Prupe.1G251500.1, Prupe.3G287000.1, Prupe.6G308600.1, Prupe.1G109200.1, Prupe.6G229500.1, Prupe.3G005200.1
OG0000333	CDY22633, CDY06361, CDX93502, CDY50897, CDY31080, CDY20692	Prupe.6G302700.1
OG0000336	CDY10283, CDY06713, CDY09910, CDY06267, CDX86473, CDY15618, CDX90789, CDY48575, CDX73787, CDX77948, CDY21333, CDY62000, CDY59275, CDY09154, CDY48578, CDY48574, CDY21982, CDY21332, CDY21990, CDY21988, CDY48580, CDY48576, CDY21986, CDY22112, CDY48577	Prupe.4G087900.1, Prupe.4G087700.1
OG0000338	CDX81902, CDY21692, CDY09846, CDX96690, CDX83801, CDY26715, CDY45756, CDY45754, CDY30731, CDY00315, CDX84344, CDY16764, CDX87266, CDY16763, CDY69433, CDY21805, CDY51783, CDY36913, CDX83027, CDX68450	Prupe.5G185100.1, Prupe.5G185200.1
OG0000348	CDY57070, CDX98054, CDY16010, CDY26570, CDY26571, CDY26572, CDY16012, CDY16011, CDY17092, CDY54697	Prupe.2G150500.1, Prupe.2G150200.1, Prupe.2G150400.1, Prupe.2G150000.1, Prupe.2G149900.1, Prupe.2G150300.1, Prupe.2G151800.1, Prupe.2G151500.1, Prupe.2G150600.1
OG0000350	CDY20275, CDY26582, CDY26589, CDY26583, CDX71969, CDY26607, CDY47545, CDY50108, CDY15998, CDY00489, CDY51169, CDY16110, CDY34869, CDY33753, CDY35831, CDY16050, CDY21064, CDY15970, CDY06383, CDY34688, CDY25703, CDY34375, CDY25522, CDY25491, CDY65982	Prupe.6G195700.1
OG0000352	CDY38225, CDY21358, CDY21359, CDY46643	Prupe.1G519500.1, Prupe.1G520000.1, Prupe.1G519900.1, Prupe.1G519800.1, Prupe.1G520300.1, Prupe.1G520200.1, Prupe.1G520100.1, Prupe.1G520400.1, Prupe.1G519700.1, Prupe.1G519600.1
OG0000365	CDX92245	Prupe.1G032700.1
