Orthogroup	Brassica_napus	Solanum_lycopersicum
OG0000105	CDX69885, CDY21607, CDX81140, CDY56544	Solyc03T001559.2, Solyc11T000030.1
OG0000105	CDY01102, CDY08455, CDY30846, CDX76191, CDX78202, CDX91373, CDX74944, CDX99111, CDX88698, CDX71119, CDX86081, CDY53444, CDX82985, CDY38066, CDY21777	Solyc04T000436.1, Solyc05T002564.2, Solyc11T002057.1, Solyc06T002446.1
OG0000105	CDY61982, CDX95498, CDX92272, CDX82326, CDX87810	Solyc01T003688.2
OG0000109	CDX87888	Solyc05T000633.1
OG0000109	CDY49691, CDY45714, CDY49689, CDY33119, CDY54152, CDY45713, CDY55733, CDY33116, CDY66020, CDY54154, CDY54153, CDY67730, CDY04166, CDY58630, CDY49690	Solyc05T000628.1, Solyc10T000803.1, Solyc10T000796.1, Solyc11T001139.1, Solyc12T001034.1, Solyc10T000806.1, Solyc09T001491.1, Solyc03T000902.1, Solyc11T001143.1, Solyc11T001247.1, Solyc05T002053.1, Solyc05T002057.1, Solyc03T000107.1, Solyc03T000108.1, Solyc09T001265.1, Solyc05T000632.1, Solyc05T002051.1, Solyc05T000631.1
OG0000109	CDY68550, CDY04207	Solyc05T002056.1
OG0000113	CDY48342, CDX90195, CDY35303, CDY35305, CDX90192, CDX90194, CDX99823, CDY48341, CDX90193, CDX88114, CDY35304, CDY48337, CDX99824, CDX99830	Solyc04T001692.1, Solyc11T000545.1, Solyc10T001724.1, Solyc04T001702.1, Solyc04T001704.1, Solyc04T001696.1, Solyc04T001703.1, Solyc04T001698.1, Solyc04T001700.1, Solyc04T001689.1, Solyc11T000548.3, Solyc10T001723.1, Solyc10T001726.1, Solyc10T001720.1, Solyc10T001722.1
OG0000122	CDY59150	Solyc09T001600.1
OG0000135	CDY22247, CDX94656, CDX99842	Solyc03T001316.1, Solyc10T000874.1, Solyc01T001280.1, Solyc08T000639.1, Solyc08T000628.1, Solyc04T001176.2, Solyc07T001191.1, Solyc04T001122.1, Solyc12T000931.1, Solyc04T000954.1, Solyc05T001519.1, Solyc04T001325.1, Solyc03T001067.1, Solyc03T001068.1, Solyc12T000873.1, Solyc03T001065.1, Solyc04T001121.1, Solyc01T001012.1, Solyc01T000877.1, Solyc10T001433.1, Solyc10T001560.1, Solyc10T001565.1, Solyc10T001493.1, Solyc11T000827.1, Solyc04T000877.2, Solyc01T001512.1, Solyc10T001569.1, Solyc10T001575.1, Solyc08T000748.1, Solyc04T001177.1, Solyc10T001564.1, Solyc10T000962.1, Solyc07T000830.1, Solyc09T000949.1, Solyc05T001248.1, Solyc05T001247.1, Solyc11T001437.1, Solyc10T001434.1, Solyc03T001317.1, Solyc10T000491.1, Solyc12T002066.1
OG0000138	CDY15148, CDX90062, CDY56927, CDX89104, CDY48937, CDX71758	Solyc01T002810.1, Solyc11T002410.1, Solyc11T001620.1, Solyc10T000590.1
OG0000139	CDY01013, CDY08534, CDX70120, CDX98873	Solyc03T001598.1, Solyc03T001597.1
OG0000139	CDX99101, CDY03340, CDY33200, CDX68393, CDX82989, CDX99103, CDY61257, CDY21781, CDX88710, CDY53452, CDY48677, CDY33048, CDX80255, CDX68395, CDX82992, CDX86090, CDX99100, CDY61260, CDX99102, CDY68357, CDX81946	Solyc10T002809.4, Solyc10T002771.1
OG0000140	CDY43965	Solyc02T001396.1
OG0000140	CDX71027	Solyc03T002527.1
OG0000147	CDY25688	PRAM_26245.1.p1
OG0000147	CDX99488	Solyc05T000399.1, Solyc04T000158.1, Solyc05T000401.1
OG0000155	CDY10612	Solyc01T000861.1, Solyc07T001352.1, Solyc07T001238.1, Solyc07T001220.1, Solyc01T001981.1, Solyc01T001483.1, Solyc07T001275.1, Solyc07T001218.1, Solyc07T001267.1, Solyc07T001260.1, Solyc07T001270.1, Solyc07T001271.1, Solyc07T001258.1, Solyc07T001356.1, Solyc07T001276.1, Solyc07T001354.1, Solyc01T003173.1, Solyc09T000816.1, Solyc07T001264.1, Solyc01T001482.1, Solyc01T001497.1, Solyc07T001257.1, Solyc01T001982.1
OG0000164	CDY38574, CDY39533, CDY31755, CDY50141, CDY31759, CDY50138, CDY70035, CDY58212, CDY70862, CDY50139, CDY31756	Solyc08T000138.1, Solyc06T001460.1, Solyc06T001458.2, Solyc06T001461.1, Solyc06T001459.1
OG0000165	CDY44475, CDY45156, CDY30914, CDX79850, CDY59122	Solyc04T000244.1, Solyc05T000285.1, Solyc12T001869.1, Solyc03T002257.1
OG0000173	CDY45483	Solyc03T001308.1, Solyc10T001267.1, Solyc11T001356.1, Solyc11T001808.1, Solyc05T001447.1, Solyc11T001363.1, Solyc11T001910.1, Solyc09T001365.1, Solyc11T001803.1
OG0000176	CDY02186, CDY51637, CDY02187, CDY51636, CDY16833, CDY66185, CDY42840, CDY71241	Solyc01T000711.1, Solyc01T000713.1, Solyc01T000701.1, Solyc01T000124.1, Solyc01T000712.1, Solyc01T000709.1, Solyc01T000696.1, Solyc01T000708.1
OG0000179	CDX74487, CDY37880, CDY69099, CDY11695, CDY15957, CDX99669, CDY05545	Solyc01T003499.1, Solyc01T003498.2, Solyc01T003496.1
OG0000182	CDX72526, CDX76319, CDY17527, CDX72527, CDX76320, CDY17528, CDY17526, CDY31383, CDX71332, CDY39489, CDY02221, CDY39490, CDY02220, CDX71331, CDY31384, CDY07881, CDY17525	Solyc01T004373.1, Solyc01T004374.1
OG0000183	CDY23773	Solyc01T001488.1, Solyc12T001794.1, Solyc12T000103.1, Solyc08T001562.1, Solyc06T000209.1, Solyc06T000211.2, Solyc10T001679.1, Solyc12T002815.1
OG0000184	CDY01802	Solyc04T001562.1, Solyc03T000911.1, Solyc05T001743.1, Solyc05T001744.1, Solyc10T002741.1
OG0000188	CDX98481	Solyc07T002250.2, Solyc10T000297.2, Solyc10T000296.2, Solyc07T001923.1, Solyc07T002436.2, Solyc07T002241.1, Solyc07T002252.1, Solyc07T001924.1, Solyc07T002251.1, Solyc07T002249.1, Solyc07T002393.1, Solyc07T000123.1, Solyc10T001661.1
OG0000189	CDX91262	Solyc05T001376.1
OG0000189	CDY59595, CDY00973	Solyc03T001480.1, Solyc03T001481.1, Solyc01T001385.1
OG0000194	CDY06655, CDY06220	Solyc06T001124.1, Solyc09T002511.2, Solyc09T002509.1, Solyc09T002510.1, Solyc03T002034.1, Solyc03T002033.2, Solyc09T002507.1, Solyc12T000144.1, Solyc09T000409.1
OG0000195	CDY46892	Solyc10T000754.2, Solyc10T000752.1, Solyc10T000753.1, Solyc10T000755.1, Solyc03T000945.1, Solyc10T000751.1, Solyc10T000597.1, Solyc10T000604.1, Solyc10T000369.1, Solyc10T000603.1
OG0000196	CDY03641, CDX82152, CDY46144, CDY20307	Solyc03T002347.1, Solyc06T002057.1
OG0000197	CDY71388, CDY06149, CDX77489, CDX85121, CDY06147, CDX72085, CDX72086, CDY06148, CDX77490, CDY71118, CDX67671, CDX67670, CDX76031, CDX76026, CDY47395, CDY47394, CDX76025, CDY47392, CDY47396, CDY69684, CDY68089, CDY71473, CDX76032, CDX76027, CDY23861, CDX97997, CDY72354, CDY06938, CDY14758	Solyc10T002365.1, Solyc10T002361.1, Solyc10T002362.1
OG0000204	CDY33593	Solyc07T001192.1, Solyc05T001797.1, Solyc12T001098.1, Solyc03T000825.1, Solyc01T000989.1, Solyc01T001794.1, Solyc03T002070.1
OG0000208	CDY67346	Solyc03T000898.1, Solyc04T001882.1
OG0000208	CDX85101, CDY67345, CDY09024, CDY18120, CDY54629, CDX85102	Solyc09T002576.1
OG0000210	CDX82316, CDY53037, CDY65790, CDX92297, CDX99286	Solyc03T000851.1, Solyc03T000856.1, Solyc03T000853.1, Solyc01T004068.1, Solyc01T004066.1, Solyc01T004067.1, Solyc09T000738.1, Solyc01T004065.1, Solyc07T002196.1, Solyc01T004069.1, Solyc01T004072.1
OG0000211	CDX71645, CDY19664	Solyc04T001146.1, Solyc01T000921.1, Solyc00T000040.1, Solyc11T001068.1, Solyc01T000922.1, Solyc11T001070.1, Solyc01T000935.1
OG0000212	CDY45490, CDY19665, CDY54623, CDY63593, CDX71646, CDY19657, CDX95223	Solyc09T001224.1, Solyc00T000041.1, Solyc12T001525.1, Solyc11T001081.1, Solyc10T001029.1, Solyc04T001199.1, Solyc01T000950.1, Solyc10T000846.1, Solyc01T000936.1, Solyc11T001729.1
OG0000213	CDY71686	Solyc01T001426.1, Solyc04T001180.1, Solyc09T001908.1, Solyc12T001448.1, Solyc01T003328.1, Solyc04T000748.1, Solyc07T000950.1, Solyc03T001405.1, Solyc12T001786.1, Solyc10T001601.1, Solyc05T001063.1, Solyc02T000712.1, Solyc08T000905.1, Solyc08T001525.1, Solyc07T002430.1, Solyc11T001608.1, Solyc12T001172.1, Solyc12T001171.1, Solyc12T001169.1, Solyc01T001039.1, Solyc01T001530.1, Solyc05T001715.1, Solyc03T001406.1, Solyc07T000949.1, Solyc03T001537.1, Solyc01T000810.1, Solyc05T001064.1, Solyc04T000956.1, Solyc03T001613.1
OG0000217	CDY02791, CDY67764	Solyc11T001293.1, Solyc01T002670.1, Solyc01T001309.1, Solyc10T001619.1, Solyc04T000967.1, Solyc11T001160.1, Solyc01T001245.1, Solyc06T000961.1, Solyc03T001592.1, Solyc06T000369.1, Solyc01T000437.1, Solyc01T001297.1, Solyc02T000764.1, Solyc06T000644.1, Solyc10T002188.1, Solyc05T002042.1, Solyc06T000935.1, Solyc08T000600.1, Solyc07T000387.1, Solyc05T000988.1, Solyc01T001893.1, Solyc03T000666.1, Solyc01T001344.1, Solyc08T000778.1, Solyc11T001035.1, Solyc03T001804.1, Solyc03T000818.1, Solyc12T001856.1, Solyc09T001983.1, Solyc10T000953.1, Solyc12T002099.1, Solyc08T001240.1, Solyc06T000708.1, Solyc05T000985.1, Solyc10T001050.1
OG0000222	CDY36169	Solyc05T001132.1, Solyc11T001485.1
OG0000223	CDX87758, CDY50483, CDX77621, CDY58055	Solyc02T001451.1
OG0000223	CDY39575, CDY48170, CDY48172	Solyc12T002186.1
OG0000224	CDY52520, CDX90391, CDY52519	Solyc05T001498.1, Solyc03T001563.1, Solyc11T000513.2, Solyc11T000514.1, Solyc11T000476.1
OG0000225	CDX86069, CDX99119, CDY56096, CDY60563, CDX71079, CDX88719, CDY49575	Solyc09T000744.3
OG0000225	CDY45447, CDY53372, CDY53371, CDY45448, CDY51363, CDX97881	Solyc09T001525.1, Solyc06T002490.1, Solyc06T002491.1, Solyc06T002493.1, Solyc04T002217.1
OG0000230	CDY33679, CDY72341, CDY20424, CDX81269, CDY40870, CDY20155, CDX71270, CDX75111	Solyc08T001656.1, Solyc10T001696.1, Solyc05T001800.1, Solyc05T002054.1, Solyc03T002050.1, Solyc03T002014.1, Solyc09T001408.1, Solyc01T001878.1, Solyc08T001074.1, Solyc12T001893.1, Solyc01T001221.1, Solyc03T003509.1, Solyc12T001888.1, Solyc12T000731.1, Solyc10T001061.1, Solyc11T001126.1, Solyc09T000843.1, Solyc03T001931.1, Solyc06T001005.1, Solyc07T000696.1, Solyc01T004316.2, Solyc02T000427.1, Solyc05T001166.1, Solyc02T000576.1
OG0000235	CDY43546, CDX68613, CDY01410, CDY12853, CDY01408, CDY12856, CDY68392	Solyc03T001869.1
OG0000236	CDX91889, CDX74352	Solyc05T002101.1, Solyc01T002874.1
OG0000236	CDY06283, CDY22716	Solyc11T002526.1
OG0000236	CDX86029, CDX99153	Solyc06T000015.1
OG0000236	CDX79801, CDY17911, CDX83459, CDY44256	Solyc08T000452.1, Solyc12T000937.1
OG0000239	CDY13158	Solyc12T001732.1, Solyc07T002598.1, Solyc04T000773.1, Solyc04T000772.1, Solyc04T000766.1, Solyc04T000784.1, Solyc04T000767.1, Solyc12T001733.1, Solyc07T002600.1
OG0000246	CDX89662, CDY13143, CDX71221, CDY36633, CDX96594, CDY65110, CDY65498, CDX76262, CDX75400, CDX69028, CDX69027, CDX75399, CDY53948, CDY45706, CDX76261	Solyc01T003962.1, Solyc01T003963.1, Solyc01T003964.1, Solyc01T003970.1
OG0000248	CDY03583, CDY45043, CDY50974, CDY28123, CDY66630	Solyc02T002708.1, Solyc04T002506.1, Solyc08T000187.1, Solyc02T002359.1
OG0000249	CDX87974, CDY12351	Solyc03T000677.1
OG0000249	CDX81701, CDY71492, CDY39617, CDY36531, CDY52017, CDX83993	Solyc05T000351.1, Solyc05T000352.1
OG0000250	CDY21758, CDX81808, CDY14615, CDY26861, CDX79261, CDX79553, CDX68016	Solyc12T000542.1, Solyc07T002343.1, Solyc07T002342.1, Solyc07T002344.1
OG0000251	CDX69839	Solyc01T002079.1, Solyc01T002222.1, Solyc01T002364.1, Solyc12T002250.1, Solyc10T000398.1, Solyc01T002360.1
OG0000251	CDX96998	Solyc01T002391.1
OG0000251	CDY69490, CDX85735, CDY68289	Solyc04T002872.1, Solyc04T002358.1, Solyc11T000405.1
OG0000252	CDY40949, CDY26342, CDY12897, CDY69413, CDY15015, CDY26190, CDY70790, CDY12900, CDY47575, CDY03832, CDY57377, CDY03834, CDY47580, CDY67906, CDY12902, CDY15014, CDY20988, CDY50230, CDY26339, CDY15012, CDY03831, CDY47574, CDY15013, CDY40948, CDX76754, CDY11523, CDX76992, CDY35354, CDY61830, CDX98306, CDY62412, CDY15826	Solyc03T000173.1, Solyc03T000174.1
OG0000253	CDY28243, CDY66530	PRAM_25906.1.p1
OG0000260	CDY65635, CDY50393, CDY50394, CDY65636	Solyc09T002271.1
OG0000260	CDY27752, CDY05187	Solyc01T003309.1
OG0000260	CDX90553, CDY09727	Solyc12T002763.1, Solyc01T001853.1, Solyc01T001851.1, Solyc12T001074.1, Solyc12T001104.1
OG0000261	CDY07774, CDX79752, CDX79754, CDX91381, CDX74937, CDX93353, CDY55893, CDY55894, CDX93352	Solyc08T000788.1, Solyc03T001403.1, Solyc12T002839.1, Solyc01T002536.1, Solyc01T002532.1, Solyc01T002535.1
OG0000263	CDX75460, CDX69086, CDY70461, CDY63257, CDX76303, CDX82007, CDY13831, CDX68122, CDX85905, CDX73181, CDY47511, CDY39041, CDY13560	Solyc03T000584.1, Solyc02T002028.1, Solyc02T000708.1, Solyc01T004233.1, Solyc01T004238.1, Solyc01T004236.1, Solyc01T004235.1, Solyc01T004234.1, Solyc04T002888.1, Solyc10T001849.1, Solyc01T004237.1
OG0000265	CDY34040	Solyc11T000974.1
OG0000265	CDY47400, CDY63395	Solyc03T002328.1, Solyc03T002283.1, Solyc03T002284.1, Solyc10T001936.1, Solyc10T001937.1, Solyc03T002282.1, Solyc09T001923.1
OG0000265	CDX83012, CDY71218, CDY59136, CDY65705, CDY49182, CDX70926, CDY20345, CDY29718	Solyc03T003119.1
OG0000275	CDY37486, CDY51738, CDY23637, CDX97513	Solyc12T002049.1, Solyc06T001410.1, Solyc03T003440.1
OG0000275	CDX88594	Solyc12T000294.4
OG0000276	CDY70876, CDX79058, CDX94034, CDY62915	Solyc02T001700.4, Solyc02T001698.1, Solyc02T001699.1
OG0000277	CDX77044, CDY48178, CDY48179, CDX77047	Solyc04T002854.1
OG0000277	CDY02257, CDX89726, CDX89717, CDY02259, CDX89713, CDY26770, CDY47461, CDY30328, CDY53278, CDY71707, CDY46314, CDY24789, CDY35464	Solyc07T002017.1
OG0000278	CDY64407, CDY09343, CDY71146	Solyc05T000275.1, Solyc01T000510.1, Solyc02T002386.1
OG0000278	CDY23890, CDY07598, CDX98831, CDX70161	Solyc05T002347.1, Solyc06T000863.1
OG0000279	CDY72391, CDX79856, CDX71922, CDY60686, CDY19977, CDX85286, CDY41268, CDY10829, CDY49717, CDX92709, CDY00504	Solyc05T001052.1
OG0000280	CDX86839	Solyc11T000459.1
OG0000280	CDX81291, CDY54711, CDX73276, CDY67034	Solyc02T001205.1
OG0000281	CDY21326, CDX90884	Solyc12T000727.1, Solyc07T002317.1, Solyc07T002316.3, Solyc12T000526.1, Solyc12T000763.1, Solyc07T002756.1
OG0000282	CDX77429	Solyc05T001139.1
OG0000282	CDY66441, CDX77430, CDX94823, CDX93009	Solyc08T001147.1
OG0000289	CDY54750, CDY62515, CDY53129, CDY53648	Solyc02T001684.1, Solyc01T003796.1, Solyc01T003794.1, Solyc01T003793.2
OG0000291	CDY00125	Solyc02T002328.1, Solyc02T002327.1
OG0000292	CDX98578, CDX99945, CDY38700	Solyc12T001265.1
OG0000293	CDY69479	Solyc07T001607.2
OG0000293	CDY55650, CDX92924, CDY24268, CDY65253, CDY24263, CDX92923, CDY19298, CDX92922, CDY24262, CDY38640, CDY33142	Solyc07T001616.1, Solyc07T001614.1, Solyc12T000644.1, Solyc09T002839.1, Solyc07T001612.1, Solyc07T001613.1
OG0000303	CDX85604, CDX78570, CDX70555, CDY57901, CDX69590, CDX91071	Solyc05T000081.1
OG0000304	CDY06401	Solyc04T001182.1, Solyc10T001086.1, Solyc05T001780.1, Solyc09T000929.1, Solyc12T000879.1, Solyc09T001745.1, Solyc12T001764.1
OG0000305	CDX92357, CDX99936, CDX98576, CDX99943	Solyc04T000861.1, Solyc01T000931.1, Solyc09T002666.1
OG0000306	CDY04437, CDY04356	Solyc01T000078.1, Solyc01T001101.1
OG0000306	CDY21398, CDY04773	Solyc10T001926.1, Solyc10T001925.1, Solyc10T001930.1, Solyc10T001924.1, Solyc10T000397.1, Solyc02T000450.1
OG0000306	CDY47901	Solyc07T001521.1
OG0000313	CDY60872, CDX94354	Solyc04T001976.1
OG0000313	CDY36885	Solyc05T001874.1, Solyc05T001839.1, Solyc05T001834.1, Solyc05T001787.1, Solyc05T001662.1, Solyc05T001841.1, Solyc05T001838.1, Solyc05T001663.1, Solyc05T001843.1, Solyc05T001833.1, Solyc05T001628.1, Solyc05T001623.1, Solyc05T001624.1, Solyc05T001622.1, Solyc05T001784.1, Solyc05T001785.1, Solyc05T001783.1, Solyc05T001610.1, Solyc05T001613.1, Solyc05T001786.1, Solyc05T001873.1, Solyc05T001840.1
OG0000317	CDX73815, CDY00784, CDY50531, CDY52661	Solyc04T000427.1, Solyc07T000086.1, Solyc03T003038.1, Solyc11T002068.1, Solyc10T002923.1, Solyc09T000472.1, Solyc11T002064.1, Solyc06T002439.1
OG0000318	CDX94788, CDY29116, CDY13104	PRAM_25996.1.p1
OG0000320	CDY40927, CDX95933	Solyc05T000775.7
OG0000320	CDY16129, CDY33781, CDY36429, CDX98143, CDY33783, CDY56002, CDY08134, CDY36431, CDY16128, CDY45174, CDY45171, CDY03007, CDY03008, CDY09339, CDY37178, CDY45175, CDY03011, CDY04142, CDY04143, CDY60937, CDY45173, CDY04052, CDY44412	Solyc02T002398.2
OG0000321	CDY13740, CDX76902, CDX89492	Solyc05T002247.1
OG0000321	CDY61006, CDY56577, CDX93464, CDX94932, CDX94934, CDX93466	Solyc04T002465.1
OG0000328	CDY46783	Solyc10T002425.2, Solyc05T000847.1, Solyc09T001949.1, Solyc01T000514.1
OG0000331	CDY44152, CDY04706, CDY54291, CDY41444, CDX91717, CDY11588, CDY03747, CDY25787	Solyc01T000222.1, Solyc04T001005.2
OG0000333	CDY22633, CDY06361, CDX93502, CDY50897, CDY31080, CDY20692	Solyc01T003456.1
OG0000334	CDY19677	Solyc04T001145.1, Solyc04T001568.1, Solyc11T001959.1, Solyc09T001114.1, Solyc03T001434.1, Solyc10T000773.1, Solyc04T000867.1, Solyc09T001208.1, Solyc11T001054.1, Solyc03T001433.1, Solyc11T001813.1
OG0000336	CDY10283, CDY06713, CDY09910, CDY06267, CDX86473, CDY15618, CDX90789, CDY48575, CDX73787, CDX77948, CDY21333, CDY62000, CDY59275, CDY09154, CDY48578, CDY48574, CDY21982, CDY21332, CDY21990, CDY21988, CDY48580, CDY48576, CDY21986, CDY22112, CDY48577	Solyc08T000387.2, Solyc08T000384.1, Solyc08T000546.1, Solyc08T000383.1
OG0000337	CDY19673	Solyc01T000928.1, Solyc09T001201.1
OG0000337	CDY60972	Solyc11T001057.1
OG0000338	CDX81902, CDY21692, CDY09846, CDX96690, CDX83801, CDY26715, CDY45756, CDY45754, CDY30731, CDY00315, CDX84344, CDY16764, CDX87266, CDY16763, CDY69433, CDY21805, CDY51783, CDY36913, CDX83027, CDX68450	Solyc06T001997.3, Solyc03T002600.1
OG0000348	CDY57070, CDX98054, CDY16010, CDY26570, CDY26571, CDY26572, CDY16012, CDY16011, CDY17092, CDY54697	Solyc01T002788.1, Solyc08T002265.1
OG0000352	CDY38225, CDY21358, CDY21359, CDY46643	Solyc04T002334.1, Solyc04T002338.1, Solyc04T002341.1, Solyc04T002335.1, Solyc12T002319.3, Solyc04T002333.1, Solyc12T002318.1
OG0000365	CDY07693, CDY14424, CDX93297, CDY39726	Solyc10T002896.1, Solyc09T002489.1, Solyc09T002488.1, Solyc09T002487.1, Solyc09T002486.1, Solyc09T002484.2, Solyc09T002482.1, Solyc09T002483.1, Solyc09T002485.1
OG0000366	CDX71796, CDY41153, CDX89063, CDY48365, CDX67837, CDY37029, CDY27392, CDX83400, CDX95631	Solyc08T000243.4, Solyc01T003166.1, Solyc01T001976.1, Solyc01T002683.1, Solyc10T000680.1
OG0000367	CDY68278, CDY39614	Solyc02T002645.1
OG0000367	CDY12685, CDY54658, CDY01878, CDX96052	Solyc01T000031.1, Solyc01T000030.1, Solyc01T000019.1
OG0000368	CDY07941, CDX73996, CDY41316, CDY22207, CDY54618, CDY41581, CDY11249, CDX80862, CDX73571, CDY13308, CDX67563	Solyc09T000204.1, Solyc10T002685.1, Solyc06T002350.1, Solyc11T002331.1, Solyc03T002516.1
OG0000369	CDY53760, CDY42390, CDY26084, CDY10526, CDY08264, CDY08263, CDY26085	Solyc12T000743.5, Solyc07T002732.1
OG0000370	CDY55264, CDY33189, CDY33193, CDX75014, CDX75015, CDY33191, CDY53268, CDY70880, CDY63987, CDX84547, CDY33195, CDY53269, CDY33194, CDX75013, CDX75012, CDX84548	Solyc10T002876.1, Solyc10T002875.1, Solyc12T001887.1, Solyc12T001885.1, Solyc10T002667.1
OG0000371	CDX71081, CDY70247, CDX86050, CDX93630, CDY15777, CDY06280	Solyc06T000040.1, Solyc06T002067.1, Solyc05T002577.1, Solyc11T002549.1, Solyc04T000422.1
OG0000372	CDY61717, CDY13083, CDX98639	PRAM_25896.1.p1
OG0000380	CDX73283	Solyc01T000835.1, Solyc05T001647.1, Solyc04T001045.1, Solyc08T000922.1, Solyc11T001158.1, Solyc08T001020.1, Solyc07T001502.1, Solyc12T001639.1, Solyc10T000663.1, Solyc02T000079.1, Solyc10T002185.1, Solyc06T000777.1, Solyc11T001670.1, Solyc01T001254.1, Solyc12T001048.1, Solyc12T001864.1, Solyc01T001732.1, Solyc11T001022.1, Solyc10T001663.1, Solyc04T001812.1, Solyc11T001288.1, Solyc05T001338.1, Solyc06T000496.1, Solyc05T000916.1, Solyc06T000660.1, Solyc09T001548.1, Solyc10T002203.1, Solyc01T000836.1, Solyc04T002339.1, Solyc05T001648.1, Solyc05T002127.1
OG0000381	CDY15040	Solyc01T001922.1, Solyc12T001218.1, Solyc01T000567.1
OG0000385	CDY05007, CDY14064	Solyc01T000451.1
OG0000387	CDY57107, CDY37037, CDX74737, CDY72000	Solyc01T002798.1, Solyc05T002204.1, Solyc10T000649.1
OG0000388	CDX79621, CDY69773, CDY40441, CDY71930	Solyc05T002536.1, Solyc11T000644.1
OG0000389	CDY35262, CDX90223, CDX98172, CDY43206, CDX99878, CDY26299	Solyc02T001223.1, Solyc08T000607.1
OG0000389	CDY52444, CDX88447, CDY14480, CDY52443, CDY60153, CDY26865	Solyc07T002369.1, Solyc07T002370.1, Solyc07T002363.1, Solyc10T000263.1
OG0000390	CDX74020, CDY07964, CDY22147	Solyc01T003005.1
OG0000390	CDY59828, CDX67667, CDX72087, CDY47391, CDX76022, CDY27172, CDY22511, CDY35423, CDY23866, CDX79949	Solyc12T000991.1, Solyc10T002241.1, Solyc10T002463.2
OG0000391	CDY63895, CDX69373, CDY63922, CDY39472, CDX90374, CDY25587	Solyc12T000015.1, Solyc04T001022.1, Solyc04T000039.1, Solyc04T000040.1, Solyc04T000986.1, Solyc08T001557.1
OG0000392	CDY30352, CDY26821, CDY54334, CDY04684, CDY04685, CDY08082, CDY70446, CDY68996, CDX68331, CDY55310, CDY32462, CDY04686, CDY37423, CDY32460, CDY11546, CDY11548, CDX96276, CDY03722, CDY09481, CDY25773, CDY04741, CDY21420	Solyc11T000504.3, Solyc05T001676.1
OG0000393	CDX82109, CDX82112	Solyc11T001676.1, Solyc08T002142.1, Solyc08T000239.1, Solyc12T001861.1, Solyc10T002217.1, Solyc12T002497.1, Solyc11T000146.1, Solyc01T003556.1, Solyc01T003390.1
OG0000394	CDY46053, CDX82359, CDY69175	Solyc08T000326.1, Solyc08T002431.3, Solyc02T001273.1, Solyc08T000327.1
OG0000394	CDY39729, CDY44462	Solyc12T002203.1
OG0000395	CDX80366, CDY42245, CDY40859, CDX80367	Solyc06T002291.1
OG0000396	CDY35636, CDY49174, CDX96210	Solyc12T002195.1, Solyc06T002593.1, Solyc06T000145.2, Solyc03T000564.1, Solyc02T001998.1, Solyc08T002446.1, Solyc10T000499.2, Solyc03T000251.1, Solyc05T002122.1
OG0000397	CDY65737, CDY49024, CDY72661, CDY70590	Solyc08T002212.1, Solyc08T002210.1
