Orthogroup	Brassica_napus	Capsicum_anuum
OG0000054	CDY67676	CA03g33700, CA01g19930
OG0000058	CDY29918	CA07g07180, CA01g32300
OG0000058	CDY37116	CA01g16780, CA04g10070
OG0000058	CDY68286	CA11g18530, CA01g03400, CA00g01650, CA01g13710, CA00g62870, CA09g07200, CA11g06580, CA03g18090, CA04g13470, CA11g10270, CA09g05750, CA03g00890, CA06g10700, CA05g04500, CA05g07610, CA02g29970, CA10g11920, CA12g07310, CA12g00560, CA12g15220, CA03g32390, CA06g08060, CA00g72120, CA00g58020, CA12g17100, CA03g32380, CA10g12270, CA11g09130, CA11g05270, CA00g52530, CA05g08870, CA09g12360, CA00g76050, CA00g11220, CA03g21810, CA03g21540
OG0000067	CDY25667	CA10g06150
OG0000079	CDY43723, CDX79673	CA11g17520, CA05g19680, CA05g19720, CA12g19710, CA12g06050
OG0000079	CDY36570, CDY39660	CA04g02580, CA03g01790, CA03g01800, CA05g16930, CA12g19950, CA12g19930, CA12g16270, CA12g22530, CA12g22510
OG0000087	CDY55151, CDY29396, CDY63703, CDX96649	CA00g97370, CA00g96510, CA00g97500, CA00g98930, CA00g95940, CA00g97750, CA00g96580, CA00g97630, CA00g98350, CA00g97150, CA00g98140, CA00g98210, CA00g99010, CA00g97820, CA00g97940, CA00g96810, CA00g96720, CA00g95760, CA00g91190, CA00g94230, CA00g96470, CA00g96850, CA00g97230, CA00g97120, CA00g97640, CA00g97210, CA00g98940, CA00g97590, CA00g97300, CA00g97870, CA00g98920, CA00g98280, CA00g98460, CA00g98430, CA00g96670, CA00g99190, CA00g98690, CA00g96620, CA00g98480, CA00g97410, CA00g98780, CA00g97050, CA00g97360, CA00g96500, CA00g97830, CA00g97620, CA00g95950, CA00g98820, CA00g98300, CA00g98400, CA00g96590, CA00g97100, CA00g97600, CA00g96630, CA00g97160, CA00g96820, CA04g21530
OG0000095	CDX80390	CA06g05160
OG0000095	CDX97877, CDY51360, CDY45452, CDY53366	CA10g14130
OG0000095	CDY49002, CDY31428, CDX76444, CDX98679, CDX94014	CA03g32720
OG0000095	CDX73198, CDX87664	CA12g17750, CA04g21850
OG0000100	CDY65509, CDX92824, CDY29294, CDX89261	CA10g00280, CA10g00300, CA07g18350, CA07g18370, CA10g00320, CA07g18470, CA04g16710, CA04g16820, CA04g16810
OG0000101	CDY45757	CA03g27810, CA06g19290
OG0000101	CDY41176	CA01g06030
OG0000101	CDY50939, CDX93092	CA07g02510, CA09g18460
OG0000101	CDY34767	CA07g06700
OG0000105	CDX69885, CDY21607, CDX81140, CDY56544	CA04g06670, CA03g11540, CA12g08730
OG0000105	CDY01102, CDY08455, CDY30846, CDX76191, CDX78202, CDX91373, CDX74944, CDX99111, CDX88698, CDX71119, CDX86081, CDY53444, CDX82985, CDY38066, CDY21777	CA05g03290, CA10g19290, CA05g18520, CA06g24580
OG0000105	CDY61982, CDX95498, CDX92272, CDX82326, CDX87810	CA12g14030
OG0000109	CDX87888	CA03g10260
OG0000109	CDY49691, CDY45714, CDY49689, CDY33119, CDY54152, CDY45713, CDY55733, CDY33116, CDY66020, CDY54154, CDY54153, CDY67730, CDY04166, CDY58630, CDY49690	CA11g03260, CA11g03250, CA11g02970, CA11g02960, CA00g16390, CA00g16400, CA00g16380, CA11g03220, CA01g24070, CA00g29730
OG0000109	CDY68550, CDY04207	CA11g03270
OG0000113	CDY48342, CDX90195, CDY35303, CDY35305, CDX90192, CDX90194, CDX99823, CDY48341, CDX90193, CDX88114, CDY35304, CDY48337, CDX99824, CDX99830	CA08g05660, CA12g14240, CA00g59710, CA08g05640, CA12g01680, CA12g04610, CA12g01700, CA11g05000, CA11g04940, CA09g04700, CA12g01770, CA12g01620, CA12g01660, CA00g93290, CA12g01810, CA12g01750, CA12g01830, CA11g04910, CA12g01790, CA12g01720, CA12g04600, CA12g01640, CA09g04730, CA12g06970, CA12g01690
OG0000122	CDY59150	CA07g16810, CA09g07390, CA10g07380, CA11g04610, CA01g16310, CA04g02000, CA04g22420, CA03g04470, CA00g68860, CA06g16400, CA09g06310, CA00g00890, CA05g10490, CA07g12340, CA00g06780, CA03g02800, CA03g26270, CA05g03950, CA01g18990, CA09g11060, CA11g08550, CA03g17600, CA01g26420, CA03g26280, CA08g05510, CA10g16070, CA01g11730, CA03g25120, CA01g28580, CA03g14680, CA00g29920, CA02g02640, CA08g02550, CA09g04120, CA02g06390, CA08g04070, CA10g14870, CA11g08820, CA00g41100, CA12g13360, CA09g10860, CA07g10140, CA05g05310, CA12g17880, CA03g09440, CA01g01940, CA06g11400, CA03g17590, CA03g02790, CA11g05470, CA03g11220, CA06g09930, CA03g21750, CA00g92380, CA01g07410, CA01g11920
OG0000135	CDY22247, CDX94656, CDX99842	CA03g15270, CA02g07470, CA00g72690, CA01g08720, CA11g09050, CA01g11280, CA04g13840, CA12g17030, CA05g13540, CA03g10380, CA11g11780
OG0000138	CDY15148, CDX90062, CDY56927, CDX89104, CDY48937, CDX71758	CA08g06650, CA11g14860, CA08g06660, CA08g06670, CA08g06680
OG0000139	CDX99101, CDY03340, CDY33200, CDX68393, CDX82989, CDX99103, CDY61257, CDY21781, CDX88710, CDY53452, CDY48677, CDY33048, CDX80255, CDX68395, CDX82992, CDX86090, CDX99100, CDY61260, CDX99102, CDY68357, CDX81946	CA10g13340, CA10g13360, CA10g13310, CA10g13370, CA06g05580
OG0000140	CDY43965	CA08g03460, CA04g04840, CA00g87920, CA04g02030, CA04g02360, CA04g02290, CA04g04470, CA04g03200, CA06g02470, CA04g03790, CA04g01580, CA04g04650, CA04g01460, CA04g04600, CA00g29480, CA04g01920, CA04g04620, CA04g02020, CA04g04760, CA04g04900, CA04g01360, CA04g02130, CA04g02180, CA00g71710, CA04g01010, CA00g29670, CA04g01290, CA04g01340, CA04g04950, CA04g01970, CA00g29540, CA04g04970, CA04g01430, CA01g29940, CA00g71640, CA00g29420, CA04g01890, CA04g04710, CA00g29450, CA00g29520, CA04g03740, CA02g09910
OG0000140	CDX71027	CA03g26550, CA00g70450, CA02g05560
OG0000147	CDX99488	CA11g00310, CA11g00360, CA11g00680, CA11g00350, CA09g04360, CA11g00660, CA11g00690, CA11g00370, CA11g00340, CA11g00330, CA11g00390, CA11g00720
OG0000155	CDY10612	CA01g25030
OG0000164	CDY38574, CDY39533, CDY31755, CDY50141, CDY31759, CDY50138, CDY70035, CDY58212, CDY70862, CDY50139, CDY31756	CA03g36700, CA03g36690, CA06g15750, CA06g15760, CA06g15720, CA06g15740, CA06g15660, CA06g15640, CA06g15650, CA06g15730
OG0000165	CDY44475, CDY45156, CDY30914, CDX79850, CDY59122	CA11g06600, CA09g03360, CA03g22980
OG0000173	CDY45483	CA06g19800, CA10g10290, CA06g23910, CA03g13240, CA11g19560, CA03g27930, CA11g07150, CA11g07040, CA10g07670, CA07g06650, CA12g13660, CA01g11450, CA11g12790, CA10g07490, CA12g07200, CA10g17490, CA03g13290, CA06g23780, CA03g27920, CA10g10270, CA06g23790, CA12g07140, CA00g68440, CA11g19550, CA03g13250, CA07g13580, CA10g10280, CA07g05070, CA04g19990, CA08g09560, CA11g03050, CA11g12420, CA04g15150, CA10g07450, CA06g10560
OG0000176	CDY02186, CDY51637, CDY02187, CDY51636, CDY16833, CDY66185, CDY42840, CDY71241	CA01g10570, CA00g15290, CA00g15300, CA09g16350, CA00g92840, CA00g95780, CA00g76610, CA09g16360, CA09g15960, CA09g15970
OG0000179	CDX74487, CDY37880, CDY69099, CDY11695, CDY15957, CDX99669, CDY05545	CA08g13910, CA08g14680, CA00g97930, CA08g14660, CA08g14670, CA08g13770, CA08g13760
OG0000182	CDX72526, CDX76319, CDY17527, CDX72527, CDX76320, CDY17528, CDY17526, CDY31383, CDX71332, CDY39489, CDY02221, CDY39490, CDY02220, CDX71331, CDY31384, CDY07881, CDY17525	CA04g22580
OG0000183	CDY23773	CA12g21960, CA00g68840, CA00g74060, CA12g21910, CA12g22350, CA08g06410, CA00g84530, CA00g74040, CA06g01640, CA12g22370, CA12g20540, CA12g22010, CA12g22230, CA00g84510, CA00g74020, CA00g90120, CA12g22050, CA12g21940, CA00g85050, CA03g05820, CA12g21920, CA12g22210, CA00g90110, CA00g74070, CA03g05810, CA00g91270, CA00g29720, CA12g22070, CA00g84500, CA00g84470, CA12g22330, CA12g21740, CA12g18470, CA12g21690, CA12g21640, CA12g21660
OG0000184	CDY01802	CA03g27570, CA08g04800, CA00g36470, CA00g75330, CA00g71320, CA01g24500, CA00g66230, CA00g91530, CA00g66220, CA00g32870, CA00g87190, CA10g04550, CA04g20100, CA11g07310, CA11g16990, CA00g15330, CA04g05400, CA04g03930, CA12g02640, CA11g18600, CA08g05680, CA00g59720, CA00g92560, CA02g20800, CA04g03680, CA04g03800, CA00g84490, CA07g03910, CA02g26930, CA12g15890, CA10g20600, CA05g19120, CA04g05050, CA08g14090, CA00g27520, CA11g17350, CA11g11810, CA00g32620, CA05g02930, CA04g12200
OG0000188	CDX98481	CA00g98060, CA07g17090, CA07g17060, CA07g17130, CA07g17070, CA00g85860, CA07g17100, CA01g32190, CA07g15110, CA07g15100, CA10g02540, CA07g15040, CA09g08140, CA07g01390, CA04g17980, CA10g02600, CA10g02570
OG0000189	CDX91262	CA00g44350, CA05g12560, CA11g15010, CA04g14170, CA06g06510, CA11g10860, CA11g05850
OG0000189	CDY59595, CDY00973	CA10g08930, CA11g13300, CA06g10670, CA06g04360, CA08g02230, CA04g02820, CA03g17830, CA10g03700, CA06g04110, CA05g14210, CA00g49910, CA09g14140, CA06g02210, CA00g66690, CA09g12170, CA02g07500, CA12g05780, CA07g03130, CA06g12450, CA07g04440
OG0000190	CDY10870, CDY10853, CDY70908, CDY10920	CA04g10970, CA03g34260, CA09g15540
OG0000190	CDY29295, CDX89260	CA07g18360, CA07g18400, CA04g16730, CA04g16690, CA04g16790, CA11g17120, CA00g85990, CA07g18430
OG0000194	CDY06655, CDY06220	CA09g06050, CA03g05490, CA03g05450, CA03g05470, CA03g05440, CA03g05480, CA03g05390, CA05g03630, CA03g05500, CA03g05430, CA03g05420, CA09g14540, CA09g14530, CA09g00290, CA09g00300, CA09g00310, CA09g00320, CA06g10410
OG0000195	CDY46892	CA10g03550, CA07g14730, CA02g11540, CA07g14490, CA07g14940, CA07g04850
OG0000196	CDY03641, CDX82152, CDY46144, CDY20307	CA03g23970, CA06g20620
OG0000197	CDY71388, CDY06149, CDX77489, CDX85121, CDY06147, CDX72085, CDX72086, CDY06148, CDX77490, CDY71118, CDX67671, CDX67670, CDX76031, CDX76026, CDY47395, CDY47394, CDX76025, CDY47392, CDY47396, CDY69684, CDY68089, CDY71473, CDX76032, CDX76027, CDY23861, CDX97997, CDY72354, CDY06938, CDY14758	CA10g19940
OG0000204	CDY33593	CA02g03010, CA04g05390, CA10g06290, CA04g11060, CA10g03150, CA01g16300, CA00g83760, CA00g47560, CA02g29960, CA04g09020, CA08g05940, CA11g09610, CA04g10400, CA04g07740, CA09g13000, CA02g05830, CA05g11600, CA12g14440, CA04g11460, CA00g96880, CA05g06920, CA08g00200, CA10g10050, CA04g09510, CA09g05010, CA05g06410, CA01g32160, CA05g09380, CA05g03140, CA00g54040, CA06g04350, CA03g05880, CA09g13110, CA05g07630, CA10g08840, CA05g03330, CA01g03390
OG0000208	CDY67346	CA12g05820, CA08g19200, CA00g83780, CA03g03630, CA10g17600, CA06g25670, CA03g03620
OG0000210	CDX82316, CDY53037, CDY65790, CDX92297, CDX99286	CA08g17830, CA08g17760, CA08g17750, CA11g02890, CA09g02600, CA08g17780, CA08g17770, CA03g30220, CA08g17730
OG0000211	CDX71645, CDY19664	CA01g15320, CA12g11880, CA07g05530, CA04g07430, CA03g15100, CA09g13340, CA08g09010, CA09g05870, CA00g71870, CA04g12960, CA03g11400, CA00g25170, CA06g03980, CA00g57420, CA03g10820, CA08g09330, CA10g04270, CA08g08960, CA09g11850, CA04g07420, CA12g07210, CA07g05540, CA05g06000, CA01g22880, CA03g14970, CA01g15340, CA09g13330, CA01g15310, CA03g11410, CA04g12950
OG0000212	CDY45490, CDY19665, CDY54623, CDY63593, CDX71646, CDY19657, CDX95223	CA08g08950, CA00g57310, CA00g67710, CA11g16380, CA03g23590, CA04g12940, CA00g36260, CA03g11420, CA11g09230, CA00g73290, CA00g65640, CA07g05450, CA03g04740, CA03g14980, CA01g22890, CA11g07650, CA05g06010, CA00g73370, CA03g14990, CA06g04070, CA04g07410, CA00g36280
OG0000213	CDY51603, CDY59393, CDY71685, CDY69327	CA05g11000
OG0000213	CDY71686	CA11g02710, CA04g07080, CA01g09880, CA07g00370, CA03g09250, CA01g13390, CA01g26480, CA01g22330
OG0000217	CDY02791, CDY67764	CA10g10390, CA02g04780, CA00g25210, CA05g16400, CA11g12190, CA08g04360, CA07g12050
OG0000222	CDY36169	CA05g04870
OG0000223	CDX87758, CDY50483, CDX77621, CDY58055	CA10g14820, CA07g07520, CA10g09030, CA01g18030, CA10g20520
OG0000224	CDY52520, CDX90391, CDY52519	CA08g04950, CA08g04900, CA00g84880, CA00g84370, CA00g84870, CA00g84860, CA00g84910
OG0000225	CDX86069, CDX99119, CDY56096, CDY60563, CDX71079, CDX88719, CDY49575	CA08g17070, CA08g17040, CA08g17060, CA08g17050, CA02g02130
OG0000225	CDY45447, CDY53372, CDY53371, CDY45448, CDY51363, CDX97881	CA06g24940, CA06g24930, CA06g24950, CA09g08950, CA02g30320, CA04g14750
OG0000230	CDY33679, CDY72341, CDY20424, CDX81269, CDY40870, CDY20155, CDX71270, CDX75111	CA00g82390, CA10g05810, CA10g13060, CA08g12260, CA07g17880, CA06g06280
OG0000235	CDY43546, CDX68613, CDY01410, CDY12853, CDY01408, CDY12856, CDY68392	CA03g36070
OG0000236	CDX91889, CDX74352	CA05g12170, CA08g07540
OG0000236	CDY06283, CDY22716	CA11g13970
OG0000236	CDX86029, CDX99153	CA06g06270
OG0000236	CDX79801, CDY17911, CDX83459, CDY44256	CA08g04480, CA03g14570
OG0000239	CDY13158	CA10g16660, CA10g17130, CA07g19260, CA10g16640, CA07g19340, CA00g92710, CA07g19320, CA01g11860, CA00g16540, CA06g15460, CA06g15390, CA00g92990, CA07g19350, CA01g11850, CA07g19270, CA01g22540, CA07g19310, CA07g19360, CA01g12790, CA10g16650, CA06g06760, CA10g17230, CA01g32070, CA00g92700, CA06g06780, CA00g16550
OG0000246	CDX89662, CDY13143, CDX71221, CDY36633, CDX96594, CDY65110, CDY65498, CDX76262, CDX75400, CDX69028, CDX69027, CDX75399, CDY53948, CDY45706, CDX76261	CA00g52090, CA00g52030, CA00g52040, CA00g52060, CA00g52100, CA00g52120, CA00g52110
OG0000248	CDX88875, CDX70890, CDY44942, CDY44941, CDY42294, CDY42295, CDX92502, CDX92501	CA12g22930
OG0000248	CDY03583, CDY45043, CDY50974, CDY28123, CDY66630	CA02g24600, CA00g83820, CA12g15780, CA01g29610, CA02g28340
OG0000249	CDX87974, CDY12351	CA02g23830, CA02g05010, CA02g26590, CA02g06170
OG0000249	CDX96304, CDX72778, CDX68324, CDY49220, CDX77471, CDY67968, CDY37952	CA02g23880
OG0000249	CDX81701, CDY71492, CDY39617, CDY36531, CDY52017, CDX83993	CA05g07990, CA11g00100
OG0000250	CDY21758, CDX81808, CDY14615, CDY26861, CDX79261, CDX79553, CDX68016	CA07g16200, CA07g16210, CA07g16260
OG0000251	CDX69839	CA01g17440, CA01g22310, CA01g21950, CA01g20120, CA01g24990, CA01g18710
OG0000251	CDX96998	CA02g04220
OG0000251	CDY69490, CDX85735, CDY68289	CA04g15730, CA05g13240, CA12g03410, CA04g23140
OG0000252	CDY40949, CDY26342, CDY12897, CDY69413, CDY15015, CDY26190, CDY70790, CDY12900, CDY47575, CDY03832, CDY57377, CDY03834, CDY47580, CDY67906, CDY12902, CDY15014, CDY20988, CDY50230, CDY26339, CDY15012, CDY03831, CDY47574, CDY15013, CDY40948, CDX76754, CDY11523, CDX76992, CDY35354, CDY61830, CDX98306, CDY62412, CDY15826	CA04g02750, CA04g02760, CA02g17330
OG0000253	CDY28243, CDY66530	CA02g10230
OG0000260	CDY65635, CDY50393, CDY50394, CDY65636	CA03g24920
OG0000260	CDY27752, CDY05187	CA08g12790
OG0000260	CDX77050, CDX77049, CDY48181	CA05g18250, CA05g18260, CA05g18360, CA05g18220
OG0000260	CDX90553, CDY09727	CA12g21390, CA01g18250
OG0000261	CDY38059	CA10g10220
OG0000261	CDY07774, CDX79752, CDX79754, CDX91381, CDX74937, CDX93353, CDY55893, CDY55894, CDX93352	CA04g04810, CA00g87940, CA12g22670, CA12g22650, CA01g27070, CA01g27080, CA01g19130
OG0000263	CDX75460, CDX69086, CDY70461, CDY63257, CDX76303, CDX82007, CDY13831, CDX68122, CDX85905, CDX73181, CDY47511, CDY39041, CDY13560	CA04g05830, CA02g21610, CA02g05680, CA00g58550, CA00g58590, CA00g58580, CA00g58560, CA03g04940, CA04g21570, CA00g58570
OG0000265	CDY47400, CDY63395	CA02g07100, CA00g87170, CA00g87140, CA00g87210, CA00g87160, CA03g01300, CA00g87110, CA00g87150, CA00g87180, CA11g08420, CA00g87250, CA00g87130, CA03g01290, CA00g87230
OG0000266	CDY71451, CDX88961, CDY46589	CA00g77050
OG0000266	CDX71998, CDY69384, CDX76201, CDY05053, CDX90717, CDY23179, CDY60640, CDY06081, CDY46586, CDX73640, CDY43827, CDY43039, CDY06082, CDY06080, CDX71997, CDY06076, CDY62629, CDX88962, CDY47668, CDY47670, CDY46587, CDX88963, CDY47671, CDY64285, CDX88964, CDX72000, CDY38254, CDY53493	CA10g10550
OG0000275	CDY37486, CDY51738, CDY23637, CDX97513	CA12g10530, CA06g16240, CA03g36270
OG0000275	CDX88594	CA09g16570
OG0000276	CDY70876, CDX79058, CDX94034, CDY62915	CA02g17830, CA02g17850, CA02g17780, CA02g17770, CA02g17820, CA02g17790, CA02g17760, CA02g17810
OG0000277	CDX77044, CDY48178, CDY48179, CDX77047	CA04g21260
OG0000277	CDY02257, CDX89726, CDX89717, CDY02259, CDX89713, CDY26770, CDY47461, CDY30328, CDY53278, CDY71707, CDY46314, CDY24789, CDY35464	CA01g19520, CA00g72070
OG0000278	CDY64407, CDY09343, CDY71146	CA00g74120, CA01g23870, CA02g28130
OG0000278	CDY23890, CDY07598, CDX98831, CDX70161	CA05g15870, CA06g07160
OG0000279	CDY72391, CDX79856, CDX71922	CA03g24050
OG0000279	CDY60686	CA00g44640, CA11g03210, CA00g66450, CA01g10460
OG0000279	CDY19977, CDX85286	CA00g74560
OG0000279	CDY41268, CDY10829	CA12g13970, CA01g03610, CA10g06270, CA01g10480
OG0000279	CDY49717, CDX92709, CDY00504	CA03g16030
OG0000280	CDX86839	CA00g82760, CA00g82710
OG0000280	CDX81291, CDY54711, CDX73276, CDY67034	CA02g04910, CA02g04880
OG0000281	CDY21326, CDX90884	CA07g15560, CA07g15570, CA07g20740
OG0000282	CDX77429	CA01g27720
OG0000282	CDY66441, CDX77430, CDX94823, CDX93009	CA01g27740, CA05g07130
OG0000289	CDY54750, CDY62515, CDY53129, CDY53648	CA02g17550, CA12g09260, CA08g16380, CA08g16400, CA08g16370, CA08g16410, CA08g16420, CA00g98120, CA08g16430
